Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40
ADORA1	Coupled	Not-coupled	Coupled	-	Adenosine receptors	classA	0.014357425547612787	-0.04835611521781793	-0.11901408382866793	-0.3034642876118098	0.08423012768469619	-0.04486757848771261	0.0003512875787406477	-0.43166489181418183	-0.07651367504600902	0.13204706637749425	0.37573520856206444	0.23646600900933784	-0.3691426010660983	0.12661914609181082	0.08510471241939792	-0.16337722138861177	0.2784360718512733	-0.08315930258449128	-0.0953622936970488	0.03577658667752724	-0.04651628250813452	-0.051101710067501256	0.14342735174856594	-0.25591110119258476	-0.2785461217225655	0.1382697199388871	-0.2907574959477013	-0.199490113806674	0.0650023895294777	-0.30487047256116145	-0.12856286367142297	0.012360783355840057	0.18499972134893028	-0.13042536115738876	-0.05411738990830031	-0.10983325450847108	0.06802820183275139	-0.08670992764985473	-0.12129268127516636	-0.06415794338783169
ADORA2A	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	0.047087020292002464	-0.10953317483050189	-0.3375428635437902	-0.20237508351211686	-0.2902834060708229	-0.17369047277173072	-0.08292215745453423	-0.1461262116370474	0.05051122173781859	0.03591084691087918	-0.19918090918096212	0.05167395291281025	0.20754676374310355	0.3863028982009587	-0.2969216850876357	0.06736005891022652	0.40207283455449605	0.026042060335384504	-0.08897137458057479	-0.1632487969808317	-0.352679298494817	-0.0065867439705464	-0.2809080642997702	-0.039457131452494194	0.04528362659181769	-0.19432175329498538	-0.16455909267906935	-0.2336788628113292	-0.12108943588219923	-0.19891677272850591	-0.15087533560992328	-0.05786126676881588	0.22815202765117665	-0.04704841392063088	-0.07729094932117572	-0.0905358401236071	-0.027301015779070122	-0.19861734263256534	-0.251114109592835	0.00701562469923997
ADORA2B	Coupled	Coupled	Not-coupled	-	Adenosine receptors	classA	-0.05397994922892363	0.004610143816746023	0.010394579374449302	-0.129959399330782	0.6827405480716688	-0.16060928825798212	-0.07401550950099385	0.05396493956848824	0.4999824845677373	0.07164749799025917	-0.06532864094369226	0.17627568812259398	0.07202900584465181	0.11405367065495176	0.15716696043832853	0.17072398448231205	-0.02555003447225268	0.04240107662016542	-0.09296704961031364	-0.08713350770186731	0.14871019986822984	-0.0026955892902631737	0.052386935331150596	-0.2419786610887185	-0.20116917501193443	0.0824422434453705	0.4304141192408973	-0.08214585223194536	-0.043482262949704024	0.09348220670257963	-0.23376960796749086	0.015490837452895426	-0.34888827501446645	-0.10255254441102356	0.2019490044317211	-0.034593622489026817	-0.007936738116558798	-0.18824520157706395	-0.1086650984887116	-0.000758197068838265
ADORA3	Not-coupled	Not-coupled	Not-coupled	-	Adenosine receptors	classA	0.14923855819308304	-0.05379520661537682	-0.117272210529685	-0.22906263023324763	0.2085933339964769	-0.10097717405098963	0.09081256348487204	-0.3898749876677249	-0.3182938810386625	-0.1471760484290873	-0.24040018887849388	-0.26364055850701973	0.23317420762566948	-0.034403369075094184	-0.05930151193208162	-0.07863290276392051	0.23365207912327615	-0.32064491291000247	0.15263675893925344	-0.058082290024910915	-0.22270060916045728	0.11508909811327939	0.0589574437486292	0.12841241779420554	-0.3546714546538563	0.542331163722189	0.06931444822972425	0.03662587648766638	0.0812649463960154	-0.10601505975723517	0.20321603015650624	-0.16509748306737906	0.004117175410239916	-0.16532629003212215	-0.09433165384583178	-0.16348816815301456	0.013962512733621644	-0.1388449115713677	-0.1531191422317216	-0.16283937162484788
ADRA1A	Not-coupled	Coupled	Not-coupled	-	Adrenoceptors	classA	-0.3766978774591078	-0.009091288995153766	0.08869889936559065	-0.276313318940748	-0.20527785639246238	0.1603583054374385	0.03726921385899687	-0.14250451333561634	-0.11219557726198219	0.4804800455691091	-0.43668127128852363	-0.2277346687564631	-0.4478940637847681	-0.03466787098539326	0.31950528616966095	-0.3071400995913592	0.0011669186156473845	0.18208104577930137	-0.26984641128561476	0.2542431655923742	-0.004094037811909039	-0.35840892127139284	0.007318573687727466	-0.015402363303590383	-0.06434915410618541	-0.12567535301047786	-0.1563773384022488	0.12618504428397534	-0.02662444927131995	0.17744432845247327	0.18976973517291612	-0.3083072149839289	-0.14430569545451616	0.06767271942110083	0.173378442846227	0.1377722507250088	0.18017967981705443	-0.2421607503595485	0.16275733787962032	0.026488978004317355
ADRA2A	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.36323136574846004	-0.04222514362197183	-0.019382465921256743	0.0717664891983258	-0.2842446263494847	0.1952637989958799	-0.0897502284434797	-0.1972689276261772	0.10614138598578272	0.26053808703447306	-0.14740454552253085	-0.14775311315304668	-0.3565253742298743	-0.23620464370690322	0.005456781704828911	-0.2292059167464948	0.26579338724300583	-0.006064824451191216	0.14058421157219778	0.08744848577416678	-0.196016513004296	-0.5149977904888852	-0.002167914766874447	0.3791381466704437	-0.1376631842997623	0.043055913291892456	0.2443000464661734	0.008811014824955091	-0.052444429272815576	0.13511599555613482	0.04205356859103344	-0.015584980212272555	0.4194899724934345	0.5413144484393677	0.14478745217092162	0.19139620985292694	0.16801154787851216	-0.20558326782339653	4.177749486613613e-05	-0.07723818845898148
ADRA2B	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.43882246309557094	0.09820184834347308	-0.22639222254996155	-0.009572074273645117	-0.18925620477796218	0.031635820674550306	0.05062730945927704	0.2035960470604119	0.03224236905797672	0.053066644848657724	-0.16838126586457003	-0.3468251627408429	-0.32957286391304613	-0.014926914084289682	0.329943296363774	-0.019869946920458292	0.4144701371978477	0.19343032929359819	-0.14349656035527833	0.050088648407427945	-0.2462153005704329	-0.18367449299263527	-0.23045629770358667	0.014194169278724425	-0.1307229519787322	0.10074986662589337	0.21541569228465682	0.07527542627941697	-0.06092759922726062	-0.04657215203933345	0.04195445739059916	0.15298473945642707	-0.2856628329836651	-0.4411576468481583	-0.013600569225458515	0.17588957032956207	0.2695899839754575	0.03395542856605481	0.0894366356983167	0.22503007842871262
ADRA2C	Coupled	Not-coupled	Coupled	-	Adrenoceptors	classA	-0.06790971106494824	-0.05292318315294035	0.06187945309505565	0.36671152011658925	0.5168120066882844	0.060183970422224405	-0.25270066624336446	0.48628185668881535	-0.052609924050832146	-0.3367455396601525	-0.13868341135669957	-0.26990857854730016	-0.07038390453668447	0.16862474445716158	0.31278755039324935	-0.49485074948966573	0.002959409164180064	0.39717739842261157	-0.11649478699935922	-0.3033631698228301	0.2773730005262521	-0.27201704754867045	-0.27653827347579135	0.059453967187405955	0.04133837439448644	0.16691451749480896	-0.06699461225448641	0.0836713575276028	0.016173289642510334	-0.4530335846323713	-0.06840118287644456	-0.3889663586372992	0.22466157829670394	-0.008865457441167436	0.05331725250418091	-0.36384295120268556	0.21061537871114333	0.06164096250989366	-0.14041863276860153	0.0507556574320261
ADRB1	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.14766389382064868	0.056273555774805355	-0.0342914260669422	-0.1106500793061872	0.26804034227024787	-0.09892279381296258	0.061618610825302775	0.11100681589577405	0.0013001889539489436	0.2216748330704404	0.02574620327515979	-0.1387055325447349	-0.09029145854114298	0.2550191984940084	0.08862023565359126	-0.11733588228432972	0.3631510875562142	0.19130702648564243	-0.3079483367189432	0.019501485094538897	0.24952748415965414	-0.10781596026167346	0.08743573525971428	-0.38817681726783154	0.3183913144811382	0.13498040322124474	-0.20748552780600366	-0.1080268177389604	0.2178758533223745	-0.12302025243452792	-0.15877737570026942	0.30691563919843057	0.07218588783485581	0.19247439384940634	0.020753094617179998	-0.19976325936498468	-0.12895044369926142	0.06920668870137608	-0.004192860496471281	-0.2111277468460979
ADRB2	Coupled	Coupled	Coupled	-	Adrenoceptors	classA	-0.2522807784121706	-0.038695637827422316	-0.08605091132209984	0.1426290371027232	-0.2041316886001748	-0.07551645952598882	-0.03744452374828908	-0.15450398044277372	-0.11775995660519964	0.0025327381452899533	0.1919098719321667	0.14142388076182175	0.2371297676627629	-0.1771729291174713	0.4408227385628488	0.07000814452731588	-0.22383503292497828	0.08558608850648354	0.06166903294712859	-0.06560554939604	-0.02233063381999241	0.0016168290887100538	-0.03962519482344768	-0.14786914387855832	-0.07308813638734178	-0.08950228366086396	0.17265351286024191	-0.0038304094976335116	-0.07119076400355298	0.16240708689220731	-0.1774849886001008	-0.07823864037058617	-0.0917519964364583	0.10178731518135156	-0.26913803779230566	-0.1358041427328224	-0.04769385105897936	0.05230444247986274	-0.10365751966105863	0.09886283754504097
AGTR1	Not-coupled	Not-coupled	Coupled	-	Angiotensin receptors	classA	-0.07152441463823658	-0.20688623036598175	-0.3516814872678887	0.2345152259072936	-0.16831307339542026	0.022071590456663126	0.009008991270857657	0.08880858818370978	-0.1411461883278365	0.08453638704031391	-0.05663851684387284	-0.31139834688903	0.09276711954014312	0.17335771908089165	0.15509714384585044	0.49886989955536004	0.23815873562037798	0.04692754336665508	0.08299084162829914	-0.4205858993181091	0.3085385644605319	0.18980345199784648	0.2338706065918506	-0.29661154914082194	0.028572816582656566	-0.007558514620771151	0.025373179223129247	-0.0835161356452315	0.025438097915264923	-0.0574060383239237	0.02443358127041709	-0.07966929505192943	-0.13657716030977773	0.1418921784637195	0.3380319363560769	-0.21172358193477342	-0.03445610791116014	0.23978297053385408	0.19025558863320466	0.18414632828355296
APLNR	Not-coupled	Not-coupled	Coupled	-	Apelin receptor	classA	0.02569624197532307	-0.2823139575514021	-0.3877681586322377	0.008715611153266533	0.04805001274390245	0.2511675059319431	0.5658913405118299	0.0903915945461065	-0.043351133989936105	0.16250355547339984	-0.0731843734809111	-0.13322815342042535	-0.012989370446072233	0.14583102879925208	-0.25836449653774085	-0.15693777304942128	-0.006156129203758143	-0.20291827114177116	-0.013099739421317215	-0.32735796810547313	0.008441310017359063	0.18355767055309274	0.044905373920480766	0.15027447948829084	0.10071238497697946	0.16590615130733066	-0.10133047978826515	-0.07295078376843493	0.3951820144666862	0.058383652926546195	0.3053930466793613	0.057000636102816825	-0.34356110141902946	0.3091763367062762	0.017916955619069187	0.07014748217482891	-0.013506863372112389	-0.11341197669143302	-0.17126011651194978	0.02675656848713067
AVPR1A	Not-coupled	Coupled	Coupled	-	Vasopressin and oxytocin receptors	classA	-0.0789268829942086	0.042772150560333184	-0.003220582490008341	0.22104165289077662	0.199651898927646	0.2812586199283565	0.22047616431964687	0.5547879127608379	-0.20187502191049328	0.02793277451569205	0.22890441076828058	0.0038724357668907957	-0.18756561020255777	0.1364482835705018	-0.28497731856239733	0.13982383286071473	-0.1406235773149655	-0.1888921489189367	-0.014759405634774101	0.028631902242745862	0.17158080553897506	-0.1928903924760191	0.12296401201574976	0.37339820735895235	-0.12498666497466777	0.26483671195278446	-0.10357728578176144	0.17743549477128776	0.10588539907916845	-0.08376011632792356	-0.025337732662784482	0.27309020274672413	-0.10070188563429139	0.23683310171455957	-0.055536759778737864	-0.005404207881022621	0.3056451726376852	0.03658476535113705	-0.06452863539529656	0.18871904004158016
AVPR2	Coupled	Coupled	-	-	Vasopressin and oxytocin receptors	classA	-0.1373848466248076	0.10501865256877299	0.07227226409370817	-0.3969384864146076	-0.05902326554792841	0.16780631500948281	0.06508798965030267	0.1963123231076955	0.1454799862722363	-0.33004001387514553	-0.019433874074627985	0.11162001969748299	0.18946250294917752	-0.2651685676867114	0.14003494881635478	-0.030631242378486915	0.13640939133773172	-0.07465860926889474	0.32419427198961637	0.37052202448813776	-0.014194022074098964	-0.10165758512103508	-0.19232860085929648	-0.2900210432553964	-0.14293337633543654	0.010697124221997143	-0.0528499228871153	0.2640327238465899	0.20050257816873449	0.25688033929997695	0.22054998053282127	0.10078353834055871	0.22580192270688873	0.23222742542639682	0.0688498388138988	-0.06504764330004151	0.018390470363052157	0.08228013836556823	0.12800283425310088	0.01524045471189507
