Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	1.0043689012527466	6.404728889465332
LGR6	-	-	-	-	NA	classA	-5.2102885246276855	7.328474998474121
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-8.074427604675293	6.564121246337891
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-5.237515449523926	7.477195739746094
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	-5.553160190582275	6.440779685974121
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-4.232351779937744	6.931122779846191
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	-9.385091781616211	2.880516767501831
GRM7	Coupled	-	-	-	Metabotropic glutamate receptors	classC	-6.674039363861084	7.194515705108643
GRM4	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-5.779637336730957	6.999438762664795
ADGRF1	-	-	-	-	NA	classB	-8.742881774902344	4.671032428741455
GRM8	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-8.459505081176758	6.344171524047852
LGR5	-	-	-	-	NA	classA	-4.87026834487915	4.797015190124512
ADGRE1	-	-	-	-	NA	classB	5.267718315124512	6.902438640594482
GRM3	Coupled	-	-	-	Metabotropic glutamate receptors	classC	-9.652803421020508	5.3080830574035645
GRM6	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-5.607714653015137	7.724040508270264
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-8.570379257202148	4.770132064819336
GRM2	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-8.457220077514648	6.508108615875244
TAS1R3	-	-	-	-	NA	classC	-3.5896992683410645	5.105406284332275
TAS1R1	-	-	-	-	NA	classC	-8.274721145629883	4.029205322265625
TAS1R2	-	-	-	-	NA	classC	-7.974189281463623	2.1374013423919678
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	4.256507396697998	7.184721946716309
ADGRE2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	5.454152584075928	6.549493789672852
GPR156	-	-	-	-	NA	classC	5.529769420623779	9.596590042114258
ADGRG7	-	-	-	-	NA	classB	-3.415477752685547	4.726978778839111
SMO	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	1.0522023439407349	7.044041633605957
TSHR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	-11.346631050109863	2.989457607269287
RXFP1	Coupled	-	-	-	Relaxin family peptide receptors	classA	-8.815023422241211	1.9953075647354126
RXFP2	Coupled	-	-	-	Relaxin family peptide receptors	classA	-9.045923233032227	1.1195327043533325
GPR149	-	-	-	-	NA	classA	-3.1263890266418457	7.281850337982178
ADGRF2	-	-	-	-	NA	classB	-11.903733253479004	2.9317169189453125
FZD6	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	0.6367078423500061	4.883483409881592
LHCGR	Not-coupled	-	-	-	Glycoprotein hormone receptors	classA	-13.756604194641113	2.6910364627838135
ADGRF4	-	-	-	-	NA	classB	-7.026190757751465	2.7912189960479736
FSHR	Coupled	-	-	-	Glycoprotein hormone receptors	classA	-10.89417552947998	1.9885636568069458
FZD8	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	11.408442497253418	7.890610694885254
ADGRG1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-4.733466148376465	2.637956142425537
ADGRL4	-	-	-	-	NA	classB	-6.556873321533203	2.131187677383423
FZD3	Not-coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	1.8728288412094116	2.9147698879241943
ADGRE3	-	-	-	-	NA	classB	-2.44071626663208	3.6605358123779297
FZD1	Coupled	-	-	-	Class Frizzled GPCRs	Frizzeled	3.3115925788879395	6.041910648345947
GPR50	-	-	-	-	NA	classA	14.822999954223633	5.899875164031982
