Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	55.196571350097656	-0.6043109893798828
LGR6	-	-	-	-	NA	classA	10.387725830078125	13.405856132507324
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	39.65230941772461	11.172861099243164
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	31.619882583618164	19.03860855102539
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	9.855850219726562	14.381243705749512
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	37.702945709228516	12.704452514648438
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	35.38102722167969	15.582201957702637
GRM7	Coupled	-	-	-	Metabotropic glutamate receptors	classC	22.14617156982422	25.596235275268555
GRM4	Coupled	-	Coupled	-	Metabotropic glutamate receptors	classC	19.08426856994629	28.272113800048828
ADGRF1	-	-	-	-	NA	classB	45.19844436645508	7.613076686859131
GRM8	Coupled	-	Coupled	-	Metabotropic glutamate receptors	classC	22.785236358642578	25.39908790588379
LGR5	-	-	-	-	NA	classA	7.547494888305664	14.214422225952148
ADGRE1	-	-	-	-	NA	classB	10.680961608886719	30.6025390625
GRM3	Coupled	-	-	-	Metabotropic glutamate receptors	classC	22.845046997070312	24.33218765258789
GRM6	Coupled	-	Coupled	-	Metabotropic glutamate receptors	classC	21.49108123779297	26.132099151611328
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	42.37928009033203	10.718443870544434
GRM2	Coupled	-	Coupled	-	Metabotropic glutamate receptors	classC	19.33972930908203	25.79714584350586
TAS1R3	-	-	-	-	NA	classC	35.756858825683594	16.2076416015625
TAS1R1	-	-	-	-	NA	classC	26.015316009521484	23.112041473388672
TAS1R2	-	-	-	-	NA	classC	32.118961334228516	18.753992080688477
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	11.204181671142578	31.422697067260742
