DimR	Family	Layer	Score
PCA	Lysophospholipid (LPA) receptors	0	0.028
PCA	Lysophospholipid (LPA) receptors	2	0.025
PCA	Lysophospholipid (LPA) receptors	22	0.024
PCA	Lysophospholipid (LPA) receptors	19	0.021
PCA	Lysophospholipid (LPA) receptors	6	0.021
PCA	Lysophospholipid (LPA) receptors	18	0.019
PCA	Lysophospholipid (LPA) receptors	20	0.019
PCA	Lysophospholipid (LPA) receptors	17	0.019
PCA	Lysophospholipid (LPA) receptors	8	0.018
PCA	Lysophospholipid (LPA) receptors	16	0.018
PCA	Lysophospholipid (LPA) receptors	7	0.018
PCA	Lysophospholipid (LPA) receptors	11	0.018
PCA	Lysophospholipid (LPA) receptors	12	0.017
PCA	Lysophospholipid (LPA) receptors	13	0.017
PCA	Lysophospholipid (LPA) receptors	14	0.017
PCA	Lysophospholipid (LPA) receptors	21	0.016
PCA	Lysophospholipid (LPA) receptors	15	0.016
PCA	Lysophospholipid (LPA) receptors	24	0.014
PCA	Lysophospholipid (LPA) receptors	9	0.011
PCA	Lysophospholipid (LPA) receptors	33	0.011
PCA	Lysophospholipid (LPA) receptors	10	0.011
PCA	Lysophospholipid (LPA) receptors	23	0.01
PCA	Lysophospholipid (LPA) receptors	32	0.009
PCA	Lysophospholipid (LPA) receptors	31	0.008
PCA	Lysophospholipid (LPA) receptors	29	0.007
PCA	Lysophospholipid (LPA) receptors	26	0.006
PCA	Lysophospholipid (LPA) receptors	30	0.006
PCA	Lysophospholipid (LPA) receptors	25	0.005
PCA	Lysophospholipid (LPA) receptors	5	0.004
PCA	Lysophospholipid (LPA) receptors	1	0.003
PCA	Lysophospholipid (LPA) receptors	3	0.002
PCA	Lysophospholipid (LPA) receptors	27	0.002
PCA	Lysophospholipid (LPA) receptors	28	0.002
PCA	Lysophospholipid (LPA) receptors	4	0.001
