DimR	Family	Layer	Score
PCA	Motilin receptor	1	0.015
PCA	Motilin receptor	23	0.009
PCA	Motilin receptor	33	0.008
PCA	Motilin receptor	3	0.007
PCA	Motilin receptor	5	0.007
PCA	Motilin receptor	25	0.007
PCA	Motilin receptor	24	0.007
PCA	Motilin receptor	32	0.006
PCA	Motilin receptor	31	0.006
PCA	Motilin receptor	30	0.006
PCA	Motilin receptor	29	0.006
PCA	Motilin receptor	26	0.006
PCA	Motilin receptor	28	0.005
PCA	Motilin receptor	27	0.005
PCA	Motilin receptor	0	0.005
PCA	Motilin receptor	2	0.005
PCA	Motilin receptor	17	0.004
PCA	Motilin receptor	18	0.004
PCA	Motilin receptor	19	0.004
PCA	Motilin receptor	20	0.004
PCA	Motilin receptor	4	0.004
PCA	Motilin receptor	22	0.004
PCA	Motilin receptor	6	0.004
PCA	Motilin receptor	8	0.003
PCA	Motilin receptor	7	0.003
PCA	Motilin receptor	15	0.003
PCA	Motilin receptor	11	0.003
PCA	Motilin receptor	16	0.003
PCA	Motilin receptor	13	0.003
PCA	Motilin receptor	21	0.003
PCA	Motilin receptor	14	0.003
PCA	Motilin receptor	12	0.003
PCA	Motilin receptor	10	0.002
PCA	Motilin receptor	9	0.002
