DimR	Family	Layer	Score
PCA	Dopamine receptors	2	0.025
PCA	Dopamine receptors	19	0.018
PCA	Dopamine receptors	17	0.016
PCA	Dopamine receptors	20	0.016
PCA	Dopamine receptors	16	0.016
PCA	Dopamine receptors	7	0.015
PCA	Dopamine receptors	8	0.015
PCA	Dopamine receptors	11	0.015
PCA	Dopamine receptors	12	0.015
PCA	Dopamine receptors	13	0.015
PCA	Dopamine receptors	14	0.015
PCA	Dopamine receptors	21	0.014
PCA	Dopamine receptors	15	0.013
PCA	Dopamine receptors	9	0.01
PCA	Dopamine receptors	10	0.01
PCA	Dopamine receptors	0	0.006
PCA	Dopamine receptors	32	0.005
PCA	Dopamine receptors	31	0.005
PCA	Dopamine receptors	27	0.004
PCA	Dopamine receptors	28	0.004
PCA	Dopamine receptors	4	0.003
PCA	Dopamine receptors	6	0.002
PCA	Dopamine receptors	33	0.002
PCA	Dopamine receptors	22	0.002
PCA	Dopamine receptors	24	0.001
PCA	Dopamine receptors	1	0.001
PCA	Dopamine receptors	5	0.001
PCA	Dopamine receptors	23	0.0
PCA	Dopamine receptors	26	0.0
PCA	Dopamine receptors	3	0.0
PCA	Dopamine receptors	29	0.0
PCA	Dopamine receptors	30	0.0
PCA	Dopamine receptors	18	0.0
PCA	Dopamine receptors	25	0.0
PCA	Class A Orphans	17	0.019
PCA	Class A Orphans	18	0.018
PCA	Class A Orphans	21	0.017
PCA	Class A Orphans	19	0.017
PCA	Class A Orphans	16	0.016
PCA	Class A Orphans	11	0.015
PCA	Class A Orphans	1	0.014
PCA	Class A Orphans	15	0.014
PCA	Class A Orphans	12	0.012
PCA	Class A Orphans	22	0.012
PCA	Class A Orphans	14	0.012
PCA	Class A Orphans	13	0.012
PCA	Class A Orphans	0	0.011
PCA	Class A Orphans	2	0.01
PCA	Class A Orphans	20	0.01
PCA	Class A Orphans	3	0.007
PCA	Class A Orphans	8	0.003
PCA	Class A Orphans	4	0.003
PCA	Class A Orphans	33	0.002
PCA	Class A Orphans	32	0.002
PCA	Class A Orphans	31	0.002
PCA	Class A Orphans	24	0.001
PCA	Class A Orphans	23	0.001
PCA	Class A Orphans	7	0.001
PCA	Class A Orphans	9	0.0
PCA	Class A Orphans	5	0.0
PCA	Class A Orphans	25	0.0
PCA	Class A Orphans	26	0.0
PCA	Class A Orphans	27	0.0
PCA	Class A Orphans	28	0.0
PCA	Class A Orphans	29	0.0
PCA	Class A Orphans	30	0.0
PCA	Class A Orphans	6	0.0
PCA	Class A Orphans	10	0.0
PCA	Thyrotropin-releasing hormone receptors	4	0.018
PCA	Thyrotropin-releasing hormone receptors	1	0.015
PCA	Thyrotropin-releasing hormone receptors	22	0.014
PCA	Thyrotropin-releasing hormone receptors	23	0.009
PCA	Thyrotropin-releasing hormone receptors	33	0.008
PCA	Thyrotropin-releasing hormone receptors	5	0.008
PCA	Thyrotropin-releasing hormone receptors	3	0.007
PCA	Thyrotropin-releasing hormone receptors	25	0.007
PCA	Thyrotropin-releasing hormone receptors	24	0.007
PCA	Thyrotropin-releasing hormone receptors	32	0.006
PCA	Thyrotropin-releasing hormone receptors	31	0.006
PCA	Thyrotropin-releasing hormone receptors	30	0.006
PCA	Thyrotropin-releasing hormone receptors	29	0.006
PCA	Thyrotropin-releasing hormone receptors	26	0.006
