DimR	Family	Layer	Score
PCA	Class A Orphans	17	0.019
PCA	Class A Orphans	18	0.018
PCA	Class A Orphans	21	0.017
PCA	Class A Orphans	19	0.017
PCA	Class A Orphans	16	0.016
PCA	Class A Orphans	11	0.015
PCA	Class A Orphans	1	0.014
PCA	Class A Orphans	15	0.014
PCA	Class A Orphans	12	0.012
PCA	Class A Orphans	22	0.012
PCA	Class A Orphans	14	0.012
PCA	Class A Orphans	13	0.012
PCA	Class A Orphans	0	0.011
PCA	Class A Orphans	2	0.01
PCA	Class A Orphans	20	0.01
PCA	Class A Orphans	3	0.007
PCA	Class A Orphans	8	0.003
PCA	Class A Orphans	4	0.003
PCA	Class A Orphans	33	0.002
PCA	Class A Orphans	32	0.002
PCA	Class A Orphans	31	0.002
PCA	Class A Orphans	24	0.001
PCA	Class A Orphans	23	0.001
PCA	Class A Orphans	7	0.001
PCA	Class A Orphans	9	0.0
PCA	Class A Orphans	5	0.0
PCA	Class A Orphans	25	0.0
PCA	Class A Orphans	26	0.0
PCA	Class A Orphans	27	0.0
PCA	Class A Orphans	28	0.0
PCA	Class A Orphans	29	0.0
PCA	Class A Orphans	30	0.0
PCA	Class A Orphans	6	0.0
PCA	Class A Orphans	10	0.0
