DimR	Family	Layer	Score
PCA	Neuropeptide S receptor	4	0.018
PCA	Neuropeptide S receptor	1	0.015
PCA	Neuropeptide S receptor	33	0.008
PCA	Neuropeptide S receptor	5	0.008
PCA	Neuropeptide S receptor	25	0.008
PCA	Neuropeptide S receptor	3	0.007
PCA	Neuropeptide S receptor	24	0.007
PCA	Neuropeptide S receptor	32	0.006
PCA	Neuropeptide S receptor	31	0.006
PCA	Neuropeptide S receptor	30	0.006
PCA	Neuropeptide S receptor	29	0.006
PCA	Neuropeptide S receptor	26	0.006
PCA	Neuropeptide S receptor	23	0.006
PCA	Neuropeptide S receptor	28	0.005
PCA	Neuropeptide S receptor	27	0.005
PCA	Neuropeptide S receptor	0	0.005
PCA	Neuropeptide S receptor	2	0.005
PCA	Neuropeptide S receptor	17	0.004
PCA	Neuropeptide S receptor	18	0.004
PCA	Neuropeptide S receptor	19	0.004
PCA	Neuropeptide S receptor	20	0.004
PCA	Neuropeptide S receptor	22	0.004
PCA	Neuropeptide S receptor	6	0.004
PCA	Neuropeptide S receptor	11	0.003
PCA	Neuropeptide S receptor	7	0.003
PCA	Neuropeptide S receptor	8	0.003
PCA	Neuropeptide S receptor	16	0.003
PCA	Neuropeptide S receptor	15	0.003
PCA	Neuropeptide S receptor	13	0.003
PCA	Neuropeptide S receptor	14	0.003
PCA	Neuropeptide S receptor	21	0.003
PCA	Neuropeptide S receptor	12	0.003
PCA	Neuropeptide S receptor	10	0.002
PCA	Neuropeptide S receptor	9	0.002
