DimR	Family	Layer	Score
PCA	Prostanoid receptors	0	0.015
PCA	Prostanoid receptors	2	0.012
PCA	Prostanoid receptors	33	0.01
PCA	Prostanoid receptors	27	0.006
PCA	Prostanoid receptors	28	0.006
PCA	Prostanoid receptors	7	0.004
PCA	Prostanoid receptors	8	0.004
PCA	Prostanoid receptors	11	0.004
PCA	Prostanoid receptors	13	0.004
PCA	Prostanoid receptors	29	0.003
PCA	Prostanoid receptors	21	0.003
PCA	Prostanoid receptors	12	0.003
PCA	Prostanoid receptors	14	0.003
PCA	Prostanoid receptors	15	0.002
PCA	Prostanoid receptors	25	0.002
PCA	Prostanoid receptors	23	0.002
PCA	Prostanoid receptors	22	0.002
PCA	Prostanoid receptors	26	0.002
PCA	Prostanoid receptors	30	0.002
PCA	Prostanoid receptors	1	0.001
PCA	Prostanoid receptors	19	0.001
PCA	Prostanoid receptors	6	0.001
PCA	Prostanoid receptors	24	0.001
PCA	Prostanoid receptors	5	0.001
PCA	Prostanoid receptors	31	0.0
PCA	Prostanoid receptors	32	0.0
PCA	Prostanoid receptors	3	0.0
PCA	Prostanoid receptors	18	0.0
PCA	Prostanoid receptors	20	0.0
PCA	Prostanoid receptors	4	0.0
PCA	Prostanoid receptors	16	0.0
PCA	Prostanoid receptors	10	0.0
PCA	Prostanoid receptors	9	0.0
PCA	Prostanoid receptors	17	0.0
