DimR	Family	Layer	Score
PCA	Leukotriene receptors	0	0.028
PCA	Leukotriene receptors	2	0.025
PCA	Leukotriene receptors	25	0.018
PCA	Leukotriene receptors	5	0.015
PCA	Leukotriene receptors	3	0.011
PCA	Leukotriene receptors	23	0.01
PCA	Leukotriene receptors	30	0.006
PCA	Leukotriene receptors	26	0.006
PCA	Leukotriene receptors	1	0.003
PCA	Leukotriene receptors	24	0.003
PCA	Leukotriene receptors	22	0.003
PCA	Leukotriene receptors	28	0.002
PCA	Leukotriene receptors	27	0.002
PCA	Leukotriene receptors	19	0.002
PCA	Leukotriene receptors	33	0.002
PCA	Leukotriene receptors	10	0.002
PCA	Leukotriene receptors	9	0.002
PCA	Leukotriene receptors	32	0.001
PCA	Leukotriene receptors	31	0.001
PCA	Leukotriene receptors	4	0.001
PCA	Leukotriene receptors	29	0.001
PCA	Leukotriene receptors	6	0.001
PCA	Leukotriene receptors	7	0.001
PCA	Leukotriene receptors	8	0.001
PCA	Leukotriene receptors	17	0.001
PCA	Leukotriene receptors	16	0.001
PCA	Leukotriene receptors	11	0.001
PCA	Leukotriene receptors	20	0.001
PCA	Leukotriene receptors	18	0.001
PCA	Leukotriene receptors	12	0.0
PCA	Leukotriene receptors	21	0.0
PCA	Leukotriene receptors	13	0.0
PCA	Leukotriene receptors	14	0.0
PCA	Leukotriene receptors	15	0.0
