DimR	Family	Layer	Score
PCA	Opioid receptors	33	0.024
PCA	Opioid receptors	0	0.019
PCA	Opioid receptors	22	0.016
PCA	Opioid receptors	6	0.015
PCA	Opioid receptors	4	0.014
PCA	Opioid receptors	19	0.014
PCA	Opioid receptors	18	0.013
PCA	Opioid receptors	11	0.013
PCA	Opioid receptors	20	0.013
PCA	Opioid receptors	16	0.013
PCA	Opioid receptors	17	0.013
PCA	Opioid receptors	7	0.013
PCA	Opioid receptors	12	0.012
PCA	Opioid receptors	13	0.012
PCA	Opioid receptors	14	0.012
PCA	Opioid receptors	28	0.012
PCA	Opioid receptors	8	0.012
PCA	Opioid receptors	27	0.012
PCA	Opioid receptors	15	0.011
PCA	Opioid receptors	21	0.011
PCA	Opioid receptors	32	0.01
PCA	Opioid receptors	31	0.01
PCA	Opioid receptors	29	0.009
PCA	Opioid receptors	26	0.008
PCA	Opioid receptors	30	0.008
PCA	Opioid receptors	9	0.008
PCA	Opioid receptors	10	0.008
PCA	Opioid receptors	25	0.007
PCA	Opioid receptors	24	0.005
PCA	Opioid receptors	23	0.003
PCA	Opioid receptors	2	0.001
PCA	Opioid receptors	3	0.0
PCA	Opioid receptors	1	0.0
PCA	Opioid receptors	5	0.0
