DimR	Family	Layer	Score
PCA	Relaxin family peptide receptors	11	0.032
PCA	Relaxin family peptide receptors	2	0.016
PCA	Relaxin family peptide receptors	1	0.016
PCA	Relaxin family peptide receptors	0	0.013
PCA	Relaxin family peptide receptors	21	0.013
PCA	Relaxin family peptide receptors	12	0.011
PCA	Relaxin family peptide receptors	14	0.011
PCA	Relaxin family peptide receptors	13	0.011
PCA	Relaxin family peptide receptors	8	0.01
PCA	Relaxin family peptide receptors	20	0.009
PCA	Relaxin family peptide receptors	7	0.009
PCA	Relaxin family peptide receptors	18	0.008
PCA	Relaxin family peptide receptors	17	0.008
PCA	Relaxin family peptide receptors	10	0.007
PCA	Relaxin family peptide receptors	3	0.007
PCA	Relaxin family peptide receptors	9	0.007
PCA	Relaxin family peptide receptors	19	0.006
PCA	Relaxin family peptide receptors	6	0.005
PCA	Relaxin family peptide receptors	5	0.005
PCA	Relaxin family peptide receptors	25	0.004
PCA	Relaxin family peptide receptors	22	0.003
PCA	Relaxin family peptide receptors	30	0.003
PCA	Relaxin family peptide receptors	26	0.003
PCA	Relaxin family peptide receptors	29	0.002
PCA	Relaxin family peptide receptors	32	0.002
PCA	Relaxin family peptide receptors	31	0.002
PCA	Relaxin family peptide receptors	28	0.002
PCA	Relaxin family peptide receptors	15	0.001
PCA	Relaxin family peptide receptors	27	0.001
PCA	Relaxin family peptide receptors	23	0.0
PCA	Relaxin family peptide receptors	24	0.0
PCA	Relaxin family peptide receptors	4	0.0
PCA	Relaxin family peptide receptors	16	0.0
PCA	Relaxin family peptide receptors	33	0.0
