DimR	Family	Layer	Score
PCA	Acetylcholine receptors (muscarinic)	0	0.051
PCA	Acetylcholine receptors (muscarinic)	33	0.038
PCA	Acetylcholine receptors (muscarinic)	10	0.03
PCA	Acetylcholine receptors (muscarinic)	30	0.029
PCA	Acetylcholine receptors (muscarinic)	9	0.028
PCA	Acetylcholine receptors (muscarinic)	22	0.028
PCA	Acetylcholine receptors (muscarinic)	26	0.028
PCA	Acetylcholine receptors (muscarinic)	29	0.027
PCA	Acetylcholine receptors (muscarinic)	32	0.026
PCA	Acetylcholine receptors (muscarinic)	31	0.026
PCA	Acetylcholine receptors (muscarinic)	27	0.024
PCA	Acetylcholine receptors (muscarinic)	28	0.024
PCA	Acetylcholine receptors (muscarinic)	8	0.022
PCA	Acetylcholine receptors (muscarinic)	23	0.013
PCA	Acetylcholine receptors (muscarinic)	24	0.009
PCA	Acetylcholine receptors (muscarinic)	15	0.009
PCA	Acetylcholine receptors (muscarinic)	21	0.008
PCA	Acetylcholine receptors (muscarinic)	2	0.008
PCA	Acetylcholine receptors (muscarinic)	25	0.007
PCA	Acetylcholine receptors (muscarinic)	14	0.006
PCA	Acetylcholine receptors (muscarinic)	12	0.006
PCA	Acetylcholine receptors (muscarinic)	13	0.006
PCA	Acetylcholine receptors (muscarinic)	16	0.005
PCA	Acetylcholine receptors (muscarinic)	11	0.005
PCA	Acetylcholine receptors (muscarinic)	7	0.005
PCA	Acetylcholine receptors (muscarinic)	18	0.004
PCA	Acetylcholine receptors (muscarinic)	20	0.004
PCA	Acetylcholine receptors (muscarinic)	17	0.004
PCA	Acetylcholine receptors (muscarinic)	4	0.003
PCA	Acetylcholine receptors (muscarinic)	19	0.002
PCA	Acetylcholine receptors (muscarinic)	6	0.002
PCA	Acetylcholine receptors (muscarinic)	1	0.001
PCA	Acetylcholine receptors (muscarinic)	5	0.001
PCA	Acetylcholine receptors (muscarinic)	3	0.0
