#Receptor IUPHAR ID	Gene name	Synonyms	Family	Primary coupling	Secondary coupling
1	HTR1A	ADRBRL1|5-HT1A|ADRB2RL1|serotonin receptor 1A|Gpcr18	5-Hydroxytryptamine receptors	Gi/Go family		3	10585418,12145108,2549039,
2	HTR1B	5-HT1B|5-HT1DB|HTR1D2|5-HT1B serotonin receptor|serotonin receptor 1B|5-HT<sub>1D&beta;</sub>	5-Hydroxytryptamine receptors	Gi/Go family		2	9840417,12145108,
3	HTR1D	5-HT<sub>1D&alpha;</sub>|HTRL|5-HT1D|HT1DA|serotonin receptor 1D|Gpcr14|Htr1db	5-Hydroxytryptamine receptors	Gi/Go family		2	1652050,12145108,
4	HTR1E	5-HT<sub>1E</sub><sub>&alpha;</sub>|5-HT1E	5-Hydroxytryptamine receptors	Gi/Go family		1	7984278,
5	HTR1F	5-HT<sub>1E&beta;</sub>|5-HT<sub>6</sub>|5-HT1F|HTR1EL|serotonin receptor 1F	5-Hydroxytryptamine receptors	Gi/Go family		1	8133900,
6	HTR2A	'D' receptor|5Ht-2|serotonin 5HT-2 receptor|serotonin receptor 2A	5-Hydroxytryptamine receptors	Gq/G11 family	Gi/Go family	2	11976386,7651356,
7	HTR2B	5-HT<sub>2F</sub>|5-HT2B|serotonin receptor 2B|stomach fundus serotonin receptor	5-Hydroxytryptamine receptors	Gq/G11 family		2	8621713,7700243,
8	HTR2C	5-HT<sub>1C</sub>|5-HT2C|HTR1C|5-HTR2C|5-hydroxytryptamine receptor 1C|serotonin 1c receptor|serotonin receptor 2C	5-Hydroxytryptamine receptors	Gq/G11 family	Gi/Go family	3	11976386,8809227,2940597,
9	HTR4	5-HT4|serotonin receptor 4	5-Hydroxytryptamine receptors	Gs family	G12/G13 family	8	1319906,12819788,1311410,2314390,2169944,7965722,2849052,11923294,
10	HTR5A	5-HT<sub>5&alpha;</sub>|5HT<sub>5-</sub>|5-HT-5A|MR22|serotonin receptor 5A|Htr5	5-Hydroxytryptamine receptors	Gi/Go family	Gq/G11 family	3	9865521,9720796,12558985,
11	HTR6	5-HT6|serotonin receptor 6|ST-B17	5-Hydroxytryptamine receptors	Gs family	Gq/G11 family	1	12860470,
12	HTR7	5-HTx|5-HT<sub>1Y</sub>|5-HT7|GPRFO|serotonin receptor 7	5-Hydroxytryptamine receptors	Gs family		1	9651336,
13	CHRM1	M1 muscarinic acetylcholine receptor|Chrm-1|M1R	Acetylcholine receptors (muscarinic)	Gq/G11 family		4	8925880,8626481,8441322,2841607,
14	CHRM2	M2 muscarinic acetylcholine receptor|AChR M2|Chrm-2	Acetylcholine receptors (muscarinic)	Gi/Go family	Gs family, Gq/G11 family	4	7608168,17065363,17392404,2841607,
15	CHRM3	HM4|Chrm-3|M3R	Acetylcholine receptors (muscarinic)	Gq/G11 family		2	8925880,2841607,
16	CHRM4	HM3|Chrm-4	Acetylcholine receptors (muscarinic)	Gi/Go family		2	7608168,2841607,
17	CHRM5	M5R	Acetylcholine receptors (muscarinic)	Gq/G11 family		1	8925880,
18	ADORA1	RDC7|adenosine receptor A1|A1-AR|A1R	Adenosine receptors	Gi/Go family	Gs family, Gq/G11 family	2	7798201,15302686,
19	ADORA2A	RDC8|A2-AR|adenosine receptor A2a	Adenosine receptors	Gs family	Gq/G11 family	2	8995267,15306230,
20	ADORA2B	adenosine receptor A2b|A2b|A2BR	Adenosine receptors	Gs family	Gq/G11 family	2	10496952,7560091,
21	ADORA3	Adenosine receptor A3|TGPCR1|A3AR|ARA3	Adenosine receptors	Gi/Go family	Gi/Go family	4	10496952,12817016,7622506,1323836,
22	ADRA1A	&alpha;<sub>1c</sub>|&alpha;<sub>1a</sub>|ADRA1C|ADRA1L1|adrenergic alpha 1c receptor|adrenergic receptor alpha 1c|alpha 1A-adrenoceptor|alpha 1A-adrenoreceptor|alpha 1C-adrenergic receptor|alpha-1A adrenergic receptor	Adrenoceptors	Gq/G11 family	G12/G13 family	4	14609720,14736339,11337028,14761886,
23	ADRA1B	adrenergic alpha 1B receptor|alpha 1B-adrenoceptor|alpha 1B-adrenoreceptor|alpha1B-adrenergic receptor	Adrenoceptors	Gq/G11 family		2	14609720,11337028,
24	ADRA1D	&alpha;<sub>1a/d</sub>-adrenoceptor|&alpha;<sub>1A</sub>-adrenoceptor|&alpha;<sub>1A/D</sub>|ADRA1|ADRA1A|ADRA1R|Adrd1|adrenergic receptor delta1|alpha 1D-adrenoceptor|alpha 1D-adrenoreceptor|Adra-1|alpha1D-AR|Gpcr8	Adrenoceptors	Gq/G11 family		2	14609720,11337028,
25	ADRA2A	&alpha;<sub>2D</sub>|ADRA2|ADRA2R|Adrenergic alpha 2A receptor|Adra-2|Adra-2a|alpha2A|alpha2A-adrenergic receptor|alpha2A-AR	Adrenoceptors	Gi/Go family	Gs family	4	1847497,2553931,2840317,1322406,
26	ADRA2B	&alpha;<sub>2</sub>-C2|ADRA2L1|ADRA2RL1|Adrenergic alpha2B- receptor class III|alpha-2B adrenergic receptor|alpha-2B adrenoreceptor|alpha-2BAR|Adra-2b|alpha2B	Adrenoceptors	Gi/Go family	Gs family	3	2553931,2840317,1322406,
27	ADRA2C	&alpha;<sub>2</sub>-C4|ADRA2L2|ADRA2RL2|Adrenergic alpha2C- receptor class I|alpha-2 adrenergic receptor subtype C4|alpha-2C adrenergic receptor|alpha-2C adrenoreceptor|Adra-2c	Adrenoceptors	Gi/Go family	Gs family	3	2553931,2840317,1322406,
28	ADRB1	ADRB1R|Adrenergic receptor beta 1|B1AR|beta-1 adrenergic receptor|beta-1 adrenoreceptor|Adrb-1|beta 1-AR	Adrenoceptors	Gs family	Gi/Go family	3	12106601,6143332,14711933,
29	ADRB2	ADRB2R|ADRBR|B2AR|beta-2 adrenergic receptor|beta-2 adrenoreceptor|Adrb-2|beta 2-AR|Gpcr7	Adrenoceptors	Gs family	Gi/Go family	4	12106601,9716378,6143332,14711933,
30	ADRB3	atypical &beta;-adrenoceptor|ADRB|beta-3 adrenoreceptor|Adrb-3|beta 3-AR|beta3-adrenergic receptor	Adrenoceptors	Gs family	Gi/Go family	6	9717730,10974023,None,10498836,14551227,14711933,
31	C3AR1	C3AR|C3a anaphylatoxin chemotactic receptor|C3a-R|anaphylatoxin C3a receptor	Complement peptide receptors	G protein (identity unknown)		2	21799898,21589858,
