#Gene	GNAS	GNAL	GNAI1	GNAI3	GNAO1	GNAZ	GNAQ	GNA14	GNA15	GNA12	GNA13
ADCYAP1R1	-0.04714	-0.07294	-1.43005	-1.38698	-1.42930	-1.66373	0.00000	-0.53101	-1.95789	-1.99156	-1.76898
ADORA1	-1.98764	-2.00000	-0.47730	-0.22081	0.00000	-0.09151	-1.73486	-1.33452	-1.11974	-1.68451	-2.00000
ADORA2A	0.00000	-0.04054	-0.25869	-0.20386	-0.01495	-0.14726	-0.21955	-0.07191	-2.00000	-1.51582	-1.76510
ADORA2B	-0.13174	-0.40706	-0.24133	-0.00968	0.00000	-0.48220	-0.73528	-0.13591	-1.90502	-1.45222	-1.09877
ADORA3	-2.00000	-2.00000	-0.15696	0.00000	-1.50925	-1.98858	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
ADRA1A	-0.03020	-0.15054	-1.44029	-1.39376	-1.86487	-1.85710	-0.17105	0.00000	-1.83517	-1.90580	-0.96162
ADRA1B	0.00000	-0.29882	-1.99448	-2.00000	-2.00000	-2.00000	-0.33952	-0.19594	-1.94376	-2.00000	-1.79881
ADRA1D	-0.07828	-0.21266	-1.85888	-1.81242	-2.00000	-1.90537	-0.04641	0.00000	-2.00000	-2.00000	-2.00000
ADRA2A	-2.00000	-2.00000	-0.31720	0.00000	-0.68567	-0.04739	-2.00000	-2.00000	-1.97678	-1.95716	-1.98985
ADRA2B	-1.85516	-2.00000	-0.19646	0.00000	-0.24760	-0.50983	-1.62882	-1.21025	-1.93874	-0.68628	-1.15422
ADRA2C	-2.00000	-2.00000	-0.13152	-0.08660	-0.62025	0.00000	-1.85928	-1.78283	-2.00000	-1.88555	-1.98989
ADRB1	-0.14748	-0.34919	-1.46379	-1.48693	-1.71626	-1.76282	-1.01237	0.00000	-2.00000	-2.00000	-1.82601
ADRB2	0.00000	-0.23734	-1.97250	-1.62264	-1.48299	-1.84855	-0.57190	-0.00225	-2.00000	-2.00000	-2.00000
ADRB3	0.00000	-0.30579	-2.00000	-2.00000	-1.84420	-1.98743	-1.91736	-1.75285	-2.00000	-2.00000	-2.00000
AGTR1	-1.44630	-1.48944	-0.44783	0.00000	-1.65227	-2.00000	-0.04236	-0.16124	-0.00412	-1.02145	-1.28022
APLNR	-2.00000	-2.00000	0.00000	-0.05256	-1.16850	-1.53738	-1.09206	-0.82610	-2.00000	-1.87117	-2.00000
AVPR1A	-0.57081	-0.65461	-1.37350	-1.41154	-2.00000	-1.98473	0.00000	-1.24571	-2.00000	-2.00000	-2.00000
AVPR1B	-0.32886	-0.40103	-0.93737	-0.85355	-1.50749	-1.53586	0.00000	-1.13920	-1.99464	-1.80135	-1.99432
AVPR2	0.00000	-0.07675	-2.00000	-2.00000	-2.00000	-1.88081	-2.00000	-2.00000	-2.00000	-1.90779	-2.00000
BDKRB1	-0.45126	-0.57435	-0.00073	-0.04559	-0.09400	-1.09822	0.00000	-0.11970	-0.07355	-0.54959	-0.22555
BDKRB2	-1.86387	-2.00000	-0.29897	0.00000	-0.75297	-1.71713	-0.02620	-0.06147	-0.19893	-0.89701	-0.69668
CCKAR	-0.59062	-0.60688	-0.19554	-0.10113	-0.86399	-1.41199	-0.26519	0.00000	-0.78360	-0.65899	-1.04715
CCKBR	-0.49648	-0.53106	-0.37191	-0.16050	-0.99106	-1.36166	-0.05118	0.00000	-0.91982	-0.73483	-0.83521
CHRM1	-1.29848	-1.42453	-0.59903	-0.33314	-1.21998	-1.07515	0.00000	-0.17469	-1.42943	-1.97456	-2.00000
CHRM2	-2.00000	-2.00000	-0.20786	0.00000	-0.65374	-1.59967	-1.76411	-1.82396	-2.00000	-2.00000	-2.00000
CHRM3	-1.36071	-1.38240	-0.39477	-0.20727	-1.08799	-1.00073	0.00000	-0.14899	-0.73261	-1.39334	-1.95082
CHRM4	-1.92417	-2.00000	-0.22436	0.00000	-0.47972	-1.27647	-1.54339	-1.47796	-2.00000	-2.00000	-2.00000
CHRM5	-1.006801058	-1.055102479	-0.158510987	-0.124873767	-0.856986456	-0.783232396	-2.11636E-17	-0.083403515	-0.211568782	-1.094642399	-1.857161513
CNR1	-2.00000	-2.00000	-0.03356	-0.12272	0.00000	-0.32017	-1.68230	-0.74336	-1.67608	-0.05154	-0.23640
CNR2	-2.00000	-2.00000	0.00000	-0.01969	-0.25110	-0.63331	-2.00000	-1.33895	-2.00000	-1.92409	-2.00000
CYSLTR1	-1.28933	-1.42185	-0.94147	-0.53812	-1.35557	-1.76497	0.00000	-0.19681	-0.68631	-1.94305	-2.00000
CYSLTR2	-2.00000	-2.00000	-1.45901	-0.74971	-1.62976	-0.62547	0.00000	-0.11864	-1.81328	-1.94613	-1.99959
DRD1	0.00000	-0.15166	-0.86143	-0.88252	-1.41458	-0.34515	-0.31446	-0.08854	-2.00000	-1.70006	-1.54489
DRD2	-2.00000	-2.00000	-0.20928	0.00000	-0.42709	-0.58903	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
DRD3	-2.00000	-2.00000	-0.78370	0.00000	-0.71144	-0.26208	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
DRD4	-2.00000	-2.00000	-0.42642	0.00000	-0.48391	-0.38653	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
DRD5	-0.03414	0.00000	-0.45799	-0.61187	-0.41597	-0.88439	-0.24088	-0.11900	-1.85059	-0.59274	-0.57531
EDNRA	-0.60978	-0.80233	-0.01976	-0.12175	-0.59388	-0.34189	-0.12482	0.00000	-0.63507	-0.03439	-0.50938
EDNRB	-0.90170	-0.97912	0.00000	-0.01599	-0.58184	-0.41713	-0.64804	-0.47648	-0.41020	-0.05182	-0.48085
F2R	-2.00000	-2.00000	-0.01509	-0.09276	-0.34689	-0.66831	-0.20379	-0.47284	0.00000	-0.01933	-0.21679
F2RL1	-0.99296	-1.09287	0.00000	-0.08868	-0.32386	-0.42488	-0.12112	-0.19247	-0.23932	-0.09800	-0.13944
F2RL2	-0.57820	-0.78877	-0.48789	-0.14516	-0.75148	-1.28972	-1.35600	-0.69769	-0.24882	0.00000	-0.64797
F2RL3	-0.62413	-0.65353	-0.09549	0.00000	-0.43363	-0.99356	-0.11211	-0.34041	-1.16999	-0.17126	-0.00296
FFAR1	-0.33747	-0.31796	-0.40774	-2.00000	-0.35187	-1.04288	0.00000	-2.00000	-1.25291	-0.91188	-1.14906
FFAR2	-0.56904	-0.62901	-2.00000	-1.34467	-0.61633	-1.63035	-0.07402	-2.00000	-0.15375	0.00000	-0.06484
FFAR3	-2.00000	-2.00000	0.00000	-0.15895	-1.05005	-1.11411	-2.00000	-1.92133	-1.93413	-0.41889	-1.03584
FFAR4	-0.46563	-0.64311	0.00000	-0.08270	-0.34676	-0.38244	-0.53213	-0.38919	-1.49496	-0.65820	-0.76965
FPR1	-2.00000	-2.00000	-0.92480	0.00000	-1.84148	-2.00000	-1.93606	-0.77280	-2.00000	-2.00000	-2.00000
FPR2	-2.00000	-1.92165	-1.01685	-0.18374	-1.30214	-1.44066	-1.40928	0.00000	-1.90229	-1.73311	-1.58952
GALR1	-1.99464	-1.90210	-0.36209	0.00000	-0.82745	-1.49690	-1.44263	-1.47781	-1.94473	-1.64084	-1.87373
GALR2	-2.00000	-2.00000	-0.86135	-0.22468	-1.06708	-1.93482	0.00000	-0.34256	-0.86787	-0.32421	-0.81602
GALR3	-2.00000	-2.00000	-0.30325	0.00000	-0.10511	-0.17536	-1.84103	-0.58584	-1.86702	-2.00000	-2.00000
GHSR	-0.37257	-0.52465	-0.69100	-0.33731	-0.22003	-0.47850	-0.45328	0.00000	-0.11672	-0.16924	-0.20448
GIPR	0.00000	-0.11137	-1.69615	-1.57278	-1.94622	-1.84416	-1.49024	-1.08620	-2.00000	-1.65959	-1.92393
GNRHR	-0.11871	-0.19714	-0.97968	-0.49990	-1.44019	-1.11904	0.00000	-0.21608	-1.98760	-1.97244	-2.00000
GPR17	-2.00000	-2.00000	0.00000	-0.09046	-0.91543	-1.88713	-0.22968	-1.37092	-2.00000	-1.61330	-1.79789
GPR34	-1.32419	-2.00000	0.00000	-0.32803	-0.16659	-1.31058	-2.00000	-2.00000	-1.83484	-1.52051	-2.00000
GPR35	-2.00000	-2.00000	-0.22216	-0.17500	0.00000	-0.84730	-2.00000	-2.00000	-2.00000	-0.12814	-0.33622
GPR55	-2.00000	-2.00000	-2.00000	-1.45152	-1.93937	-2.00000	-1.98107	-1.94686	-1.98866	-2.00000	0.00000
GPR84	-2.00000	-1.80805	-0.51717	0.00000	-0.30917	-0.87711	-1.84460	-1.68528	-1.47253	-1.46137	-1.81144
GPR119	0.00000	-0.15099	-0.99605	-0.73894	-0.52647	-0.08035	-0.20795	-0.03056	-1.77020	-1.49979	-1.41084
GPR132	-0.00833	-0.20766	-1.82740	-0.81384	-0.68301	-0.54873	0.00000	-0.12921	-0.38145	-0.73055	-0.71479
GPR174	0.00000	-0.47884	-1.84194	-1.68837	-1.92388	-1.86990	-1.74294	-2.00000	-2.00000	-1.99738	-0.63076
GPR183	-2.00000	-2.00000	-0.14279	0.00000	-0.15597	-0.87489	-1.26447	-1.23828	-1.12376	-0.91274	-2.00000
GRPR	-0.58050	-0.65884	-0.72924	-0.54161	-0.79003	-0.73405	0.00000	-0.19181	-1.56452	-0.33466	-0.19000
HCRTR1	-1.32518	-1.30260	-0.25526	-0.33302	-0.83059	-0.39063	-0.24008	0.00000	-0.06027	-0.05300	-0.15703
HCRTR2	-1.27328	-1.26291	-0.76190	-0.48296	-0.97299	-0.74450	-0.00365	0.00000	-1.39832	-1.04539	-0.48714
HRH1	-0.53948	-0.52803	0.00000	-0.19263	-0.55083	-0.40692	-0.18848	-0.47447	-0.56121	-1.40341	-2.00000
HRH2	0.00000	-0.14746	-0.91868	-0.60619	-0.57294	-0.85616	-0.93496	-0.83037	-2.00000	-2.00000	-0.83404
HRH3	-2.00000	-2.00000	0.00000	-0.16606	-0.71192	-1.48308	-1.69784	-1.35198	-1.99025	-1.88416	-2.00000
HRH4	-1.68869	-1.85308	0.00000	-0.14446	-1.19283	-1.61679	-1.76263	-1.32398	-1.05490	-1.66402	-2.00000
HTR1A	-1.37607	-1.43273	-0.63417	-0.10388	-0.47960	-1.05718	-0.96011	0.00000	-1.27763	-1.32110	-1.47478
HTR1B	-1.83485	-2.00000	-0.37639	0.00000	-0.79405	-0.62848	-1.19873	-0.61574	-2.00000	-1.23981	-2.00000
HTR1D	-1.77814	-1.83413	0.00000	-0.03860	-0.06800	-0.23778	-1.23121	-0.51111	-1.90705	-1.62389	-1.44835
HTR1E	-2.00000	-2.00000	-0.43163	0.00000	-0.38194	-0.71575	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
HTR1F	-2.00000	-2.00000	-0.41685	0.00000	-1.38279	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000	-2.00000
HTR2A	-2.00000	-2.00000	-0.68738	-0.22235	-1.30123	-0.48775	-0.32642	0.00000	-1.14943	-1.83513	-1.79025
HTR2B	-1.77785	-1.91034	-0.90132	-0.72364	-1.16452	-0.19569	0.00000	-0.05847	-1.80612	-1.99840	-1.87448
HTR2C	-1.62536	-1.77440	-0.09206	-0.51046	-0.07148	0.00000	-0.34664	-0.21511	-0.12604	-0.59033	-0.61940
