GPCR	401bip	401bin	428bip	428bin	439pos	507bip	507bin	599pos	640bip	640bin	655bip	655bin	674pos	886pos	920bip	920bin	925bip	925bin	932bip	932bin	967pos	1000bip	1000bin	V_CTL	O
UTS2R	3.55657	3.88558	1.39994	1.50474	0	1.14033	0.90283	0	2.97985	3.08898	1.61226	1.26761	0	0	0.99279	1.90923	2.91744	3.02731	1.84886	2.04214	1	2.4153	2.47763	3	1
PTGER1	5.53007	5.80056	1.10964	1.61401	0	1.14033	0.90283	1	3.03762	2.99121	3.08552	3.58508	1	1	2.16168	1.81508	1.52296	1.64069	1.75052	1.62316	0	3.54489	2.33353	1	1
HTR2A	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	1	3.15338	3.10564	1.53036	1.00343	1.24404	1.85439	1	1.48781	2.12137	5	1
MC1R	1.36205	1.51664	4.14274	5.47172	1	0.70504	1.25879	0	1.71172	2.05179	1.35689	1.8432	1	1	1.43762	1.44671	1.37604	1.4109	1.84886	2.04214	1	1.48781	2.12137	1	1
FPR1	3.0223	3.20886	1.39994	1.50474	0	1.14033	0.90283	1	2.2162	2.28997	2.51077	1.71134	0	0	3.01459	2.64061	1.37604	1.4109	1.75052	1.62316	1	3.02889	3.59693	2	1
FPR2	3.0223	3.20886	1.39994	1.50474	0	1.14033	0.90283	1	2.2162	2.28997	2.51077	1.71134	0	0	0.99279	1.90923	1.52296	1.64069	1.84886	2.04214	1	3.02889	3.59693	2	1
HTR2B	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	1.83358	2.41664	1.35689	1.8432	1	1	3.15338	3.10564	1.37604	1.4109	1.24404	1.85439	1	1.48781	2.12137	3	1
MCHR2	1.36205	1.51664	1.39994	1.50474	0	2.33229	2.29197	1	2.97985	3.08898	1.61226	1.26761	1	1	0.99279	1.90923	1.37604	1.4109	1.75052	1.62316	1	2.4153	2.47763	0	1
HTR6	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	1	2.06254	1.6982	1.61226	1.26761	1	1	1.43762	1.44671	1.53036	1.00343	1.75052	1.62316	0	1.18283	1.61808	2	1
HTR7	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	0	1.71172	2.05179	1.35689	1.8432	1	1	0.99279	1.90923	1.53036	1.00343	1.84886	2.04214	1	2.4153	2.47763	7	1
HTR4	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	1	2.16168	1.81508	1.37604	1.4109	1.75052	1.62316	0	2.4153	2.47763	4	1
ADRA1A	1.48185	1.21398	1.39994	1.50474	1	1.14033	0.90283	0	3.02833	2.67957	1.61226	1.26761	1	1	0.99279	1.90923	1.37604	1.4109	1.84886	2.04214	0	1.18283	1.61808	12	1
ADRA1B	1.48185	1.21398	1.39994	1.50474	1	1.14033	0.90283	0	3.02833	2.67957	1.61226	1.26761	1	1	0.99279	1.90923	1.37604	1.4109	1.24404	1.85439	0	1.18283	1.61808	3	1
ADRA1D	1.48185	1.21398	1.39994	1.50474	1	1.14033	0.90283	0	3.56816	3.64901	1.61226	1.26761	1	1	0.99279	1.90923	1.37604	1.4109	3.08815	2.61202	0	1.48781	2.12137	7	1
GALR3	1.90028	1.64452	1.39994	1.50474	1	1.14033	0.90283	0	1.83358	2.41664	2.51077	1.71134	1	1	3.01459	2.64061	1.37604	1.4109	2.78085	1.6701	1	1.48781	2.12137	2	1
F2R	1.87635	2.09126	3.52435	2.78984	0	1.14033	0.90283	1	2.15094	2.35421	3.03547	4.25424	0	0	3.15338	3.10564	1.52296	1.64069	1.75052	1.62316	1	1.48781	2.12137	1	1
NMBR	1.87635	2.09126	1.39994	1.50474	1	0.70504	1.25879	1	1.71172	2.05179	1.61226	1.26761	1	1	0.99279	1.90923	3.1503	4.19884	1.24404	1.85439	1	2.4153	2.47763	3	1
GPR119	1.48185	1.21398	1.39994	1.50474	1	0.70504	1.25879	0	1.71172	2.05179	3.51727	4.01797	1	1	2.71441	2.474	1.37604	1.4109	1.24404	1.85439	0	1.48781	2.12137	4	1
HCRTR1	1.48185	1.21398	1.39994	1.50474	1	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	1	1.43762	1.44671	1.37604	1.4109	1.75052	1.62316	1	1.18283	1.61808	4	1
PTAFR	1.87635	2.09126	1.39994	1.50474	0	1.14033	0.90283	1	2.15094	2.35421	1.61226	1.26761	0	0	1.43762	1.44671	1.52296	1.64069	1.75052	1.62316	1	2.01105	1.53619	4	1
HCRTR2	1.48185	1.21398	1.39994	1.50474	1	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	1	1.43762	1.44671	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	3	1
EDNRA	1.36205	1.51664	1.10964	1.61401	1	1.14033	0.90283	1	2.15094	2.35421	2.45039	1.89548	0	1	0.99279	1.90923	1.37604	1.4109	1.84886	2.04214	1	1.18283	1.61808	2	1
EDNRB	1.36205	1.51664	1.10964	1.61401	1	1.14033	0.90283	1	2.15094	2.35421	2.45039	1.89548	1	1	0.99279	1.90923	1.37604	1.4109	1.84886	2.04214	1	1.18283	1.61808	0	1
CYSLTR2	1.87635	2.09126	1.39994	1.50474	0	3.89831	3.33678	1	1.71172	2.05179	2.14505	2.38356	0	0	1.43762	1.44671	1.37604	1.4109	3.34855	3.1111	1	1.48781	2.12137	4	1
MC4R	1.36205	1.51664	1.10964	1.61401	1	0.70504	1.25879	0	1.83358	2.41664	1.35689	1.8432	0	0	2.71441	2.474	1.53036	1.00343	1.84886	2.04214	1	1.48781	2.12137	0	1
CYSLTR1	1.90028	1.64452	1.39994	1.50474	0	0.70504	1.25879	0	1.71172	2.05179	1.61226	1.26761	0	0	3.66202	2.78269	1.53036	1.00343	1.24404	1.85439	1	1.48781	2.12137	3	1
CCKBR	1.90028	1.64452	1.10964	1.61401	1	0.70504	1.25879	1	2.06254	1.6982	1.35689	1.8432	1	1	0.99279	1.90923	1.37604	1.4109	3.21966	3.27767	1	1.48781	2.12137	0	1
ADORA2A	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	2.15094	2.35421	1.35689	1.8432	1	1	0.99279	1.90923	1.37604	1.4109	1.24404	1.85439	1	2.4153	2.47763	8	1
ADORA2B	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	2.15094	2.35421	1.35689	1.8432	1	1	0.99279	1.90923	1.37604	1.4109	2.78085	1.6701	1	1.18283	1.61808	3	1
GALR2	1.90028	1.64452	1.39994	1.50474	1	0.70504	1.25879	0	2.15094	2.35421	2.14505	2.38356	1	0	3.01459	2.64061	1.37604	1.4109	2.78085	1.6701	1	1.18283	1.61808	5	1
HRH2	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	1	1.71172	2.05179	1.35689	1.8432	1	1	2.16168	1.81508	1.52296	1.64069	3.34855	3.1111	0	1.18283	1.61808	2	1
HTR2C	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	1	3.15338	3.10564	1.52296	1.64069	1.24404	1.85439	1	1.48781	2.12137	10	1
HRH1	1.48185	1.21398	1.10964	1.61401	1	1.14033	0.90283	1	2.2162	2.28997	1.35689	1.8432	1	1	2.16168	1.81508	1.37604	1.4109	1.24404	1.85439	0	1.48781	2.12137	0	1
MC3R	1.48185	1.21398	1.10964	1.61401	1	0.70504	1.25879	0	5.19969	5.06846	1.35689	1.8432	1	1	1.43762	1.44671	3.1503	4.19884	1.84886	2.04214	1	1.48781	2.12137	0	1
F2RL3	1.90028	1.64452	1.39994	1.50474	0	2.33229	2.29197	1	2.06254	1.6982	1.35689	1.8432	0	0	1.43762	1.44671	2.91744	3.02731	1.84886	2.04214	1	2.4153	2.47763	3	1
F2RL2	1.90028	1.64452	1.39994	1.50474	0	0.70504	1.25879	1	2.15094	2.35421	1.61226	1.26761	0	0	1.43762	1.44671	1.52296	1.64069	1.24404	1.85439	1	2.4153	2.47763	0	1
TACR3	1.36205	1.51664	1.39994	1.50474	1	0.70504	1.25879	0	2.06254	1.6982	1.35689	1.8432	0	1	0.99279	1.90923	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	5	1
TACR2	1.36205	1.51664	1.39994	1.50474	1	0.70504	1.25879	0	2.06254	1.6982	1.35689	1.8432	1	1	0.99279	1.90923	1.52296	1.64069	1.84886	2.04214	1	1.18283	1.61808	3	1
TACR1	1.36205	1.51664	1.39994	1.50474	1	0.70504	1.25879	0	2.06254	1.6982	1.61226	1.26761	0	1	0.99279	1.90923	1.52296	1.64069	1.24404	1.85439	1	1.18283	1.61808	5	1
LPAR1	1.36205	1.51664	1.39994	1.50474	1	1.14033	0.90283	0	2.15094	2.35421	1.35689	1.8432	1	1	1.43762	1.44671	1.52296	1.64069	1.75052	1.62316	0	1.18283	1.61808	3	1
APLNR	1.48185	1.21398	1.10964	1.61401	0	0.70504	1.25879	1	1.71172	2.05179	1.35689	1.8432	1	0	0.99279	1.90923	1.37604	1.4109	1.84886	2.04214	1	2.4153	2.47763	2	1
S1PR3	1.36205	1.51664	1.39994	1.50474	0	3.89831	3.33678	0	3.03762	2.99121	1.61226	1.26761	1	0	0.99279	1.90923	2.91744	3.02731	1.24404	1.85439	1	2.01105	1.53619	3	1
AGTR1	1.36205	1.51664	1.39994	1.50474	0	0.70504	1.25879	1	2.06254	1.6982	1.61226	1.26761	0	0	0.99279	1.90923	3.1503	4.19884	1.24404	1.85439	1	1.48781	2.12137	2	1
PTGFR	5.53007	5.80056	3.4824	2.76166	1	1.14033	0.90283	1	2.06254	1.6982	3.03547	4.25424	0	1	2.16168	1.81508	1.52296	1.64069	1.75052	1.62316	1	3.54489	2.33353	5	1
LTB4R	1.36205	1.51664	1.39994	1.50474	0	1.14033	0.90283	1	2.97985	3.08898	2.51077	1.71134	0	0	2.71441	2.474	2.91744	3.02731	1.75052	1.62316	1	2.01105	1.53619	2	1
