GPCR	398bip	398bin	401bip	401bin	424bip	424bin	426bip	426bin	493bip	493bin	655bip	655bin	657bip	657bin	919bip	919bin	967pos	G_TIL	N_CTL	O
HTR1D	1.25915	1.42875	1.44824	1.28153	1.84463	1.61004	1.13809	1.58896	0.82743	1.58645	2.26407	2.19774	1.87766	1.89489	1.63514	1.29494	1	5	1	1
ADORA1	1.52613	1.06392	1.11777	1.87355	3.52902	3.99738	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	1.82541	1.92111	1.63514	1.29494	0	2	1	1
P2RY11	1.25915	1.42875	2.0118	1.83163	1.9794	2.04343	3.18655	3.66497	1.17203	1.48141	2.05684	2.52411	2.49996	2.33331	3.62107	4.57329	0	1	2	1
TACR1	2.29388	2.0755	1.44824	1.28153	1.84463	1.61004	1.44821	1.27459	0.82743	1.58645	1.74083	1.43354	3.07493	3.06712	1.35103	1.44656	1	1	3	1
MRGPRX2	1.25915	1.42875	2.30458	1.46368	1.9794	2.04343	2.07137	2.07502	2.48943	1.97952	3.18871	3.27606	2.49996	2.33331	3.11664	3.03279	0	0	0	1
PTAFR	1.25915	1.42875	2.0118	1.83163	1.9469	1.91409	2.48397	2.7677	1.17203	1.48141	1.74083	1.43354	2.30016	2.39708	1.35103	1.44656	1	0	3	1
P2RY12	5.54793	6.08165	5.57093	5.77656	1.9469	1.91409	1.44821	1.27459	0.82743	1.58645	2.26321	2.12634	1.82716	1.48993	1.63514	1.29494	1	2	4	1
S1PR2	1.25915	1.42875	1.11777	1.87355	1.76449	1.87586	1.44821	1.27459	1.17203	1.48141	1.74083	1.43354	2.49996	2.33331	1.35103	1.44656	1	0	1	1
EDNRA	1.25915	1.42875	1.44824	1.28153	2.91346	3.03601	1.13809	1.58896	1.17203	1.48141	2.05684	2.52411	1.87766	1.89489	1.52045	1.66659	1	1	7	1
EDNRB	1.25915	1.42875	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	1.17203	1.48141	2.05684	2.52411	2.30016	2.39708	1.52045	1.66659	1	1	0	1
OPRM1	2.29388	2.0755	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	0.82743	1.58645	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	1	1	7	1
CYSLTR2	1.52613	1.06392	2.0118	1.83163	1.9794	2.04343	2.48397	2.7677	0.82743	1.58645	2.26407	2.19774	1.87766	1.89489	3.11664	3.03279	1	1	1	1
OPRL1	2.29388	2.0755	1.44824	1.28153	1.9469	1.91409	1.13809	1.58896	3.59479	2.52519	1.74083	1.43354	1.82716	1.48993	1.35103	1.44656	1	2	1	1
MC4R	1.52613	1.06392	1.44824	1.28153	2.73534	2.59719	1.13809	1.58896	0.82743	1.58645	1.48675	1.47062	3.93836	4.28103	1.52045	1.66659	1	3	0	1
CNR1	1.25915	1.42875	1.44824	1.28153	3.82899	4.68011	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	3.07493	3.06712	1.63514	1.29494	0	2	3	1
ADORA2A	2.13723	4.29469	1.11777	1.87355	1.84463	1.61004	2.07137	2.07502	0.82743	1.58645	1.48675	1.47062	3.47069	3.92118	1.63514	1.29494	1	1	4	1
ADORA2B	2.13723	4.29469	1.11777	1.87355	1.84463	1.61004	1.44821	1.27459	0.82743	1.58645	1.48675	1.47062	1.82716	1.48993	1.63514	1.29494	1	0	2	1
CNR2	1.25915	1.42875	1.44824	1.28153	1.76449	1.87586	1.13809	1.58896	1.17203	1.48141	1.74083	1.43354	3.07493	3.06712	1.35103	1.44656	0	2	0	1
