GPCR	398bip	398bin	401bip	401bin	493bip	493bin	675pos	910bip	910bin	917bip	917bin	919bip	919bin	925bip	925bin	966pos	967pos	CTLL	G_TIL	C_CTL	D_CTL	G_CTL	L_CTL	N_CTL	P_CTL	R_CTL	S_CTL	O
UTS2R	1.19321	1.48552	3.56263	3.95827	1.05717	1.51545	0	1.9392	1.42266	1.97671	1.35721	1.40116	1.44361	2.81042	3.16866	1	1	74	0	2	2	9	7	1	12	12	8	1
GPR35	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	0	1.37107	1.44686	4.70667	5.27584	4.01441	4.78024	1.71298	1.09613	1	1	33	1	1	1	0	3	0	1	0	4	1
GPR34	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	1	1.37107	1.44686	2.0458	2.93228	1.3794	1.47049	1.62059	1.41521	1	1	54	1	1	1	2	4	1	2	4	12	1
GPR183	1.19321	1.48552	1.33063	1.36457	1.20455	1.48964	0	1.9392	1.42266	2.36273	2.63733	1.40116	1.44361	1.30001	1.47202	1	1	53	1	1	0	2	1	2	1	4	9	1
ADRA2A	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	2.06187	2.59461	1.95615	2.18805	1.3794	1.47049	1.71298	1.09613	0	0	24	24	1	2	1	1	1	0	5	0	1
ADRA2B	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	2.06187	2.59461	1.95615	2.18805	1.3794	1.47049	1.30001	1.47202	0	1	24	22	1	1	0	1	1	1	5	0	1
ADRA2C	2.31631	1.79218	1.29138	1.72328	1.05717	1.51545	1	2.06187	2.59461	1.95615	2.18805	1.3794	1.47049	1.30001	1.47202	0	1	25	23	0	1	1	1	1	0	8	1	1
MCHR1	1.60173	0.8871	1.29138	1.72328	2.82789	2.88505	1	2.06187	2.59461	2.36273	2.63733	1.40116	1.44361	1.71298	1.09613	0	1	42	0	1	1	2	4	1	1	4	3	1
HTR6	1.60173	0.8871	1.33063	1.36457	1.05717	1.51545	1	1.9392	1.42266	2.57503	2.60577	1.85367	1.43526	1.71298	1.09613	0	0	120	2	2	7	9	18	3	20	11	12	1
HTR7	2.31631	1.79218	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	2.57503	2.60577	1.40116	1.44361	1.71298	1.09613	1	1	95	2	2	4	1	12	4	6	12	4	1
HTR4	2.11517	2.86488	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	3.88863	4.65515	1.40116	1.44361	1.30001	1.47202	0	0	76	1	5	4	4	6	2	6	6	7	1
GALR3	1.19321	1.48552	2.16758	1.49726	3.75151	3.11908	0	3.82159	3.94497	1.97671	1.35721	1.3794	1.47049	1.30001	1.47202	1	1	77	2	2	1	13	5	0	10	19	4	1
F2R	1.60173	0.8871	1.96836	1.7342	1.05717	1.51545	0	1.9392	1.42266	1.95615	2.18805	1.3794	1.47049	1.62059	1.41521	1	1	54	0	4	2	1	5	4	1	1	13	1
GALR1	1.60173	0.8871	2.16758	1.49726	1.05717	1.51545	0	1.37107	1.44686	1.97671	1.35721	1.3794	1.47049	1.62059	1.41521	0	1	46	0	2	3	0	2	2	2	3	6	1
NMBR	2.31631	1.79218	1.96836	1.7342	1.20455	1.48964	1	1.37107	1.44686	1.97671	1.35721	3.40621	3.51871	3.14373	3.67378	1	1	68	1	2	0	3	10	5	0	5	12	1
GPR119	3.1942	3.86577	1.29138	1.72328	1.20455	1.48964	1	1.9392	1.42266	2.68934	2.03474	1.85367	1.43526	1.30001	1.47202	0	0	56	3	2	1	3	7	1	2	4	7	1
HCRTR1	2.30951	3.60256	1.29138	1.72328	1.20455	1.48964	1	1.37107	1.44686	3.01505	3.24368	1.3794	1.47049	1.30001	1.47202	1	1	67	5	4	0	4	8	1	5	3	14	1
HCRTR2	2.30951	3.60256	1.29138	1.72328	1.20455	1.48964	1	1.37107	1.44686	3.01505	3.24368	1.3794	1.47049	1.62059	1.41521	1	1	80	3	3	2	5	8	5	2	6	10	1
GPR17	1.19321	1.48552	1.96836	1.7342	1.05717	1.51545	0	2.27439	1.88375	1.95615	2.18805	1.3794	1.47049	1.71298	1.09613	1	1	70	1	3	1	4	11	4	4	4	7	1
ADORA1	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	1.95615	2.18805	1.40116	1.44361	1.30001	1.47202	0	0	38	2	1	5	0	2	1	5	4	0	1
EDNRA	1.19321	1.48552	1.33063	1.36457	1.20455	1.48964	0	1.37107	1.44686	2.0458	2.93228	1.85367	1.43526	1.30001	1.47202	1	1	60	1	6	3	1	3	7	1	1	9	1
EDNRB	1.19321	1.48552	1.33063	1.36457	1.20455	1.48964	0	1.37107	1.44686	2.0458	2.93228	1.85367	1.43526	1.30001	1.47202	1	1	0	1	0	0	0	0	0	0	0	0	1
CCKBR	1.60173	0.8871	2.16758	1.49726	2.82789	2.88505	1	2.27439	1.88375	1.97671	1.35721	1.40116	1.44361	1.30001	1.47202	1	1	57	12	5	2	2	5	0	9	9	5	1
ADORA2A	2.30951	3.60256	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	1.95615	2.18805	1.40116	1.44361	1.30001	1.47202	0	1	124	1	1	5	16	12	4	11	10	10	1
ADORA2B	2.30951	3.60256	1.29138	1.72328	1.05717	1.51545	0	1.37107	1.44686	1.95615	2.18805	1.40116	1.44361	1.30001	1.47202	1	1	42	0	1	2	5	4	2	1	4	2	1
HRH2	2.30951	3.60256	1.29138	1.72328	1.05717	1.51545	1	2.06187	2.59461	1.95615	2.18805	1.3794	1.47049	1.62059	1.41521	0	0	71	0	2	2	3	7	4	3	9	7	1
HRH3	2.11517	2.86488	1.96836	1.7342	3.24319	2.73348	1	1.37107	1.44686	1.95615	2.18805	1.40116	1.44361	1.30001	1.47202	0	0	33	20	3	0	0	5	0	3	2	3	1
HTR2C	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	3.29289	3.29043	2.57503	2.60577	1.3794	1.47049	1.62059	1.41521	1	1	90	3	1	1	2	6	9	7	8	8	1
HRH1	1.19321	1.48552	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	2.57503	2.60577	1.40116	1.44361	1.30001	1.47202	0	0	19	15	1	0	0	2	2	1	2	1	1
HTR1B	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	2.06187	2.59461	2.57503	2.60577	1.40116	1.44361	1.71298	1.09613	0	1	21	3	1	1	0	1	1	0	1	2	1
MC3R	1.60173	0.8871	1.29138	1.72328	1.05717	1.51545	1	1.37107	1.44686	3.04865	2.86931	1.85367	1.43526	3.14373	3.67378	1	1	24	1	2	0	3	4	3	0	3	1	1
NPFFR2	2.30951	3.60256	1.29138	1.72328	1.20455	1.48964	1	2.69865	2.80837	1.97671	1.35721	1.3794	1.47049	1.30001	1.47202	1	1	189	1	1	2	7	24	11	8	8	14	1
NPFFR1	2.30951	3.60256	1.29138	1.72328	1.20455	1.48964	1	2.27439	1.88375	2.19672	2.38179	1.3794	1.47049	1.30001	1.47202	1	1	101	3	2	2	13	9	3	13	14	10	1
F2RL3	1.19321	1.48552	2.16758	1.49726	1.20455	1.48964	0	1.9392	1.42266	1.95615	2.18805	1.3794	1.47049	2.81042	3.16866	1	1	45	1	0	2	6	3	0	1	4	7	1
F2RL2	1.19321	1.48552	2.16758	1.49726	1.05717	1.51545	0	2.27439	1.88375	1.97671	1.35721	1.40116	1.44361	1.62059	1.41521	1	1	16	0	0	0	0	2	1	0	1	2	1
MTNR1B	1.60173	0.8871	1.29138	1.72328	1.20455	1.48964	0	3.27547	3.53133	2.0458	2.93228	1.3794	1.47049	1.62059	1.41521	1	1	54	0	1	2	4	7	3	4	4	3	1
