GPCR	428bip	428bin	468bip	468bin	497bip	497bin	532bip	532bin	599pos	604bip	604bin	655bip	655bin	908bip	908bin	919bip	919bin	920bip	920bin	967neg	CTLL	C_CTL	G_CTL	L_CTL	S_CTL	V_CTL	Y_CTL	O
AVPR1B	3.16746	3.22038	3.6929	3.05704	1.71296	1.90597	1.05473	1.64367	1	2.55737	2.60109	2.1546	2.39637	2.40678	2.48868	1.45514	1.50524	1.17895	1.76599	1	86	3	7	15	12	0	0	1
GPR17	3.16746	3.22038	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	0	3.76805	4.06896	2.28041	2.13219	1.39433	1.85051	1.55621	1.22798	1.58519	1.30412	1	70	3	4	11	7	1	1	1
PTGFR	3.23946	2.86342	4.00118	4.03909	3.03535	3.05524	1.96708	1.4235	1	2.7342	2.97015	2.97809	3.8493	3.23174	2.93295	1.45514	1.50524	1.65533	2.74505	1	55	2	1	8	9	5	1	1
AVPR1A	3.16746	3.22038	3.6929	3.05704	2.45646	2.25674	1.05473	1.64367	1	2.68732	2.73766	2.1546	2.39637	2.40678	2.48868	1.45514	1.50524	1.17895	1.76599	1	70	3	2	2	12	2	1	1
KISS1R	1.50477	1.43785	1.35066	1.65032	1.79268	1.93528	2.72217	2.65955	0	2.41926	2.31344	2.28041	2.13219	1.82716	1.82353	1.55621	1.22798	1.17895	1.76599	1	75	3	7	8	5	2	0	1
PTGER1	1.18025	1.50891	2.70225	3.06267	1.91366	1.87816	1.96708	1.4235	1	2.41926	2.31344	3.07716	3.29922	3.23174	2.93295	1.45514	1.50524	1.65533	2.74505	0	51	0	6	11	7	1	0	1
P2RY11	2.96301	3.18501	2.97743	3.58468	1.79268	1.93528	2.72217	2.65955	1	2.55737	2.60109	2.28041	2.13219	1.82716	1.82353	3.61855	4.24848	1.17895	1.76599	0	80	5	6	10	6	4	4	1
MRGPRX2	1.18025	1.50891	2.54972	2.76083	3.03535	3.05524	2.69795	2.71861	1	2.07513	2.519	2.97809	3.8493	1.50658	2.08289	3.12453	2.68707	1.17895	1.76599	0	51	1	3	6	5	3	0	1
GNRHR	3.16746	3.22038	2.70225	3.06267	2.45646	2.25674	2.24129	2.36599	1	4.33074	4.72915	1.3286	1.87835	2.40678	2.48868	3.36598	3.56115	3.22592	2.35523	1	5	0	1	1	1	0	1	1
EDNRA	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	1	2.9908	3.08818	2.28041	2.13219	1.82716	1.82353	1.37131	2.46909	1.17895	1.76599	1	60	6	1	3	9	2	2	1
EDNRB	1.18025	1.50891	1.37319	1.33249	1.91366	1.87816	1.05473	1.64367	1	3.47794	4.63773	2.28041	2.13219	1.82716	1.82353	1.37131	2.46909	1.17895	1.76599	1	0	0	0	0	0	0	0	1
MLNR	1.18025	1.50891	1.37319	1.33249	1.79268	1.93528	1.05473	1.64367	1	3.66816	4.9573	2.1546	2.39637	2.40678	2.48868	1.55621	1.22798	1.17895	1.76599	1	57	0	7	4	4	3	2	1
CYSLTR2	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	1	2.7342	2.97015	2.1546	2.39637	1.39433	1.85051	3.12453	2.68707	1.58519	1.30412	1	41	1	2	3	2	4	1	1
MC4R	1.18025	1.50891	1.37319	1.33249	1.71296	1.90597	1.05473	1.64367	0	2.9005	2.62017	1.3286	1.87835	3.56027	4.21958	1.37131	2.46909	2.85365	2.34655	1	30	3	2	5	3	0	2	1
CYSLTR1	1.50477	1.43785	1.37319	1.33249	1.79268	1.93528	2.69795	2.71861	0	2.22193	2.71027	1.65355	1.35503	1.39433	1.85051	1.55621	1.22798	3.33031	2.86136	1	42	1	3	3	6	3	1	1
CCKBR	1.18025	1.50891	1.37319	1.33249	2.45646	2.25674	1.05473	1.64367	1	2.79766	2.82706	1.3286	1.87835	1.82716	1.82353	1.45514	1.50524	1.17895	1.76599	1	57	5	2	5	5	0	1	1
ADORA2A	1.18025	1.50891	2.70225	3.06267	1.71296	1.90597	1.05473	1.64367	1	2.55737	2.60109	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.17895	1.76599	1	124	1	16	12	10	8	2	1
ADORA2B	1.18025	1.50891	3.15687	3.07853	1.71296	1.90597	1.05473	1.64367	1	4.33074	4.72915	1.3286	1.87835	1.39433	1.85051	1.45514	1.50524	1.17895	1.76599	1	42	1	5	4	2	3	3	1
MRGPRX1	1.50477	1.43785	2.54972	2.76083	3.03535	3.05524	2.69795	2.71861	1	2.07513	2.519	2.1546	2.39637	1.50658	2.08289	3.12453	2.68707	1.17895	1.76599	1	50	0	5	8	4	3	0	1
