#Receptor	UniProt	Gene	Class	ligand	GNAS	GNAI1	GNAI2	GoA	GoB	GNAZ	GNA12	GNA13	GNAQ	GNA11	GNA14	GNA15	Barr1-GRK2	Barr2	Barr2-GRK2
5-HT1A	P08908	HTR1A	Class A	serotonin	0	1	1	1	1	1	0	0	0	0	1	1	0	0	0
5-HT1B	P28222	HTR1B	Class A	serotonin	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0
5-HT1D	P28221	HTR1D	Class A	serotonin	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
5-HT2A	P28223	HTR2A	Class A	serotonin	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1
5-HT2B	P41595	HTR2B	Class A	serotonin	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1
5-HT2C	P28335	HTR2C	Class A	serotonin	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1
α1AAR 	P35348	ADRA1A	Class A	Noradrenaline	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0
α2AAR 	P08913	ADRA2A	Class A	Noradrenaline	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1
α2BAR 	P18089	ADRA2B	Class A	Noradrenaline	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1
α2CAR 	P18825	ADRA2C	Class A	Noradrenaline	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1
β1AR	P08588	ADRB1	Class A	Noradrenaline	1	0	0	1	0	1	0	0	0	0	1	1	0	1	1
β2AR	P07550	ADRB2	Class A	Noradrenaline	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1
A1	P30542	ADORA1	Class A	Adenosine	0	0	0	1	1	1	0	0	0	0	0	1	0	1	1
A2A	P29274	ADORA2A	Class A	Adenosine	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A2B	P29275	ADORA2B	Class A	Adenosine	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
A3	P0DMS8	ADORA3	Class A	Adenosine	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
AMY3	P30988-2 + O60896	CALCR+RAMP3	Class B	Amylin	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
APJ	P35414	APLNR	Class A	[Pyr1]-Apelin 13	0	1	1	1	1	1	0	0	0	0	0	0	0	1	1
AT1	P30556	AGTR1	Class A	Angiotensin Ⅱ	0	0	0	1	0	1	0	0	1	1	1	1	0	1	1
B1	P46663	BDKRB1	Class A	Kallidin	0	0	0	1	1	1	0	0	1	1	1	1	0	0	0
B2	P30411	BDKRB2	Class A	Kallidin	0	1	0	1	1	1	0	1	1	1	1	1	1	1	1
BLT1	Q15722	LTB4R	Class A	LTB4	0	1	1	1	1	1	0	0	1	0	1	1	1	1	1
BLT2	Q9NPC1	LTB4R2	Class A	LTB4	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
C5a1	P21730	C5AR1	Class A	C5a	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1
CB1	P21554	CNR1	Class A	WIN55,212-2	0	1	1	1	1	1	0	1	0	0	0	1	0	1	1
CB2	P34972	CNR2	Class A	WIN55,212-2	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
CCK1	P32238	CCKAR	Class A	CCK8	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1
CCR5	P51681	CCR5	Class A	CCL-3 (MIP-1a)	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1
CCR6	P51684	CCR6	Class A	CCL20	0	1	1	1	1	1	0	0	0	0	0	1	0	0	1
CRFR1	Q13324	CRHR2	Class B	CRF	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1
CRFR2	P34998-2	CRHR1	Class B	Urocortin II	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1
CTR	P30988-2	CALCR	Class B	Calcitonin	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0
CXCR2	P25025	CXCR2	Class A	CXCL8	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1
CXCR4	P61073	CXCR4	Class A	CXCL12	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
CXCR5	P32302	CXCR5	Class A	CXCL13	0	1	1	1	1	1	0	0	0	0	0	0	1	1	1
CysLT1	Q9Y271	CYSLTR1	Class A	LTD4	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1
CysLT2	Q9NS75	CYSLTR2	Class A	LTD4	0	1	0	1	1	1	0	1	1	1	1	1	0	0	0
D1	P21728	DRD1	Class A	Dopamine	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1
D2	P14416	DRD2	Class A	Dopamine	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
D5	P21918	DRD5	Class A	Dopamine	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1
δOR	P41143	OPRD1	Class A	SNC-80	0	1	1	1	1	1	0	0	0	0	0	1	1	1	1
EP1	P34995	PTGER1	Class A	PGE2	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0
EP2	P43116	PTGER2	Class A	PGE2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EP3	P43115	PTGER3	Class A	PGE2	0	1	1	1	1	1	0	0	0	0	0	1	0	0	0
EP4	P35408	PTGER4	Class A	PGE2	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0
ETA	P25101	EDNRA	Class A	Endothelin-1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1
FFA2	O15552	FFAR2	Class A	Propionate	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0
FFA3	O14843	FFAR3	Class A	Propionate	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0
FFA4	Q5NUL3	FFAR4	Class A	α-linolenic acid	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1
FP	P43088	PTGFR	Class A	PGD2	0	0	0	1	0	1	0	1	1	1	1	1	0	0	0
GCGR	P47871	GCGR	Class B	Glucagon	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1
GHSR	Q92847	GHSR	Class A	Ghrelin	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0
GIP	P48546	GIPR	Class B	GIP	1	0	0	1	1	1	0	0	0	0	0	1	0	0	0
GLP-1	P43220	GLP1R	Class B	GLP-1 (7-36)	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1
GLP-2	O95838	GLP2R	Class B	GLP-2 (1-33)	1	0	0	1	0	1	0	0	0	0	0	1	0	1	1
GnRHR	P30968	GNRHR	Class A	GnRH	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0
GPBA	Q8TDU6	GPBAR1	Class A	Litocholic acid	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR39	O43194	GPR39	Class A	Zn2+	0	1	0	1	1	0	0	1	1	1	1	0	0	1	0
GPR4	P46093	GPR4	Class A	pH (proton)	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0
GPR65	Q8IYL9	GPR65	Class A	pH (proton)	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GPR68	Q15743	GPR68	Class A	pH (proton)	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0
GPR84	Q9NQS5	GPR84	Class A	Undecanoic acid	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
GPR183	P32249	GPR183	Class A	7α-25 dihydroxycholesterol	0	0	1	1	1	1	0	0	0	0	0	0	1	1	1
H1	P35367	HRH1	Class A	Histamine	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1
