#Receptor	UniProt	Gene	Class	ligand	Gs		Gi1		Gi2		GoA		GoB		Gz		G12		G13		Gq		G11		G14		G15		Barr1-GRK2		Barr2		Barr2-GRK2
5-HT1A	P08908	HTR1A	Class A	serotonin	0.00 		0.90 		0.73 		0.78 		0.89 		0.74 		0.00 		0.00 		0.00 		0.00 		0.21 		1.00 		0.04 		0.09 		0.13 
5-HT1B	P28222	HTR1B	Class A	serotonin	0.00 		0.51 		0.62 		0.61 		0.65 		1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.32 		0.03 		0.05 		0.08 
5-HT1D	P28221	HTR1D	Class A	serotonin	0.00 		0.50 		0.81 		1.00 		0.90 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 
5-HT2A	P28223	HTR2A	Class A	serotonin	0.00 		0.12 		0.00 		0.00 		0.16 		0.60 		0.00 		0.00 		0.27 		0.18 		0.39 		1.00 		0.25 		0.33 		0.59 
5-HT2B	P41595	HTR2B	Class A	serotonin	0.00 		0.00 		0.00 		0.00 		0.52 		0.90 		0.00 		0.00 		0.96 		0.92 		1.00 		0.44 		0.23 		0.14 		0.53 
5-HT2C	P28335	HTR2C	Class A	serotonin	0.00 		0.44 		0.38 		0.62 		1.00 		0.70 		0.47 		0.24 		0.00 		0.00 		0.00 		0.63 		0.55 		0.36 		0.39 
α1AAR 	P35348	ADRA1A	Class A	Noradrenaline	0.58 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.95 		0.90 		0.92 		1.00 		0.00 		0.00 		0.00 
α2AAR 	P08913	ADRA2A	Class A	Noradrenaline	0.30 		1.00 		0.76 		0.69 		0.84 		0.35 		0.00 		0.08 		0.08 		0.04 		0.08 		0.87 		0.25 		0.27 		0.39 
α2BAR 	P18089	ADRA2B	Class A	Noradrenaline	0.00 		0.96 		0.66 		0.74 		1.00 		0.66 		0.00 		0.00 		0.00 		0.00 		0.00 		0.35 		0.07 		0.08 		0.28 
α2CAR 	P18825	ADRA2C	Class A	Noradrenaline	0.00 		1.00 		0.68 		0.91 		0.89 		0.48 		0.00 		0.00 		0.00 		0.00 		0.00 		0.15 		0.06 		0.08 		0.17 
β1AR	P08588	ADRB1	Class A	Noradrenaline	1.00 		0.00 		0.00 		0.18 		0.37 		0.51 		0.00 		0.00 		0.05 		0.00 		0.25 		0.78 		0.13 		0.17 		0.22 
β2AR	P07550	ADRB2	Class A	Noradrenaline	1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.86 		0.17 		0.32 		0.55 
A1	P30542	ADORA1	Class A	Adenosine	0.00 		0.18 		0.00 		0.72 		1.00 		0.64 		0.00 		0.00 		0.00 		0.00 		0.00 		0.70 		0.00 		0.24 		0.29 
A2A	P29274	ADORA2A	Class A	Adenosine	1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.30 		0.00 		0.00 		0.00 
A2B	P29275	ADORA2B	Class A	Adenosine	1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.81 		0.00 		0.00 		0.00 
A3	P0DMS8	ADORA3	Class A	Adenosine	0.00 		1.00 		0.81 		0.10 		0.08 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.10 		0.00 		0.00 		0.00 
AMY3	P30988-2 + O60896	CALCR+RAMP3	Class B	Amylin	1.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.00 		0.35 		0.00 		0.00 		0.00 
