Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	Coupled	-	-	-	Adhesion Class GPCRs	classB	1.93034781474536	1.74102253077936
LGR6	-	-	-	-	NA	classA	8.97948328111119	-4.42599755615783
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-4.51637443376164	-19.0080333130889
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	1.94063198002616	1.81770967701876
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	-4.37561282758071	-18.8670440637667
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	-4.32281505895458	-18.8146118464174
GPRC6A	Coupled	-	-	-	Calcium-sensing receptors	classC	-4.56515491673809	-19.056944985718
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	-4.57829281540607	-19.0701099853885
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	8.9268192536543	-4.58904984345292
ADGRF1	-	-	-	-	NA	classB	-4.5004504743609	-18.9922677565025
GRM8	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	1.91131452774342	1.79708187573033
LGR5	-	-	-	-	NA	classA	8.93266985287341	-4.28585347825153
ADGRE1	-	-	-	-	NA	classB	-4.64607487508344	-19.1379536626396
GRM3	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	-4.57960862349479	-19.0714665161503
GRM6	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	9.01963887687003	-4.43239733232789
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	-4.46884515156298	-18.9606911965216
GRM2	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-4.39443630349882	-18.8862824485835
TAS1R3	-	-	-	-	NA	classC	-4.47089187981255	-18.9627698712506
TAS1R1	-	-	-	-	NA	classC	-4.47098805784846	-18.9628692822512
TAS1R2	-	-	-	-	NA	classC	8.90615670968059	-4.26004388629509
ADGRE5	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	8.92536255804385	-4.26683047114482
ADGRE2	Coupled	-	-	-	Adhesion Class GPCRs	classB	5.3182309734309	-2.06448139812722
GPR156	-	-	-	-	NA	classC	8.87844806944089	-4.58036145920227
