Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.7925078868865967	0.7543489933013916	0.3991343080997467	0.595362663269043	0.3166651427745819	0.5518092513084412	0.49847882986068726	0.9601166248321533	0.3398512601852417	0.25373637676239014	0.43974366784095764	0.2000981867313385	0.20071905851364136	0.36582696437835693	0.5519087314605713	0.533856213092804	0.406463086605072	0.36222782731056213	0.429875910282135	0.6348168849945068	0.6374205350875854	0.47246041893959045	0.1785879284143448	0.5120072960853577	0.20457753539085388	0.28456610441207886	0.2927694320678711	0.2939423620700836	0.43920114636421204	0.5042164921760559	0.4001864194869995	0.5160602331161499	0.5231907367706299
LGR6	-	-	-	-	NA	classA	0.6529570817947388	0.6168928742408752	0.2132090926170349	0.3702985644340515	0.5983121395111084	0.5354462265968323	0.646114706993103	0.7553034424781799	0.12738999724388123	0.7706596851348877	0.9522196054458618	0.9138338565826416	0.9537013173103333	0.5384217500686646	0.2159280925989151	0.28109318017959595	0.5358952879905701	0.4362868666648865	0.4457933306694031	0.40002039074897766	0.4410444498062134	0.4513305425643921	0.4006889760494232	0.5387510061264038	0.3178517520427704	0.4721318185329437	0.7174993753433228	0.46856966614723206	0.3514155447483063	0.30889567732810974	0.3970290422439575	0.465824156999588	0.3002677261829376
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.7099658250808716	0.8834463357925415	0.34251439571380615	0.3822557032108307	0.37028640508651733	0.4290575683116913	0.4517855644226074	0.9332256317138672	0.24974313378334045	0.38123390078544617	0.37233003973960876	0.26781919598579407	0.32959067821502686	0.49989625811576843	0.0	0.2904856204986572	0.4557323157787323	0.42080608010292053	0.20775914192199707	0.5799612402915955	0.31627532839775085	0.5369364023208618	0.3461080491542816	0.6186137795448303	0.005827844142913818	0.25188207626342773	0.7320178747177124	0.9207941293716431	0.016854077577590942	0.3958028256893158	0.3760349154472351	0.06816732883453369	1.0
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.5769808888435364	0.9584066867828369	0.22603332996368408	0.15980646014213562	0.7832009196281433	0.8510454893112183	0.5363945364952087	0.2885686457157135	0.5216771960258484	0.28863251209259033	0.4891353249549866	0.3320287764072418	0.5502471327781677	0.425863653421402	0.3266793191432953	0.4693753123283386	0.4103612005710602	0.4671907126903534	0.44170448184013367	0.5956023931503296	0.3953964114189148	0.41229644417762756	0.4088096022605896	0.3153807520866394	0.38841119408607483	0.5881550908088684	0.38965457677841187	0.5011993646621704	0.49015259742736816	0.4872964322566986	0.4017837941646576	0.476663738489151	0.2470335215330124
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.648318886756897	0.6228166818618774	0.21402126550674438	0.3555092215538025	0.5832206606864929	0.5411704778671265	0.6280636787414551	0.7590773105621338	0.12154346704483032	0.7568520307540894	0.9294208288192749	0.9740300178527832	0.9156584739685059	0.4704093337059021	0.21228455007076263	0.38926631212234497	0.4876234829425812	0.4362318813800812	0.4960079789161682	0.3899347484111786	0.48965227603912354	0.48382019996643066	0.4228138029575348	0.4985286295413971	0.31699568033218384	0.4238041341304779	0.6710230112075806	0.4682617783546448	0.3464820086956024	0.2870381474494934	0.40804219245910645	0.45769065618515015	0.3494930565357208
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.6267296671867371	0.8918595910072327	0.2520912289619446	0.2490275353193283	0.8828109502792358	0.8863345980644226	0.5745463371276855	0.277931809425354	0.6376503109931946	0.38834697008132935	0.474026083946228	0.31007084250450134	0.559310793876648	0.4128751754760742	0.3454568684101105	0.550366997718811	0.4145348072052002	0.4437435567378998	0.38630038499832153	0.5359460115432739	0.40247365832328796	0.4793051779270172	0.43948522210121155	0.2340688705444336	0.23619554936885834	0.44195154309272766	0.44435763359069824	0.5097092986106873	0.4628247618675232	0.6897051334381104	0.3108503520488739	0.479946494102478	0.25428590178489685
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	0.5877783894538879	0.9489536285400391	0.24316765367984772	0.12624695897102356	0.9262071847915649	1.0	0.5254599452018738	0.23921087384223938	0.5537117719650269	0.09300890564918518	0.42987948656082153	0.26582375168800354	0.4144361913204193	0.4375365674495697	0.47742027044296265	0.7267972826957703	0.44339874386787415	0.1651335209608078	0.48478269577026367	0.21122011542320251	0.4304971396923065	0.4915883541107178	0.2969777584075928	0.543407678604126	0.37903252243995667	0.4147992432117462	0.4305059313774109	0.6494308710098267	0.43718424439430237	0.3506365716457367	0.41082271933555603	0.6356664896011353	0.4677642583847046
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.5604329109191895	0.9077043533325195	0.189535990357399	0.1107606291770935	0.9140398502349854	0.9417388439178467	0.4449048340320587	0.2227669060230255	0.5726351737976074	0.3049423098564148	0.4801473021507263	0.2701563835144043	0.5312144160270691	0.3997866213321686	0.3474201560020447	0.5629024505615234	0.44659900665283203	0.37859269976615906	0.5389257669448853	0.5214396715164185	0.38779377937316895	0.45558643341064453	0.3776271343231201	0.420160174369812	0.4002908766269684	0.38140034675598145	0.43613743782043457	0.3860543966293335	0.48269641399383545	0.5715842843055725	0.5480204820632935	0.38861793279647827	0.32314208149909973
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.5588827133178711	0.9154796600341797	0.18284972012043	0.11132684350013733	0.9136418700218201	0.9336657524108887	0.44306156039237976	0.23122365772724152	0.5661582946777344	0.3191238343715668	0.4882397949695587	0.2500373125076294	0.5558468699455261	0.41224294900894165	0.3051285445690155	0.5271410346031189	0.4385061264038086	0.38599416613578796	0.5072094202041626	0.4975687861442566	0.40536758303642273	0.45588135719299316	0.40387019515037537	0.42123234272003174	0.38483020663261414	0.3748525083065033	0.43638497591018677	0.4050830006599426	0.46923792362213135	0.5845706462860107	0.558570384979248	0.40869441628456116	0.31696951389312744
ADGRF1	-	-	-	-	NA	classB	0.6993058919906616	0.8991148471832275	0.3889293968677521	0.36816686391830444	0.3667881488800049	0.4672017991542816	0.46405503153800964	1.0	0.21967585384845734	0.24851307272911072	0.30352580547332764	0.348420113325119	0.08017969131469727	0.4902927577495575	0.24774283170700073	0.6922943592071533	0.33028876781463623	0.4110710918903351	0.4599379003047943	0.5683788657188416	0.3441072106361389	0.5411950349807739	0.1407594531774521	0.5638976693153381	0.34149932861328125	0.28432199358940125	0.16276243329048157	0.42850440740585327	0.48317936062812805	0.3197076916694641	0.5090346932411194	0.5848139524459839	0.34863802790641785
