Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48	PC49	PC50	PC51	PC52
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.3904195725917816	0.8840081095695496	0.6686639189720154	0.4992956519126892	0.703744649887085	0.331869900226593	0.28709280490875244	0.38537412881851196	0.45014727115631104	0.19357818365097046	0.43163001537323	0.09253522753715515	0.4800964593887329	0.18891319632530212	0.4012199640274048	0.40714940428733826	0.5846222639083862	0.6473488807678223	0.6890397667884827	0.43174272775650024	0.20042257010936737	0.4581244885921478	0.5046687126159668	0.4498538076877594	0.5479231476783752	0.28197118639945984	0.33483418822288513	0.5352060198783875	0.19882765412330627	0.4470893442630768	0.22418150305747986	0.29687365889549255	0.6690085530281067	0.2526843249797821	0.5336599946022034	0.8245507478713989	0.505843997001648	0.3629439175128937	0.4163333773612976	0.12034077942371368	0.24157018959522247	0.20547500252723694	0.5265631079673767	0.5925722122192383	0.3408433794975281	0.1600281298160553	0.32776308059692383	0.07261160016059875	0.4337366819381714	0.07796436548233032	0.6203631162643433	0.40115612745285034
LGR6	-	-	-	-	NA	classA	0.2265147864818573	0.7519733905792236	0.6570584177970886	0.5156646966934204	0.24842610955238342	0.2359285205602646	0.6090331077575684	0.38101598620414734	0.2822474539279938	0.5938701629638672	0.4850994944572449	0.42111414670944214	0.5652406215667725	0.14555591344833374	0.5776423811912537	0.6927558183670044	0.012216061353683472	0.04789504408836365	0.31495457887649536	0.8154785633087158	0.38468560576438904	0.35097795724868774	0.24443195760250092	0.38408899307250977	0.3829672932624817	0.4674139618873596	0.4891555607318878	0.440777063369751	0.4653513431549072	0.48250582814216614	0.4545714259147644	0.5445874929428101	0.35053712129592896	0.1748841553926468	0.4366195797920227	0.386015385389328	0.40317094326019287	0.6153122186660767	0.3399095833301544	0.2662201523780823	0.3667837381362915	0.42392608523368835	0.5600244998931885	0.5573663711547852	0.5972893834114075	0.5123839974403381	0.2172795832157135	0.4045030474662781	0.3996622562408447	0.3320472538471222	0.26207903027534485	0.5733376145362854
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.3809170424938202	0.7855262756347656	1.0	0.6841773986816406	0.15260466933250427	0.3208655118942261	0.6215892434120178	0.36068272590637207	0.6180534958839417	0.37572115659713745	0.37558290362358093	0.1435931921005249	0.08083987236022949	0.1122121512889862	0.3091406226158142	0.3465940058231354	0.4675321877002716	0.5031517744064331	0.2725362479686737	0.44629308581352234	0.4242444336414337	0.42551785707473755	0.4685714840888977	0.5932235717773438	0.6710560321807861	0.2611570358276367	0.44683340191841125	0.4963825047016144	0.6914505362510681	0.4761779010295868	0.376287043094635	0.40205636620521545	0.15460848808288574	0.40795549750328064	0.5652152895927429	0.5230861902236938	0.5124987959861755	0.7468328475952148	0.26650744676589966	0.28933680057525635	0.423097163438797	0.47041335701942444	0.33342087268829346	0.7222781181335449	0.286297470331192	0.9512746334075928	0.2552107572555542	0.3810727596282959	0.7661756277084351	0.1954844444990158	0.19321024417877197	0.03112754225730896
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.13231250643730164	0.8265372514724731	0.7681403756141663	0.17119857668876648	0.38974300026893616	0.37288546562194824	0.7513229250907898	0.40212827920913696	0.2101166695356369	0.5824897289276123	0.7903953790664673	0.4882953464984894	0.26556241512298584	0.5829998850822449	0.5289256572723389	0.4609518051147461	0.5905303955078125	0.49596503376960754	0.5667100548744202	0.32465898990631104	0.4639865756034851	0.3453705310821533	0.3686431348323822	0.43675696849823	0.5746541619300842	0.512421727180481	0.7273159623146057	0.5246493816375732	0.3223041892051697	0.47082290053367615	0.5005039572715759	0.42280253767967224	0.2949753999710083	0.35004207491874695	0.23091502487659454	0.45364949107170105	0.4884006381034851	0.37309083342552185	0.5983023047447205	0.13914011418819427	0.23190847039222717	0.3985162675380707	0.6276692152023315	0.6203934550285339	0.4446687698364258	0.504817545413971	0.43426254391670227	0.27041515707969666	0.6400201916694641	0.852562427520752	0.27622830867767334	0.3713330328464508
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.20066460967063904	0.7821986675262451	0.5907267928123474	0.36931177973747253	0.3753907084465027	0.3054758310317993	0.6304624676704407	0.37196487188339233	0.26217150688171387	0.5949033498764038	0.46161574125289917	0.36201661825180054	0.542750358581543	0.15162411332130432	0.5846824049949646	0.7094831466674805	0.011604279279708862	0.0303209125995636	0.30737048387527466	0.7675384283065796	0.44153374433517456	0.36702442169189453	0.24263539910316467	0.3809262216091156	0.3748481869697571	0.5216951966285706	0.43168118596076965	0.48207712173461914	0.45169901847839355	0.5039377808570862	0.4587785601615906	0.6438395977020264	0.36194154620170593	0.19985827803611755	0.37506914138793945	0.39609479904174805	0.48233065009117126	0.5945736169815063	0.28995007276535034	0.2285175621509552	0.33214110136032104	0.5007091164588928	0.5225552320480347	0.5775498151779175	0.5377375483512878	0.5599356889724731	0.19600841403007507	0.41566070914268494	0.31837859749794006	0.3099154531955719	0.3299086093902588	0.6013368964195251
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.19247134029865265	0.8466469049453735	0.7629590034484863	0.2814885973930359	0.40268439054489136	0.39118844270706177	0.6544927358627319	0.34903743863105774	0.07294231653213501	0.5253640413284302	0.7774960994720459	0.4805997312068939	0.27769944071769714	0.6395407915115356	0.5656140446662903	0.4163753390312195	0.48065924644470215	0.5283718705177307	0.5945246815681458	0.23981109261512756	0.4375985562801361	0.37116116285324097	0.42771685123443604	0.5075762271881104	0.5772582292556763	0.5216151475906372	0.5865069031715393	0.5880836844444275	0.33169615268707275	0.42217132449150085	0.43435150384902954	0.377449095249176	0.16500601172447205	0.3458723723888397	0.38479503989219666	0.4624161124229431	0.504506528377533	0.3763946294784546	0.5207681059837341	0.2609890103340149	0.2951746881008148	0.3465706706047058	0.581194281578064	0.580260157585144	0.34825459122657776	0.39286524057388306	0.3874639868736267	0.34149792790412903	0.5444586277008057	0.9201034307479858	0.3661597669124603	0.5175953507423401
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	0.2284902036190033	0.821821391582489	0.7060431241989136	0.19975769519805908	0.5270692110061646	0.5911503434181213	0.8148307204246521	0.25139033794403076	0.07655680179595947	0.0935143232345581	0.9199917316436768	0.4201134145259857	0.13443619012832642	0.7488259673118591	0.5709336400032043	0.2446991354227066	0.3344232141971588	0.493050217628479	0.6240935325622559	0.260683536529541	0.4357396066188812	0.4951610863208771	0.623517632484436	0.5714308023452759	0.33819448947906494	0.34414708614349365	0.21812063455581665	0.3701668083667755	0.5176345109939575	0.42155584692955017	0.48314329981803894	0.3231378495693207	0.25711822509765625	0.6203703284263611	0.42124950885772705	0.4666527807712555	0.6405153274536133	0.41594260931015015	0.532148540019989	0.29295769333839417	0.6561277508735657	0.5993770956993103	0.3840291202068329	0.4006880521774292	0.4067537784576416	0.46341627836227417	0.4867033362388611	0.5155985951423645	0.36364153027534485	0.15569409728050232	0.6100412011146545	0.4974372088909149
GRM7	Coupled	-	-	-	Metabotropic glutamate receptors	classC	0.12320029735565186	0.8522108197212219	0.7130270004272461	0.024465560913085938	0.339507520198822	0.48469167947769165	0.6554135084152222	0.3678097724914551	0.0968778133392334	0.4753641188144684	0.9579823613166809	0.5481456518173218	0.3027462661266327	0.6091001033782959	0.5334827303886414	0.3683982789516449	0.5138529539108276	0.5274935960769653	0.7363380193710327	0.34829434752464294	0.4299575388431549	0.47720611095428467	0.4517621397972107	0.4794568717479706	0.7635822296142578	0.6284334063529968	0.7174150347709656	0.39148619771003723	0.3737521171569824	0.4885312616825104	0.4114530086517334	0.40712833404541016	0.5220921635627747	0.2730256915092468	0.457327276468277	0.5430536866188049	0.28158724308013916	0.5590601563453674	0.36032381653785706	0.38197484612464905	0.33056026697158813	0.38994115591049194	0.6573312282562256	0.6086094975471497	0.5593327283859253	0.30654385685920715	0.2995489239692688	0.2921675145626068	0.6179947853088379	0.5744921565055847	0.40763089060783386	0.6794079542160034
GRM4	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.11870448291301727	0.8470464944839478	0.7356977462768555	0.05945280194282532	0.31384724378585815	0.4628949463367462	0.674892008304596	0.3737976551055908	0.11505761742591858	0.48649224638938904	0.9477299451828003	0.543997585773468	0.27195262908935547	0.5996371507644653	0.5326327085494995	0.3710343539714813	0.5154862403869629	0.49611592292785645	0.730816125869751	0.3315482437610626	0.43819230794906616	0.48483482003211975	0.3913821578025818	0.4599667489528656	0.718994140625	0.6042014956474304	0.7078657746315002	0.420484334230423	0.34595662355422974	0.5356448292732239	0.3887195587158203	0.4435372054576874	0.5431820154190063	0.31064310669898987	0.4823608100414276	0.5143895149230957	0.3501266539096832	0.5680312514305115	0.3463529944419861	0.38918590545654297	0.2750476002693176	0.3795071542263031	0.6248683333396912	0.5388510227203369	0.4873417317867279	0.35501107573509216	0.29737675189971924	0.24761466681957245	0.6546027660369873	0.5580921173095703	0.377032995223999	0.591765820980072
ADGRF1	-	-	-	-	NA	classB	0.3443107604980469	0.8653588891029358	0.7142470479011536	0.29142600297927856	0.6602362990379333	0.4418994188308716	0.5534710884094238	0.4348863661289215	0.6013445258140564	0.21423891186714172	0.39031779766082764	0.11894190311431885	0.11547715961933136	0.14646267890930176	0.31018775701522827	0.6609716415405273	0.7609895467758179	0.5329424142837524	0.6499990224838257	0.47004324197769165	0.1213565468788147	0.6471014022827148	0.5699726939201355	0.4447828531265259	0.6179915070533752	0.27442389726638794	0.5633012652397156	0.4302203059196472	0.5172798037528992	0.48401713371276855	0.22503602504730225	0.3209102153778076	0.4567895531654358	0.4476613700389862	0.4459039568901062	0.5353726744651794	0.5689682364463806	0.22889506816864014	0.5048894286155701	0.23690873384475708	0.25915655493736267	0.5653443336486816	0.49701759219169617	0.42848047614097595	0.12082597613334656	0.4926926791667938	0.5860117077827454	0.356222927570343	0.39543280005455017	0.09082463383674622	0.35575348138809204	0.6223146319389343
