Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31
ADGRG2	Coupled	-	-	-	Adhesion Class GPCRs	classB	0.7687833309173584	0.7647149562835693	0.5419968366622925	0.668611466884613	0.397888720035553	0.4488406181335449	0.5134660005569458	0.909225583076477	0.4012902081012726	0.11929376423358917	0.33326059579849243	0.21290722489356995	0.32203948497772217	0.26808106899261475	0.48348650336265564	0.3589608073234558	0.3760325312614441	0.4325747489929199	0.7357865571975708	0.47743022441864014	0.2765443027019501	0.5103573799133301	0.460458368062973	0.3092993497848511	0.5828609466552734	0.45748603343963623	0.2294733226299286	0.23703959584236145	0.5772756338119507	0.537523627281189	0.4868193566799164
LGR6	-	-	-	-	NA	classA	0.6544233560562134	0.54543536901474	0.6621681451797485	0.47372251749038696	0.6018144488334656	0.5731029510498047	0.734062910079956	0.8292648792266846	0.9274746179580688	0.9660423994064331	0.27589118480682373	0.6225246787071228	0.7394676208496094	0.4502619504928589	0.6276437640190125	0.7147692441940308	0.4491894543170929	0.3201131522655487	0.4100654721260071	0.4356652498245239	0.3311064839363098	0.41245168447494507	0.4171387553215027	0.4946756064891815	0.5439907312393188	0.3672000467777252	0.42148444056510925	0.267183393239975	0.501273512840271	0.4026099443435669	0.4270152747631073
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.6444826722145081	0.8615014553070068	0.6993191838264465	0.477479487657547	0.4114745855331421	0.46008017659187317	0.3932342231273651	0.9076011180877686	0.42762815952301025	0.10888327658176422	0.30250468850135803	0.31967872381210327	0.4585251808166504	0.4473716616630554	0.7381397485733032	0.7499024271965027	0.6432579755783081	0.21541599929332733	0.6119751930236816	0.3121749758720398	0.16418516635894775	0.3053554892539978	0.43848660588264465	0.6728284358978271	0.9079096913337708	0.38170939683914185	0.6930171251296997	0.18349991738796234	0.7269729375839233	0.39306530356407166	0.647685706615448
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.511910617351532	0.8354696035385132	0.8516535758972168	0.25408363342285156	0.7678241729736328	0.43925896286964417	0.8595863580703735	0.2583233714103699	0.605745792388916	0.20150181651115417	0.3319908082485199	0.3883172869682312	0.5189763307571411	0.3933868408203125	0.49878743290901184	0.4156576991081238	0.3513607382774353	0.43561720848083496	0.49311208724975586	0.48514068126678467	0.43317875266075134	0.3763805031776428	0.5021564364433289	0.4172159731388092	0.3590890169143677	0.43564337491989136	0.39340025186538696	0.3684747517108917	0.7998172044754028	0.3844469487667084	0.44000619649887085
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.640002429485321	0.5577298402786255	0.6726511716842651	0.46106037497520447	0.5841221809387207	0.5646227598190308	0.7157250642776489	0.8378609418869019	0.8939626216888428	0.969711422920227	0.25168299674987793	0.6689879894256592	0.6925744414329529	0.4446977972984314	0.5751425623893738	0.5731316208839417	0.4441019296646118	0.2830270230770111	0.40254342555999756	0.41432106494903564	0.3066849112510681	0.41183772683143616	0.4014352262020111	0.511352002620697	0.5072742700576782	0.347686231136322	0.37779104709625244	0.2297281175851822	0.5463212132453918	0.4690800607204437	0.41308489441871643
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.5822255611419678	0.7659437656402588	0.7672976851463318	0.31645476818084717	0.8714213371276855	0.42060545086860657	0.9522370100021362	0.23806752264499664	0.4848066568374634	0.20962971448898315	0.35254520177841187	0.3431151807308197	0.541924238204956	0.3935455083847046	0.42050066590309143	0.3965955674648285	0.3274266719818115	0.3472934663295746	0.515703022480011	0.5071282386779785	0.321402370929718	0.2873629331588745	0.5046884417533875	0.5379211902618408	0.39725255966186523	0.41183680295944214	0.2744925022125244	0.5729458332061768	0.7806543111801147	0.38802027702331543	0.3958876430988312
GPRC6A	Coupled	-	-	-	Calcium-sensing receptors	classC	0.49202173948287964	0.8288710117340088	0.8881582617759705	0.17681646347045898	0.9043864607810974	0.3867289423942566	0.9991826415061951	0.21269206702709198	0.6252772212028503	0.10525710880756378	0.40115082263946533	0.38671785593032837	0.35529881715774536	0.376769483089447	0.38881969451904297	0.3402593731880188	0.08147603273391724	0.17499129474163055	0.5751082897186279	0.4907418191432953	0.3809609115123749	0.3077538311481476	0.4366120994091034	0.30622610449790955	0.49299028515815735	0.4843674898147583	0.59405118227005	0.1825840175151825	0.425659716129303	0.28305143117904663	0.4747371971607208
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.48410242795944214	0.7658883333206177	0.8900002241134644	0.165033221244812	0.9539306163787842	0.3515784740447998	0.8803297281265259	0.17913727462291718	0.622351884841919	0.1834082007408142	0.3715328276157379	0.33279183506965637	0.5087278485298157	0.3540724813938141	0.3927519917488098	0.4023575186729431	0.30381056666374207	0.31575116515159607	0.5111489295959473	0.33711883425712585	0.5516676902770996	0.3584889769554138	0.6166050434112549	0.4358755946159363	0.45360714197158813	0.3813416063785553	0.46115198731422424	0.5055577754974365	0.47429925203323364	0.7681205868721008	0.4920275807380676
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.48396676778793335	0.769490122795105	0.8957293033599854	0.1688648760318756	0.9582556486129761	0.35680872201919556	0.8617075681686401	0.18384285271167755	0.6296586990356445	0.1799880415201187	0.374063104391098	0.3154517710208893	0.5361775755882263	0.3676196038722992	0.43282195925712585	0.43837770819664	0.33259934186935425	0.29985135793685913	0.49600374698638916	0.3603469431400299	0.5291155576705933	0.3265804052352905	0.5843227505683899	0.4347992539405823	0.4476805031299591	0.3748053014278412	0.46585866808891296	0.5144386291503906	0.5137178301811218	0.7965775728225708	0.516680896282196
ADGRF1	-	-	-	-	NA	classB	0.6354472637176514	0.8894310593605042	0.6799770593643188	0.4607444107532501	0.37716785073280334	0.48878228664398193	0.4535309970378876	1.0	0.37096357345581055	0.06512348353862762	0.3219050467014313	0.3711601793766022	0.16305497288703918	0.4908245801925659	0.42813989520072937	0.3348222076892853	0.39910128712654114	0.30541086196899414	0.5530585050582886	0.14020666480064392	0.43874597549438477	0.3309999704360962	0.5878467559814453	0.08631524443626404	0.5406720042228699	0.5990708470344543	0.40938037633895874	0.19180232286453247	0.5237649083137512	0.4122595191001892	0.37059780955314636
