Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13
ADGRG2	-	-	-	-	Adhesion Class GPCRs	classB	0.9659175872802734	0.88807612657547	0.4795219600200653	0.9464091658592224	0.221221923828125	0.6478157639503479	0.2729649245738983	0.1610255241394043	0.049764662981033325	0.7224056720733643	0.23691144585609436	1.0000001192092896	0.4579862058162689
LGR6	-	-	-	-	NA	classA	0.9757012128829956	0.747261643409729	0.7423838376998901	0.8284124135971069	0.01890084147453308	0.1928389072418213	0.1971370279788971	0.0557103157043457	0.272014856338501	0.5281108617782593	0.14948680996894836	0.6026296615600586	0.49058783054351807
ADGRD2	-	-	-	-	Adhesion Class GPCRs	classB	1.0	0.681232213973999	0.7787946462631226	0.869033694267273	0.19279083609580994	0.34640347957611084	0.006467282772064209	0.31413567066192627	0.09498551487922668	0.5788087248802185	0.4412664771080017	0.8603062033653259	0.4540172219276428
GABBR1	-	-	-	-	GABA<sub>B</sub> receptors	classC	0.9990570545196533	0.806859016418457	0.5210579037666321	0.938197672367096	0.33112671971321106	0.5450150966644287	0.10982444882392883	0.02938312292098999	0.2750205099582672	0.24016603827476501	0.23408642411231995	0.7711083889007568	0.2542477548122406
LGR4	-	-	-	-	Class A Orphans	classA	0.9565153121948242	0.8359779119491577	0.5465765595436096	0.8825653195381165	0.09875097870826721	0.3040943741798401	0.3442389667034149	0.0	0.23663568496704102	0.6843057870864868	0.11204200983047485	0.5168599486351013	0.49406182765960693
GABBR2	-	-	-	-	GABA<sub>B</sub> receptors	classC	0.9789899587631226	0.828236997127533	0.46359848976135254	0.953945517539978	0.3194659948348999	0.5040735006332397	0.11629751324653625	0.12118503451347351	0.2236419916152954	0.18138429522514343	0.17184334993362427	0.6247760057449341	0.3860895037651062
GPRC6A	-	-	-	-	Calcium-sensing receptors	classC	0.9164150357246399	0.9069149494171143	0.33103543519973755	0.9661990404129028	0.24427933990955353	0.28468888998031616	0.11083859205245972	0.3224982023239136	0.18193171918392181	0.5732570886611938	0.11161190271377563	0.4112371504306793	0.484699547290802
GRM7	-	-	-	-	Metabotropic glutamate receptors	classC	0.9759290218353271	0.8054922819137573	0.4611496329307556	1.0	0.4264867901802063	0.529174268245697	0.02551579475402832	0.3100756108760834	0.2560431957244873	0.2625401020050049	0.35107529163360596	0.4836585223674774	0.3287539482116699
GRM4	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.9761117696762085	0.7841008901596069	0.5136030316352844	0.9723014235496521	0.3776392936706543	0.5326138138771057	0.11290040612220764	0.22352083027362823	0.3684593141078949	0.3228888213634491	0.27771323919296265	0.5416711568832397	0.2466067373752594
ADGRF1	-	-	-	-	NA	classB	0.9288284778594971	0.8770309686660767	0.4026675820350647	0.9564157724380493	0.20295655727386475	0.40595346689224243	0.3369187116622925	0.23204010725021362	0.24775245785713196	0.6718566417694092	0.24337486922740936	0.4395853877067566	0.27019011974334717
GRM8	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.9654141664505005	0.8211657404899597	0.4338410496711731	0.9967997074127197	0.41167423129081726	0.5460121035575867	0.10265010595321655	0.2972657382488251	0.3140919804573059	0.3943944573402405	0.3192574381828308	0.4665047824382782	0.31680017709732056
LGR5	-	-	-	-	NA	classA	0.9168003797531128	0.8415060043334961	0.5184821486473083	0.8933092355728149	0.0	0.20998206734657288	0.5272736549377441	0.17412406206130981	0.2077353298664093	0.5996200442314148	0.27595970034599304	0.4154130816459656	0.5618780255317688
ADGRE1	-	-	-	-	NA	classB	0.9655952453613281	0.8319060802459717	0.43556565046310425	0.9904539585113525	0.4388926029205322	0.6550509929656982	0.34113025665283203	0.17988815903663635	0.5053573846817017	0.7233957648277283	0.5979681015014648	0.4399215281009674	0.3507164716720581
GRM3	-	-	-	-	Metabotropic glutamate receptors	classC	0.9362751245498657	0.8289726376533508	0.4459034502506256	0.9765511751174927	0.35815972089767456	0.4648663103580475	0.24969656765460968	0.3890681266784668	0.41034722328186035	0.4644932150840759	0.43431735038757324	0.3661710321903229	0.34412461519241333
GRM6	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.9744880199432373	0.7088121175765991	0.6430904865264893	0.9632976651191711	0.41338932514190674	0.5717129111289978	0.17083677649497986	0.4927452504634857	0.33545881509780884	0.4653436243534088	0.5022464990615845	0.43015503883361816	0.33136653900146484
ADGRD1	-	-	-	-	Adhesion Class GPCRs	classB	0.9287439584732056	0.8149355053901672	0.4995202124118805	0.9442489147186279	0.27103763818740845	0.48394888639450073	0.48703858256340027	0.344442218542099	0.408841609954834	0.8774707317352295	0.4679449498653412	0.46455660462379456	0.49417635798454285
GRM2	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.9558519124984741	0.724209189414978	0.6458646059036255	0.9397997856140137	0.3446412682533264	0.4703882336616516	0.2336990237236023	0.4800616502761841	0.42109060287475586	0.5968145132064819	0.41773828864097595	0.3411695063114166	0.3469105362892151
TAS1R3	-	-	-	-	NA	classC	0.9167343378067017	0.7288113832473755	0.7137577533721924	0.8557971715927124	0.15774422883987427	0.24749855697155	0.40505605936050415	0.4987626373767853	0.5298200845718384	0.5183702707290649	0.7198148965835571	0.38707903027534485	0.40429773926734924
