Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44
ADGRG2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.708735466003418	0.3828083276748657	0.5529627203941345	0.40926676988601685	0.6241648197174072	0.5260769128799438	0.6201990246772766	0.5862364768981934	0.36945345997810364	0.42997050285339355	0.030009955167770386	0.2100086510181427	0.5704814195632935	0.5052600502967834	0.5641782283782959	0.5572519898414612	0.6341869831085205	0.5277407169342041	0.551811933517456	0.7119112014770508	0.36553311347961426	0.4601587653160095	0.17337346076965332	0.5631301403045654	0.4103180766105652	0.6110044717788696	0.5431615114212036	0.2906314432621002	0.2617279887199402	0.3654705882072449	0.30042409896850586	0.5075722336769104	0.08788076043128967	0.701680064201355	0.11852073669433594	0.14274534583091736	0.40182337164878845	0.48697125911712646	0.2963656783103943	0.3492329716682434	0.29522067308425903	0.23882150650024414	0.586982250213623	0.5159578323364258
LGR6	-	-	-	-	NA	classA	0.519717812538147	0.3555741310119629	0.5938276648521423	0.493539422750473	0.9444137811660767	0.9667856693267822	0.6353349089622498	0.8378919959068298	0.4034835696220398	0.6897915601730347	0.9317493438720703	0.7968752384185791	0.24957682192325592	0.2912403345108032	0.5453911423683167	0.4361785054206848	0.33738717436790466	0.563653826713562	0.32589197158813477	0.4619419276714325	0.571924090385437	0.4344966411590576	0.44135764241218567	0.42822587490081787	0.4121677875518799	0.5574557185173035	0.3559976816177368	0.538556694984436	0.2871299088001251	0.4508635699748993	0.7011323571205139	0.45205938816070557	0.28558871150016785	0.37548762559890747	0.2347079962491989	0.37845438718795776	0.3340493440628052	0.2374117225408554	0.22140777111053467	0.3526056110858917	0.6643574833869934	0.6028987169265747	0.08853074908256531	0.3443980813026428
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.6009384989738464	0.5457143783569336	0.6479446291923523	0.2569583058357239	0.6440467238426208	0.4945566654205322	0.6190100312232971	0.4168235659599304	0.33909475803375244	0.9038305282592773	0.13242119550704956	0.5548219084739685	0.4625377357006073	0.4449160397052765	0.4163660407066345	0.29504257440567017	0.4053090810775757	0.7409820556640625	0.5980027914047241	0.6709879636764526	0.20278120040893555	0.7270599603652954	0.38180941343307495	0.6624731421470642	0.38049018383026123	0.4868634045124054	0.5998016595840454	0.5010622143745422	0.21298867464065552	0.7518197298049927	0.5667707920074463	0.42799314856529236	0.0581015944480896	1.0	0.5669451355934143	0.4000170826911926	0.5197129249572754	0.2426588237285614	0.4558316469192505	1.0	0.20608462393283844	0.059083133935928345	0.26646825671195984	0.6502687931060791
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.5551928877830505	0.5970751047134399	0.7853821516036987	0.4789942800998688	0.8446788787841797	0.19180287420749664	0.3583447337150574	0.6461512446403503	0.6086455583572388	0.657731294631958	0.4039820432662964	0.3933981955051422	0.24057349562644958	0.39890867471694946	0.5895538330078125	0.48781758546829224	0.35927850008010864	0.4951108396053314	0.5112203359603882	0.45391955971717834	0.5081115365028381	0.5967569947242737	0.5649915933609009	0.4946644902229309	0.23427121341228485	0.38597363233566284	0.44547128677368164	0.6628377437591553	0.24691970646381378	0.49963343143463135	0.7330588102340698	0.052109092473983765	0.40173396468162537	0.7489584684371948	0.5089706778526306	0.5084516406059265	0.24618156254291534	0.6700962781906128	0.27173885703086853	0.6431644558906555	0.22125034034252167	0.0	0.5937305688858032	0.5265753269195557
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.5216844081878662	0.3773753046989441	0.5928462147712708	0.4618983864784241	0.9539074897766113	0.993155837059021	0.5346601605415344	0.8232172727584839	0.39930489659309387	0.6023073792457581	0.9094272255897522	0.7869283556938171	0.22572343051433563	0.2534085214138031	0.5098810791969299	0.42315852642059326	0.35329991579055786	0.5030625462532043	0.33224576711654663	0.4520799517631531	0.6100530028343201	0.35684633255004883	0.38547948002815247	0.3897932469844818	0.3815023601055145	0.6186914443969727	0.40027737617492676	0.5901707410812378	0.30012544989585876	0.4969295859336853	0.5201051831245422	0.517217218875885	0.25672322511672974	0.42082908749580383	0.23313462734222412	0.3886486887931824	0.3047759234905243	0.22571086883544922	0.18040187656879425	0.2890589237213135	0.6780385971069336	0.5174915790557861	0.18419399857521057	0.2794116735458374
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.5604177713394165	0.5594007968902588	0.7436010837554932	0.6336092948913574	0.812926709651947	0.16696195304393768	0.3737074136734009	0.580686092376709	0.7287681102752686	0.6793280243873596	0.45540952682495117	0.2860088646411896	0.21617484092712402	0.3112057149410248	0.5287587642669678	0.37147775292396545	0.45111507177352905	0.47183382511138916	0.394357830286026	0.4992619752883911	0.5031716227531433	0.6291871070861816	0.39665669202804565	0.587611973285675	0.35539156198501587	0.4209746718406677	0.4735248386859894	0.7281924486160278	0.24968470633029938	0.4054090678691864	0.717660665512085	0.4291166365146637	0.6583665013313293	0.42239466309547424	0.4450966715812683	0.49244943261146545	0.4157058596611023	0.47548097372055054	0.29693159461021423	0.5688381195068359	0.3395688831806183	0.0829809308052063	0.48778361082077026	0.4066997766494751
GPRC6A	Not-coupled	-	-	-	Calcium-sensing receptors	classC	0.500037670135498	0.7394313812255859	0.8149222731590271	0.5459714531898499	0.8938360214233398	0.06772097945213318	0.29665565490722656	0.5784326195716858	0.6368106603622437	0.4375247359275818	0.5359154939651489	0.25383418798446655	0.5698056221008301	0.4793755114078522	0.5056867003440857	0.14777296781539917	0.457518994808197	0.32741183042526245	0.23659709095954895	0.44188234210014343	0.21258264780044556	0.6004336476325989	0.4423093795776367	0.43899059295654297	0.518082857131958	0.4418134391307831	0.3870975375175476	0.36685341596603394	0.23759272694587708	0.49181586503982544	0.24561302363872528	0.3865976929664612	0.4220733046531677	0.3293588161468506	0.2831331491470337	0.3782992362976074	0.3025853633880615	0.3720967471599579	0.2039368748664856	0.35323938727378845	0.5843106508255005	0.5747994780540466	0.3800467252731323	0.42952489852905273
GRM7	Coupled	-	-	-	Metabotropic glutamate receptors	classC	0.4180365204811096	0.7136222124099731	0.9630050659179688	0.6182683706283569	0.8453103303909302	0.022520899772644043	0.33858591318130493	0.6206696629524231	0.6408276557922363	0.5500991344451904	0.4928405284881592	0.2717406749725342	0.3804168701171875	0.37209245562553406	0.5319859981536865	0.3141763508319855	0.3713531196117401	0.5033528804779053	0.38281747698783875	0.34816837310791016	0.5584083795547485	0.3664754331111908	0.39265018701553345	0.6253095865249634	0.4050334692001343	0.5501561760902405	0.49489885568618774	0.47360751032829285	0.3301357626914978	0.49760061502456665	0.56153404712677	0.4286280870437622	0.4384723901748657	0.5753414034843445	0.38043299317359924	0.5530751347541809	0.3436426818370819	0.3119868040084839	0.20701925456523895	0.24307218194007874	0.4145974814891815	0.48952561616897583	0.46518373489379883	0.5392431616783142
GRM4	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.4135206937789917	0.7087439298629761	0.9803808927536011	0.601915717124939	0.8506890535354614	0.025175124406814575	0.3656809628009796	0.6119223833084106	0.6418313980102539	0.6835815906524658	0.47029909491539	0.280601441860199	0.3533044755458832	0.3551158607006073	0.514559805393219	0.30992305278778076	0.381456583738327	0.4722387492656708	0.36910516023635864	0.34141111373901367	0.5414506196975708	0.39783376455307007	0.40907788276672363	0.6271997690200806	0.4104197323322296	0.5177603960037231	0.4846528470516205	0.4807436466217041	0.3520021140575409	0.4931938946247101	0.5344523191452026	0.4787551164627075	0.4214988648891449	0.5712193250656128	0.40035760402679443	0.5965849757194519	0.33406326174736023	0.2756592631340027	0.23327811062335968	0.2666245102882385	0.3971899151802063	0.5260328054428101	0.478908509016037	0.557979941368103
ADGRF1	-	-	-	-	NA	classB	0.6283302307128906	0.6115314960479736	0.6470630764961243	0.2541557550430298	0.7089872360229492	0.48502516746520996	0.47846317291259766	0.42546534538269043	0.37864091992378235	0.36079755425453186	0.0	0.4922594428062439	0.5882461071014404	0.6868229508399963	0.32118380069732666	0.4659404754638672	0.3224228024482727	0.7192180156707764	0.5562689900398254	0.7078285217285156	0.242333322763443	0.6496535539627075	0.33275043964385986	0.3941442668437958	0.4837738275527954	0.5079270005226135	0.40198206901550293	0.22408786416053772	0.2752021253108978	0.41419872641563416	0.4129643440246582	0.17358699440956116	0.4522011876106262	0.3684321641921997	0.1718050092458725	0.31598249077796936	0.0	0.37070566415786743	0.4391864836215973	0.25985953211784363	0.3256748914718628	0.3154262900352478	0.38125860691070557	0.0
GRM8	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.4128074645996094	0.7212297916412354	0.9659215211868286	0.6173754334449768	0.8330497741699219	0.011683225631713867	0.32521677017211914	0.5980157852172852	0.6458175182342529	0.5055975317955017	0.4995415508747101	0.28182995319366455	0.41833850741386414	0.38409528136253357	0.5211437940597534	0.2701060175895691	0.3713637590408325	0.47100287675857544	0.34146469831466675	0.34074264764785767	0.5233600735664368	0.3906865119934082	0.3914104700088501	0.6510127186775208	0.4253932237625122	0.5223196744918823	0.5213809013366699	0.5022526979446411	0.36125779151916504	0.48908066749572754	0.5126974582672119	0.4587980806827545	0.4679679274559021	0.5414968132972717	0.3700054883956909	0.5571022033691406	0.3614112436771393	0.3018192648887634	0.2395903617143631	0.2896752953529358	0.44559094309806824	0.5141324400901794	0.4607505202293396	0.580398678779602
LGR5	-	-	-	-	NA	classA	0.47150927782058716	0.44324737787246704	0.6020683646202087	0.45844578742980957	1.0	1.0	0.531006932258606	0.8623315095901489	0.3353138864040375	0.5864832401275635	0.940378725528717	0.8021701574325562	0.2920231819152832	0.28202301263809204	0.6052230596542358	0.409872829914093	0.3004317879676819	0.549045205116272	0.33702802658081055	0.5113463997840881	0.5090985894203186	0.4071197211742401	0.4135409891605377	0.3991627097129822	0.41957858204841614	0.5846113562583923	0.3340200185775757	0.5433399677276611	0.19818538427352905	0.4527546763420105	0.49239733815193176	0.5077689290046692	0.35319438576698303	0.4437074363231659	0.20126503705978394	0.34991317987442017	0.3729555308818817	0.21445612609386444	0.202336847782135	0.37410908937454224	0.6459466218948364	0.44533127546310425	0.19236961007118225	0.39271411299705505
ADGRE1	-	-	-	-	NA	classB	0.40414923429489136	0.7039170265197754	0.9559046626091003	0.46762001514434814	0.638303816318512	0.514885425567627	0.6385180354118347	0.3597224950790405	0.3706797957420349	0.10786092281341553	0.1452445089817047	0.7132521867752075	0.7359098196029663	0.7317763566970825	0.5857295393943787	0.8744528889656067	0.18403980135917664	0.06306299567222595	0.37189042568206787	0.06923434138298035	0.46606358885765076	0.4608811140060425	1.0	0.029402494430541992	0.23663389682769775	0.41159212589263916	0.4070715606212616	0.5273486375808716	0.23308825492858887	0.43419408798217773	0.4092920124530792	0.1788509041070938	0.34382230043411255	0.589913547039032	0.4934573173522949	0.5215849280357361	0.2421281784772873	0.34671226143836975	0.19368545711040497	0.3216421604156494	0.3932918310165405	0.5442662835121155	0.6948869824409485	0.3957085609436035
GRM3	Coupled	-	-	-	Metabotropic glutamate receptors	classC	0.3932797908782959	0.7735626697540283	0.9601811170578003	0.5889484882354736	0.8648913502693176	0.025702744722366333	0.3079473376274109	0.6059178113937378	0.6400611996650696	0.5162447094917297	0.5307595133781433	0.29075491428375244	0.3928363025188446	0.4017658531665802	0.5394375324249268	0.3119703531265259	0.3860316574573517	0.44627243280410767	0.32669681310653687	0.3977621793746948	0.503708004951477	0.4473981261253357	0.3695617616176605	0.5157710909843445	0.43163561820983887	0.5753800272941589	0.5315718650817871	0.40709275007247925	0.3199811279773712	0.4615342617034912	0.3996396064758301	0.4097896218299866	0.3516656756401062	0.5167570114135742	0.30656304955482483	0.466374009847641	0.37329551577568054	0.30631008744239807	0.22245396673679352	0.2108309268951416	0.47043144702911377	0.5704902410507202	0.3787856698036194	0.4219813942909241
GRM6	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.39543843269348145	0.7305915355682373	0.98192298412323	0.5982281565666199	0.8862957954406738	0.01147487759590149	0.3885076642036438	0.6277878880500793	0.5973701477050781	0.7999655604362488	0.47074490785598755	0.3230947256088257	0.39894744753837585	0.362499475479126	0.5729922652244568	0.3165983557701111	0.3367512822151184	0.526566207408905	0.39686617255210876	0.34592434763908386	0.5571768879890442	0.3996589481830597	0.35368603467941284	0.5543823838233948	0.4028041958808899	0.5320360064506531	0.5333136916160583	0.5153889656066895	0.3419416844844818	0.48139387369155884	0.45624396204948425	0.42505428194999695	0.45334020256996155	0.6692696809768677	0.42623698711395264	0.5582923293113708	0.3640044033527374	0.34174495935440063	0.2518099546432495	0.24950727820396423	0.38243433833122253	0.5067929029464722	0.4786968529224396	0.6454657316207886
ADGRD1	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.5931408405303955	0.568856418132782	0.6719967722892761	0.2637299597263336	0.6729112863540649	0.5447638630867004	0.5052525997161865	0.33428582549095154	0.5134047865867615	0.666751503944397	0.08763584494590759	0.47794783115386963	0.40826767683029175	0.4344882071018219	0.3954865038394928	0.4071429967880249	0.4975939095020294	0.7550601959228516	0.4875018000602722	0.730157732963562	0.3672342002391815	0.6887706518173218	0.25716155767440796	0.6140499711036682	0.48324349522590637	0.6486010551452637	0.5445907711982727	0.43042653799057007	0.31323546171188354	0.7048889398574829	0.6289496421813965	0.4975805878639221	0.1426708996295929	0.7666571140289307	0.39483705163002014	0.4498347043991089	0.6153151988983154	0.3133111298084259	0.37767088413238525	0.843497633934021	0.14851093292236328	0.20258858799934387	0.2883313298225403	0.4604457914829254
GRM2	Coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.3814924955368042	0.7672644853591919	0.9700096249580383	0.5904867053031921	0.8548123240470886	0.01611018180847168	0.3692072629928589	0.5959261655807495	0.6284326910972595	0.6527556777000427	0.5321130156517029	0.3232595920562744	0.40011680126190186	0.40131494402885437	0.5384606122970581	0.30378958582878113	0.35050392150878906	0.4641086459159851	0.31905078887939453	0.3636305332183838	0.5050970315933228	0.47611215710639954	0.3546414375305176	0.49255988001823425	0.43472227454185486	0.5663448572158813	0.5084517002105713	0.4104628562927246	0.32926154136657715	0.4405840337276459	0.3968009650707245	0.44756102561950684	0.3685349225997925	0.5408093929290771	0.341328889131546	0.4381260871887207	0.3464353382587433	0.3238363265991211	0.2330126315355301	0.22021615505218506	0.4335023760795593	0.6144620776176453	0.3587847054004669	0.4499925971031189
TAS1R3	-	-	-	-	NA	classC	0.4884280860424042	0.7498140335083008	0.8649494051933289	0.4748215675354004	0.9500095844268799	0.06727594137191772	0.4157956540584564	0.5888180136680603	0.6006667017936707	0.9475780725479126	0.515108048915863	0.3425382971763611	0.431855171918869	0.42292550206184387	0.5210767984390259	0.237107515335083	0.4759243428707123	0.336800754070282	0.4528042674064636	0.4113048017024994	0.41433265805244446	0.44212085008621216	0.5735867619514465	0.3037559986114502	0.5197005867958069	0.39564698934555054	0.3787127733230591	0.26431402564048767	0.2849046289920807	0.508061408996582	0.2923462390899658	0.34462618827819824	0.3070470094680786	0.41112518310546875	0.31344425678253174	0.37089845538139343	0.45917612314224243	0.41513150930404663	0.20145025849342346	0.2475094199180603	0.6187233924865723	0.571465253829956	0.4487740993499756	0.34132957458496094
TAS1R1	-	-	-	-	NA	classC	0.43374377489089966	0.7899824976921082	0.9224505424499512	0.5120469331741333	0.9644050598144531	0.04031026363372803	0.3582095205783844	0.5991387963294983	0.5853226780891418	0.861484944820404	0.5122777223587036	0.31787699460983276	0.4873158037662506	0.4226503372192383	0.5403956174850464	0.22731202840805054	0.46334534883499146	0.31690365076065063	0.33681726455688477	0.38224318623542786	0.32730618119239807	0.47734561562538147	0.4890168309211731	0.32717469334602356	0.5157939195632935	0.4112296402454376	0.41398701071739197	0.3460908830165863	0.27426445484161377	0.546670138835907	0.1906854212284088	0.42556440830230713	0.4472277760505676	0.37760818004608154	0.35748791694641113	0.4197019636631012	0.4580387473106384	0.39729976654052734	0.21954065561294556	0.24478751420974731	0.5559614896774292	0.5801425576210022	0.41025400161743164	0.3366876244544983
TAS1R2	-	-	-	-	NA	classC	0.44948387145996094	0.8195719718933105	0.872256338596344	0.4937528669834137	0.9806864857673645	0.08005884289741516	0.2864227294921875	0.6010505557060242	0.5966581106185913	0.7267502546310425	0.49671101570129395	0.2529619336128235	0.4580882787704468	0.43149420619010925	0.5199782252311707	0.23245054483413696	0.48805755376815796	0.3087853193283081	0.3648274838924408	0.45311492681503296	0.26357465982437134	0.5065953135490417	0.5121781229972839	0.32069963216781616	0.532423734664917	0.39410245418548584	0.34035801887512207	0.3595646023750305	0.2852271795272827	0.5780355334281921	0.27312982082366943	0.3190816640853882	0.5085529088973999	0.3792934715747833	0.3520878851413727	0.39769476652145386	0.5034709572792053	0.4057554304599762	0.2320321798324585	0.24924561381340027	0.5455249547958374	0.6310374736785889	0.5017013549804688	0.34711840748786926
