Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43	PC44	PC45	PC46	PC47	PC48
ADGRG2	-	-	-	-	Adhesion Class GPCRs	classB	0.3922985792160034	0.4422258734703064	0.20992225408554077	0.6550537347793579	0.10352736711502075	0.4915499687194824	0.3268957734107971	0.5974423289299011	0.24805700778961182	0.2062862515449524	0.49527496099472046	0.2611827254295349	0.37427669763565063	0.15168195962905884	0.3770877420902252	0.17653343081474304	0.1866079866886139	0.2649354934692383	0.4278910458087921	0.19166305661201477	0.4986266493797302	0.3359960913658142	0.6557760834693909	0.45173054933547974	0.478096067905426	0.5702787041664124	0.49138957262039185	0.6025419235229492	0.16676391661167145	0.5844646692276001	0.6524425148963928	0.5325045585632324	0.4896501898765564	0.5221505165100098	0.47437405586242676	0.6453526020050049	0.36241814494132996	0.7105863094329834	0.4649476110935211	0.32845538854599	0.35412490367889404	0.45469459891319275	0.16045869886875153	0.1694222390651703	0.43593713641166687	0.4973317086696625	0.5008655190467834	0.47988951206207275
LGR6	-	-	-	-	NA	classA	0.2134409248828888	0.5280295014381409	0.6646715998649597	0.5843018293380737	0.41603416204452515	0.36733007431030273	0.47923779487609863	0.4331927001476288	0.07284224033355713	0.46478936076164246	0.6891680955886841	0.4515807628631592	0.675774335861206	0.31659016013145447	0.8959554433822632	0.981414794921875	0.19918134808540344	0.44615036249160767	0.3154810667037964	0.17019900679588318	0.17076510190963745	0.6469370126724243	0.9267362356185913	0.4959304928779602	0.30086246132850647	0.23916497826576233	0.27441319823265076	0.4722274839878082	0.30529478192329407	0.21230635046958923	0.521846354007721	0.3352162837982178	0.2189302146434784	0.6689733862876892	0.41703036427497864	0.42061883211135864	0.4447072148323059	0.5007187128067017	0.46097269654273987	0.40995100140571594	0.3767620027065277	0.4183636009693146	0.3010079264640808	0.48566946387290955	0.38907214999198914	0.5019001364707947	0.521133303642273	0.7736102938652039
ADGRD2	-	-	-	-	Adhesion Class GPCRs	classB	0.31121575832366943	0.5015572309494019	0.8813717365264893	0.6811304688453674	0.17276817560195923	0.40711480379104614	0.6695868372917175	0.5524419546127319	0.07118862867355347	0.15833184123039246	0.5196689367294312	0.22105054557323456	0.26990458369255066	0.2750895023345947	0.3015342354774475	0.43924421072006226	0.37982335686683655	0.6176726818084717	0.5600327849388123	0.5041682124137878	0.4845319986343384	0.29618459939956665	0.6023236513137817	0.7579011917114258	0.33332905173301697	0.9074286222457886	0.21755267679691315	0.4682149589061737	0.41260671615600586	0.16195885837078094	0.5332371592521667	0.42444947361946106	0.747154712677002	1.0	0.9540493488311768	0.5315378904342651	0.555234432220459	0.4042305648326874	0.4370710253715515	0.7365666627883911	0.3342118561267853	0.8799417614936829	0.5508910417556763	0.550591230392456	0.09166085720062256	0.11362120509147644	0.40174731612205505	0.6125333905220032
GABBR1	-	-	-	-	GABA<sub>B</sub> receptors	classC	0.07701590657234192	0.6609101295471191	0.3653770983219147	0.329581081867218	0.21600529551506042	0.17615929245948792	0.5549169182777405	0.2198827564716339	0.3137895464897156	0.6801028251647949	0.8288549780845642	0.20214347541332245	0.4770023822784424	0.5460479259490967	0.17191869020462036	0.38532909750938416	0.26532167196273804	0.5322332382202148	0.608903706073761	0.35220345854759216	0.2606741786003113	0.748287558555603	0.42130762338638306	0.10493001341819763	0.28093913197517395	0.28992360830307007	0.22266018390655518	0.713683545589447	0.27477043867111206	0.25644081830978394	0.5294617414474487	0.5794779062271118	0.46895551681518555	0.4485064148902893	0.3048023581504822	0.7303584814071655	0.5310251712799072	0.3822755813598633	0.3593543767929077	0.7583163976669312	0.6193561553955078	0.5761768221855164	0.39805668592453003	0.03299650549888611	0.7494962811470032	0.2372628152370453	0.35871535539627075	0.26661282777786255
LGR4	-	-	-	-	Class A Orphans	classA	0.2721139192581177	0.5556455850601196	0.3958677649497986	0.48842474818229675	0.39875805377960205	0.2736450135707855	0.4665624499320984	0.4947856366634369	0.08326664566993713	0.4379611611366272	0.6890519261360168	0.41923850774765015	0.6929699182510376	0.28121519088745117	0.9106405973434448	0.9477506875991821	0.19554227590560913	0.45467284321784973	0.3296300172805786	0.14008353650569916	0.143661230802536	0.6598030924797058	0.8165007829666138	0.4794085621833801	0.30812329053878784	0.13411152362823486	0.31124716997146606	0.6219872236251831	0.2275921106338501	0.2029043436050415	0.5523248910903931	0.3570188879966736	0.258968710899353	0.6078481674194336	0.42688488960266113	0.5022801756858826	0.37711143493652344	0.5275208950042725	0.4535043239593506	0.3107329308986664	0.35879966616630554	0.45984408259391785	0.2575884461402893	0.523622989654541	0.569543182849884	0.49307477474212646	0.5248886346817017	0.7519904375076294
GABBR2	-	-	-	-	GABA<sub>B</sub> receptors	classC	0.16198524832725525	0.6184473037719727	0.33196568489074707	0.3941880464553833	0.20331209897994995	0.28458651900291443	0.5019055008888245	0.3494880199432373	0.37077492475509644	0.5958102345466614	0.8795488476753235	0.21197377145290375	0.5293647050857544	0.6538854241371155	0.18118852376937866	0.45082780718803406	0.395502507686615	0.4001825451850891	0.5267406702041626	0.3354925811290741	0.29031556844711304	0.7527575492858887	0.389406681060791	0.2676207423210144	0.323797345161438	0.48843914270401	0.21363817155361176	0.589871883392334	0.3184727430343628	0.36686331033706665	0.35064491629600525	0.569333553314209	0.44658419489860535	0.380243182182312	0.38489392399787903	0.6427697539329529	0.42689424753189087	0.31288906931877136	0.49056175351142883	0.615234375	0.6116588711738586	0.7511618137359619	0.573682427406311	0.09522297978401184	0.7650156021118164	0.17522937059402466	0.26018399000167847	0.2892967164516449
GPRC6A	-	-	-	-	Calcium-sensing receptors	classC	0.42449817061424255	0.31137600541114807	0.1418863832950592	0.49128463864326477	0.07942253351211548	0.4191502630710602	0.8037066459655762	0.41922688484191895	0.3603840172290802	0.5184695720672607	0.934228241443634	0.07737010717391968	0.6726764440536499	0.7925338745117188	0.0899675190448761	0.4091905653476715	0.43211090564727783	0.49781981110572815	0.19413261115550995	0.2300659418106079	0.38942715525627136	0.3744348883628845	0.23392292857170105	0.5342685580253601	0.36827582120895386	0.6110256910324097	0.18804359436035156	0.694212794303894	0.39414000511169434	0.41589733958244324	0.17037442326545715	0.41845715045928955	0.41309401392936707	0.3662067651748657	0.5500926971435547	0.27870845794677734	0.24028603732585907	0.6199424862861633	0.5174885988235474	0.31261587142944336	0.1498378962278366	0.43272149562835693	0.16575489938259125	0.5046333074569702	0.49828198552131653	0.321586549282074	0.5836161971092224	0.3739287257194519
GRM7	-	-	-	-	Metabotropic glutamate receptors	classC	0.09194815158843994	0.7501131296157837	0.16384989023208618	0.2272658348083496	0.2961157560348511	0.5152556896209717	0.5648845434188843	0.23846103250980377	0.46889716386795044	0.7463226914405823	0.9055690765380859	0.04151436686515808	0.7109660506248474	0.4600014388561249	0.10221391916275024	0.2901190519332886	0.2512725591659546	0.3895658254623413	0.5295591354370117	0.2866158187389374	0.553973376750946	0.9127107858657837	0.4295065701007843	0.3802418112754822	0.41797858476638794	0.34671443700790405	0.4531797766685486	0.2646791934967041	0.305420845746994	0.30017003417015076	0.4815298914909363	0.5251484513282776	0.35577601194381714	0.5284730195999146	0.480746865272522	0.6165709495544434	0.5751975178718567	0.33700478076934814	0.4623464047908783	0.4755523204803467	0.5078055262565613	0.5361073017120361	0.4376131296157837	0.4730691909790039	0.5452338457107544	0.4481024742126465	0.39030128717422485	0.7624868750572205
GRM4	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.14085087180137634	0.6627535820007324	0.23700356483459473	0.28507909178733826	0.2711198329925537	0.6034884452819824	0.6019139885902405	0.22050637006759644	0.4052947461605072	0.7769945859909058	0.8707247376441956	0.03917393088340759	0.6404604911804199	0.5283365249633789	0.2816924750804901	0.27800989151000977	0.2920469641685486	0.3376804292201996	0.3491438031196594	0.22923633456230164	0.5451440215110779	0.7701370716094971	0.3840097188949585	0.34652286767959595	0.45886164903640747	0.4161854088306427	0.4615592956542969	0.33767104148864746	0.3188971281051636	0.27874916791915894	0.4954906105995178	0.5357058048248291	0.5145796537399292	0.46291178464889526	0.48739853501319885	0.7236844897270203	0.6520746946334839	0.3754695951938629	0.38727250695228577	0.5851172804832458	0.5912649035453796	0.5189647078514099	0.46573543548583984	0.45633408427238464	0.31167125701904297	0.4079705774784088	0.4335861802101135	0.6624149680137634
ADGRF1	-	-	-	-	NA	classB	0.46267691254615784	0.31732162833213806	0.14963167905807495	0.5927252769470215	0.04772600531578064	0.5090802311897278	0.5788723230361938	0.4583563208580017	0.12135045230388641	0.3177475035190582	0.4489668905735016	0.2347376048564911	0.2048163115978241	0.17844170331954956	0.5043986439704895	0.10558491945266724	0.19132938981056213	0.5978105664253235	0.5795589685440063	0.038851797580718994	0.3886900246143341	0.32920098304748535	0.5401231646537781	0.5572766065597534	0.33134832978248596	0.5807850360870361	0.42111361026763916	0.5286793112754822	0.38253456354141235	0.3968159854412079	0.3096202611923218	0.5350924730300903	0.5061891078948975	0.6439741253852844	0.38303127884864807	0.6697662472724915	0.26331910490989685	0.5768216252326965	0.466106653213501	0.2186521738767624	0.37976008653640747	0.46894729137420654	0.05656641721725464	0.02385878562927246	0.12348079681396484	0.41047823429107666	0.6967201828956604	0.3732319474220276
