Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30	PC31	PC32	PC33	PC34	PC35	PC36	PC37	PC38	PC39	PC40	PC41	PC42	PC43
ADGRG2	Coupled	-	-	-	Adhesion Class GPCRs	classB	0.814177930355072	0.14716769754886627	0.2040950059890747	0.5377641916275024	0.24479635059833527	0.4609781801700592	0.5199441909790039	0.3246265649795532	0.5341793298721313	0.9106296300888062	0.9679632186889648	0.44339102506637573	0.30075621604919434	0.3052002787590027	0.3798041343688965	0.39108794927597046	0.40337061882019043	0.4091735780239105	0.359440416097641	0.4277063012123108	0.30377697944641113	0.3320278227329254	0.5367629528045654	0.5006905794143677	0.3756310045719147	0.2937295436859131	0.6052459478378296	0.4830642640590668	0.6180747747421265	0.639985978603363	0.9834519624710083	0.2603001296520233	0.5810410976409912	0.48008763790130615	0.20336860418319702	0.7087520956993103	0.20385459065437317	0.32790660858154297	0.20565514266490936	0.006762325763702393	0.3182850778102875	0.5500555634498596	0.5224842429161072
LGR6	-	-	-	-	NA	classA	0.6084089279174805	0.11668786406517029	0.41126570105552673	0.46777254343032837	0.5942075252532959	0.7452061176300049	0.27202779054641724	0.34869468212127686	0.48548853397369385	0.4989025294780731	0.4241985082626343	0.2306821644306183	0.9330297708511353	0.9457505941390991	0.9766597747802734	0.12061421573162079	0.6531357765197754	0.6159583330154419	0.35729923844337463	0.3770495355129242	0.5355832576751709	0.34271082282066345	0.44285866618156433	0.4780358076095581	0.4986390471458435	0.3232235610485077	0.5418471097946167	0.4665452837944031	0.4196076989173889	0.48099103569984436	0.3809240162372589	0.3466989994049072	0.40795695781707764	0.5305619239807129	0.6229021549224854	0.7007467746734619	0.4457140862941742	0.30921149253845215	0.30756688117980957	0.5692363977432251	0.5756345391273499	0.40693044662475586	0.4665611684322357
ADGRD2	Not-coupled	-	-	-	Adhesion Class GPCRs	classB	0.72884601354599	0.11897310614585876	0.06914171576499939	0.4392170011997223	0.7534725666046143	0.5504884719848633	0.2982196807861328	0.16838860511779785	0.5093817114830017	0.8204118013381958	0.642423152923584	0.05589394271373749	0.43985068798065186	0.1266128420829773	0.4924648702144623	0.3118646442890167	0.5496975779533386	0.4822937250137329	0.5896488428115845	0.43391117453575134	0.5032128095626831	0.3884093761444092	0.3409692049026489	0.5719356536865234	0.39776939153671265	0.4971645474433899	0.5965229272842407	0.5754712224006653	0.21920567750930786	0.7841414213180542	0.31909358501434326	0.331920862197876	0.5156386494636536	0.2810839116573334	0.652786374092102	0.6607483625411987	0.0	0.04792046546936035	0.058465808629989624	0.5020891427993774	0.3465847373008728	1.0	0.3693358898162842
GABBR1	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.5400161147117615	0.010156571865081787	0.20975106954574585	0.11205735802650452	0.5693783760070801	0.8064102530479431	0.3433312475681305	0.7276023626327515	0.16520562767982483	0.4358566105365753	0.420439213514328	0.2841874063014984	0.21238847076892853	0.4494520425796509	0.5170892477035522	0.23132148385047913	0.47485941648483276	0.33652937412261963	0.3489954471588135	0.43730610609054565	0.5493899583816528	0.43696892261505127	0.40142303705215454	0.576019823551178	0.4322147071361542	0.44327813386917114	0.3087879419326782	0.4184906780719757	0.6693580746650696	0.5129526853561401	0.4396556317806244	0.45106908679008484	0.3163154125213623	0.6558552980422974	0.4755589962005615	0.430163711309433	0.18719053268432617	0.6999395489692688	0.0	0.5739079117774963	0.4437601566314697	0.07106277346611023	0.4165499210357666
LGR4	Not-coupled	-	-	-	Class A Orphans	classA	0.5963101387023926	0.08371001482009888	0.4315727651119232	0.3842022120952606	0.4934137463569641	0.7101736664772034	0.29762616753578186	0.49984055757522583	0.5050475001335144	0.4997226297855377	0.4984501302242279	0.19744163751602173	0.9433567523956299	0.9717767238616943	0.9946650266647339	0.09673206508159637	0.686989426612854	0.5278361439704895	0.35801962018013	0.43391624093055725	0.5618966817855835	0.34495824575424194	0.4400476813316345	0.5550499558448792	0.604153037071228	0.3892298936843872	0.515905499458313	0.4615776240825653	0.4175790548324585	0.522788405418396	0.358142614364624	0.3422985076904297	0.2652481198310852	0.5354350805282593	0.5649368166923523	0.6665579676628113	0.3967318832874298	0.27445995807647705	0.3499414920806885	0.6063528060913086	0.5821524858474731	0.38114696741104126	0.48252934217453003
GABBR2	Not-coupled	-	-	-	GABA<sub>B</sub> receptors	classC	0.5938867926597595	0.020462870597839355	0.2256474792957306	0.23071740567684174	0.5638118386268616	0.8608623743057251	0.4323664605617523	0.7505612969398499	0.162713885307312	0.36110448837280273	0.47477850317955017	0.33313363790512085	0.14872652292251587	0.46883493661880493	0.47788989543914795	0.1908380091190338	0.47323402762413025	0.3500192165374756	0.4349238872528076	0.42168766260147095	0.4508495330810547	0.4408610463142395	0.3976166844367981	0.6088472604751587	0.4123845100402832	0.5032724738121033	0.38308560848236084	0.5685411691665649	0.6893550157546997	0.665756344795227	0.462831050157547	0.3661487102508545	0.3414894938468933	0.5916777849197388	0.5226190090179443	0.4497034549713135	0.12824657559394836	0.6855352520942688	0.09826752543449402	0.48807358741760254	0.4532207250595093	0.16421276330947876	0.38429540395736694
GPRC6A	Coupled	-	-	-	Calcium-sensing receptors	classC	0.6292614340782166	0.07147812843322754	0.1800656020641327	0.10987833142280579	0.5722523927688599	0.8962341547012329	0.4651615619659424	0.8905528783798218	0.15831711888313293	0.5996025800704956	0.5627778172492981	0.44958993792533875	0.016316622495651245	0.39839330315589905	0.4110732674598694	0.13845789432525635	0.620100736618042	0.49564453959465027	0.6399762034416199	0.6039240956306458	0.12882931530475616	0.23844604194164276	0.5474547743797302	0.24782972037792206	0.43195781111717224	0.1804032325744629	0.4761613607406616	0.583091139793396	0.49440354108810425	0.4421809911727905	0.420859694480896	0.4983775019645691	0.33642733097076416	0.3422313332557678	0.33912307024002075	0.29153603315353394	0.5135434865951538	0.31571608781814575	0.5660775899887085	0.3275459408760071	0.44325628876686096	0.38814249634742737	0.4641813337802887
GRM7	Not-coupled	-	-	-	Metabotropic glutamate receptors	classC	0.5330792665481567	0.0018138885498046875	0.25584179162979126	0.04126426577568054	0.6374089121818542	0.8514851927757263	0.4746980369091034	0.8526858687400818	0.04868662357330322	0.4246910810470581	0.4417323172092438	0.3661109507083893	0.15584537386894226	0.44352012872695923	0.4333696961402893	0.13961750268936157	0.5313172936439514	0.35216668248176575	0.40327632427215576	0.4551791250705719	0.4129486680030823	0.3802642822265625	0.4869135320186615	0.7194350957870483	0.3828132152557373	0.42838025093078613	0.3997333347797394	0.42474907636642456	0.4698617458343506	0.4377020299434662	0.6449071168899536	0.5483487248420715	0.41226625442504883	0.6147128939628601	0.5759090781211853	0.7397321462631226	0.4770311117172241	0.5551285743713379	0.3126828670501709	0.35567349195480347	0.4334928095340729	0.5505406260490417	0.4755880832672119
GRM4	Not-coupled	-	Not-coupled	-	Metabotropic glutamate receptors	classC	0.5352068543434143	0.0	0.24526295065879822	0.0543326735496521	0.664947509765625	0.8573276996612549	0.45864996314048767	0.8193289041519165	0.04784715175628662	0.4285849928855896	0.42373642325401306	0.34905382990837097	0.16852818429470062	0.4370134770870209	0.43866202235221863	0.1302875131368637	0.5375722050666809	0.3409056067466736	0.38364267349243164	0.4663989543914795	0.41911178827285767	0.38838309049606323	0.462181031703949	0.7158920764923096	0.3866952061653137	0.42570003867149353	0.3755645751953125	0.4067378044128418	0.4745875895023346	0.4717668294906616	0.6030169725418091	0.5334588289260864	0.40879160165786743	0.5832493901252747	0.5609433054924011	0.6974866390228271	0.4494975805282593	0.5417677760124207	0.30779409408569336	0.3248383700847626	0.436469167470932	0.5422390699386597	0.47934237122535706
ADGRF1	-	-	-	-	NA	classB	0.7516018152236938	0.11567136645317078	0.14427730441093445	0.29977691173553467	0.3689345121383667	0.43883949518203735	0.355699360370636	0.528755784034729	0.6022392511367798	0.9562803506851196	0.8773074150085449	0.18049725890159607	0.2992023825645447	0.2363898903131485	0.5248692631721497	0.4914786219596863	0.4851495623588562	0.196341872215271	0.4290793240070343	0.2508823871612549	0.3035929203033447	0.2577618956565857	0.45881450176239014	0.7288941740989685	0.2880026698112488	0.16327166557312012	0.5671645402908325	0.503987729549408	0.4437738060951233	0.518982470035553	0.6801167726516724	0.48868700861930847	0.25083327293395996	0.4551098048686981	0.2573530077934265	0.3666726052761078	0.15319812297821045	0.45799699425697327	0.2912416160106659	0.326068639755249	0.46465030312538147	0.25334975123405457	0.46832624077796936
