Gene	IUPHAR	Shedding	ebBRET	STRING	Family	Class	PC1	PC2
ADGRG2	-	-	-	-	Adhesion Class GPCRs	classB	27.755952835083008	78.30829620361328
LGR6	-	-	-	-	NA	Other	-12.486944198608398	52.649356842041016
ADGRD2	-	-	-	-	Adhesion Class GPCRs	classB	25.42296028137207	59.169803619384766
GABBR1	-	-	-	-	GABA<sub>B</sub> receptors	classC	-35.6159782409668	67.13973236083984
LGR4	-	-	-	-	Class A Orphans	classA	-18.833831787109375	58.52321243286133
GABBR2	-	-	-	-	GABA<sub>B</sub> receptors	classC	-20.845458984375	71.04769134521484
GPRC6A	-	-	-	-	Calcium-sensing receptors	classC	-12.001900672912598	66.22327423095703
GRM7	-	-	-	-	Metabotropic glutamate receptors	classC	-37.85328674316406	72.12899017333984
GRM4	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-38.95712661743164	71.12537384033203
ADGRF1	-	-	-	-	NA	classB	16.435068130493164	74.6841049194336
GRM8	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-36.725799560546875	71.74883270263672
LGR5	-	-	-	-	NA	Other	-15.318129539489746	52.45721435546875
ADGRE1	-	-	-	-	NA	classB	6.006564140319824	51.48027801513672
GRM3	-	-	-	-	Metabotropic glutamate receptors	classC	-41.43941879272461	66.51571655273438
GRM6	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-35.3077392578125	65.20327758789062
ADGRD1	-	-	-	-	Adhesion Class GPCRs	classB	-2.7644550800323486	71.1499252319336
GRM2	-	-	Not-coupled	-	Metabotropic glutamate receptors	classC	-41.81984329223633	62.77759552001953
TAS1R3	-	-	-	-	NA	classC	-8.702481269836426	50.329551696777344
TAS1R1	-	-	-	-	NA	classC	-8.001855850219727	48.6418571472168
TAS1R2	-	-	-	-	NA	classC	-10.988166809082031	51.88693618774414
ADGRE5	-	-	-	-	Adhesion Class GPCRs	classB	5.989752292633057	47.08290481567383
ADGRE2	-	-	-	-	Adhesion Class GPCRs	classB	16.49643898010254	42.217613220214844
GPR156	-	-	-	-	NA	classC	41.94586944580078	100.20883178710938
ADGRG7	-	-	-	-	NA	classB	4.684654712677002	67.63188934326172
SMO	-	-	-	-	Class Frizzled GPCRs	Frizzeled	1.1342581510543823	91.09278106689453
TSHR	-	-	-	-	Glycoprotein hormone receptors	classA	-2.568142890930176	61.35648727416992
RXFP1	-	-	-	Coupled	Relaxin family peptide receptors	classA	-4.00087833404541	44.29341506958008
RXFP2	-	-	-	-	Relaxin family peptide receptors	classA	-0.8815113306045532	42.60820007324219
GPR149	-	-	-	-	NA	Other	25.96700668334961	86.12779235839844
ADGRF2	-	-	-	-	NA	classB	34.9774284362793	70.68489074707031
FZD6	-	-	-	-	Class Frizzled GPCRs	Frizzeled	-10.058228492736816	81.11105346679688
LHCGR	-	-	-	Coupled	Glycoprotein hormone receptors	classA	-4.005080699920654	55.27788162231445
ADGRF4	-	-	-	-	NA	classB	22.83072853088379	67.18115234375
FSHR	-	-	-	-	Glycoprotein hormone receptors	classA	-11.43698787689209	49.9780387878418
FZD8	-	-	-	-	Class Frizzled GPCRs	Frizzeled	-13.571722984313965	70.760009765625
ADGRG1	-	-	-	-	Adhesion Class GPCRs	classB	46.186832427978516	62.80207443237305
ADGRL4	-	-	-	-	NA	classB	-8.384994506835938	65.38536071777344
FZD3	-	-	-	-	Class Frizzled GPCRs	Frizzeled	-14.275094985961914	75.69068908691406
ADGRE3	-	-	-	-	NA	classB	15.077657699584961	48.86285400390625
FZD1	-	-	-	-	Class Frizzled GPCRs	Frizzeled	-11.502493858337402	69.690673828125
GPR50	-	-	-	Not-coupled	NA	classA	-9.380365371704102	12.622368812561035
GPR37	-	-	-	-	Class A Orphans	classA	-2.797182083129883	35.837650299072266
GPR153	-	-	-	-	NA	classA	17.297544479370117	64.09176635742188
GPR107	-	-	-	-	NA	Other	13.521675109863281	82.56087493896484
PTH1R	-	-	Coupled	-	Parathyroid hormone receptors	classB	16.00394058227539	58.9457893371582
FZD9	-	-	-	-	Class Frizzled GPCRs	Frizzeled	-11.904335975646973	66.52313995361328
