#Gene Symbol,Protein name,Gs,Gi/o,Gq/11,G12/13
ADCYAP1R1,PAC1,1,,,,
ADORA1,A1,2,1,2,,
ADORA2A,A2A,1,,2,,
ADORA2B,A2B,1,,2,,
ADORA3,A3,,1,2,,
ADRA1A,α1A,,,1,2,
ADRA1B,α1B,,,1,,
ADRA1D,α1D,,,1,,
ADRA2A,α2A,2,1,,,
ADRA2B,α2B,2,1,,,
ADRA2C,α2C,2,1,,,
ADRB1,β1,1,2,,,
ADRB2,β2,1,2,,,
ADRB3,β3,1,2,,,
AGTR1,AT1,1,1,,,
APLNR,APLNR,,1,,,
AVPR1A,V1A,,,1,,
AVPR1B,V1B,,,1,,
AVPR2,V2,1,,,,
BDKRB1,B1,,1,1,,
BDKRB2,B2,1,1,1,,
CCKAR,CCK1,2,,1,,
CCKBR,CCK2,,,1,,
CHRM1,M1,,,1,,
CHRM2,M2,2,1,2,,
CHRM3,M3,,,1,,
CHRM4,M4,,1,,,
CHRM5,M5,,,1,,
CNR1,CB1,2,1,,,
CNR2,CB2,2,1,,,
CYSLTR1,CysLT1,,2,1,,
CYSLTR2,CysLT2,,2,1,,
DRD1,D1,1,,,,
DRD2,D2,,1,,,
DRD3,D3,,1,,,
DRD4,D4,,1,,,
DRD5,D5,1,,,,
EDNRA,ETA,,,1,,
EDNRB,ETB,1,1,1,,
F2R,PAR1,,,,,
F2RL1,PAR2,,,,,
F2RL2,PAR3,,,,,
F2RL3,PAR4,,,,,
FFAR1,FFA1,2,2,1,,
FFAR2,FFA2,,2,1,,
FFAR3,FFA3,,1,,,
FFAR4,FFA4,,,1,,
FPR1,FPR1,,1,,,
FPR2,FPR2,,1,2,,
GALR1,GAL1,,1,,,
GALR2,GAL2,,2,1,2,
GALR3,GAL3,,1,,,
GHSR,GHSR,,2,1,2,
GIPR,GIPR,,,,,
GNRHR,GNRHR,,2,1,,
GPR119,GPR119,1,,,,
GPR132,G2A,,,,,
GPR17,GPR17,,1,2,,
GPR174,GPR174,,,,,
GPR183,EBI2,,1,,,
GPR34,GPR34,,1,,,
GPR35,GPR35,,,,,
GPR55,GPR55,,,1,1,
GPR84,GPR84,,1,,,
GRPR,BB2,,,1,,
HCRTR1,OX1,1,1,1,,
HCRTR2,OX2,1,1,1,,
HRH1,H1,,,1,,
HRH2,H2,2,,1,,
HRH3,H3,,1,,,
HRH4,H4,,1,,,
HTR1A,5-HT1A,,1,,,
HTR1B,5-HT1B,,1,,,
HTR1D,5-HT1D,,1,,,
HTR1E,5-HT1E,,1,,,
HTR1F,5-HT1F,,1,,,
HTR2A,5-HT2A,,2,1,,
HTR2B,5-HT2B,,,1,,
HTR2C,5-HT2C,,2,1,,
HTR4,5-HT4,1,,,2,
HTR6,5-HT6,1,,2,,
HTR7,5-HT7,1,,,,
KISS1R,KISS1,,,1,,
LPAR1,LPA1,,1,1,1,
LPAR2,LPA2,,1,1,1,
LPAR3,LPA3,,1,1,,
LPAR4,LPA4,1,1,1,1,
LPAR5,LPA5,,,1,1,
LPAR6,LPA6,1,1,,1,
LTB4R,BLT1,,1,1,,
LTB4R2,BLT2,,1,2,,
MC1R,MC1,1,,,,
MC3R,MC3,1,,,,
MC4R,MC4,1,,,,
MC5R,MC5,1,,,,
MCHR1,MCH1,1,1,1,,
MCHR2,MCH2,,,1,,
MLNR,MLNR,,,1,1,
MRGPRX1,MRGX1,,,1,,
MRGPRX2,MRGX2,,1,1,,
MTNR1A,MT1,,1,2,,
MTNR1B,MT2,,1,,,
NMBR,BB1,,,1,,
NMUR1,NMU1,,,1,,
NMUR2,NMU2,,,1,,
NPBWR1,NPBW1,,1,,,
NPFFR1,NPFF1,,1,,,
NPFFR2,NPFF2,,1,,,
NTSR1,NTS1,2,2,1,,
OPRD1,δ,,1,,,
OPRK1,κ,,1,,2,
OPRL1,NOP,,1,,,
OPRM1,μ,,1,2,,
OXGR1,OXGR1,,,1,,
OXTR,OT,,2,1,,
P2RY1,P2Y1,,2,1,,
P2RY10,P2Y10,,,,,
P2RY11,P2Y11,2,,1,,
P2RY12,P2Y12,,1,,,
P2RY13,P2Y13,,1,,,
P2RY14,P2Y14,,1,,,
P2RY2,P2Y2,,2,1,2,
P2RY4,P2Y4,,,1,,
P2RY6,P2Y6,,,1,2,
PRLHR,PRLHR,,,,,
PTAFR,PAFR,,1,1,,
PTGDR,DP,1,,,,
PTGER1,EP1,,2,1,,
PTGER2,EP2,1,,,,
PTGER3,EP3,,1,2,,
PTGER4,EP4,1,2,,,
PTGFR,FP,2,,1,,
PTGIR,IP,1,2,2,,
PTH1R,PTH1,1,,2,,
PTH2R,PTH2,,,,,
S1PR1,S1P1,,1,,,
S1PR2,S1P2,1,,1,1,
S1PR3,S1P3,,1,1,1,
S1PR5,S1P5,,1,,1,
SSTR1,SST1,,1,,,
SSTR2,SST2,,1,2,,
SSTR3,SST3,,1,2,,
SSTR4,SST4,,1,,,
SSTR5,SST5,,1,2,,
TACR1,NK1,1,,1,,
TACR2,NK2,1,,1,,
TACR3,NK3,,,1,,
TBXA2R,TP,,,1,,
TRHR,TRH1,,,1,,
UTS2R,UTS2R,,,1,,
