GPCR	393neg	426bip	426bin	493bip	493bin	497bip	497bin	535bip	535bin	654bip	654bin	656bip	656bin	675neg	925bip	925bin	928bip	928bin	966neg	967neg	K_TIL	L_CTL	S_CTL	V_CTL	Y_CTL	O
AVPR1B	1	1.86884	2.53491	2.37964	3.68979	2.07472	1.71511	4.29051	3.85565	3.52853	3.60824	2.79252	2.06592	0	2.92242	2.9724	2.2302	2.22439	1	1	3	15	12	0	0	1
PTGFR	0	2.88926	3.48259	2.23145	2.1618	3.13953	2.95953	1.75272	1.42238	1.78609	1.70001	1.25028	2.0304	0	2.05672	1.18842	3.0761	3.12596	1	1	2	8	9	5	1	1
AVPR1A	1	1.20417	1.32235	2.93746	3.22321	2.29757	2.42111	1.68081	2.15101	1.53461	1.46916	3.28694	3.00038	1	1.24836	1.56243	2.2302	2.22439	1	1	4	2	12	2	1	1
MC1R	1	1.20417	1.32235	2.23145	2.1618	3.62427	3.15433	1.73829	1.67939	1.42697	1.73632	1.9861	2.64942	0	1.24808	1.46495	3.48458	2.66384	1	1	1	3	2	1	0	1
PTGER1	0	1.86884	2.53491	2.23145	2.1618	1.79446	2.21495	1.68081	2.15101	2.25204	2.62863	1.25028	2.0304	1	2.05672	1.18842	3.0761	3.12596	0	0	0	11	7	1	0	1
P2RY2	0	2.70665	2.3626	1.10324	1.08184	1.9768	1.67701	1.75272	1.42238	1.78609	1.70001	1.25028	2.0304	1	1.24808	1.46495	1.42114	1.53942	1	1	1	6	7	2	0	1
GNRHR	0	1.87146	1.07696	2.93746	3.22321	2.29757	2.42111	1.68081	2.15101	1.53461	1.46916	1.25028	2.0304	1	1.24836	1.56243	2.85224	1.99387	1	1	1	1	1	0	1	1
PTGDR	0	1.86884	2.53491	2.37964	3.68979	2.07472	1.71511	1.75272	1.42238	2.25204	2.62863	1.87958	1.77275	1	3.5192	3.84762	1.42114	1.53942	1	1	0	2	6	1	1	1
EDNRA	1	1.20417	1.32235	1.89624	1.07335	1.79446	2.21495	1.73829	1.67939	3.6126	3.28877	1.9861	2.64942	0	1.24808	1.46495	2.96181	2.82521	1	1	1	3	9	2	2	1
EDNRB	1	1.20417	1.32235	1.89624	1.07335	1.79446	2.21495	1.73829	1.67939	1.53461	1.46916	1.9861	2.64942	0	1.24808	1.46495	1.42114	1.53942	1	1	3	0	0	0	0	1
