GPCR	393neg	401bip	401bin	426bip	426bin	493bip	493bin	497bip	497bin	535bip	535bin	654bip	654bin	656bip	656bin	675neg	925bip	925bin	928bip	928bin	966neg	967neg	1000bip	1000bin	CTLL	K_TIL	G_CTL	L_CTL	S_CTL	V_CTL	Y_CTL	O
AVPR1B	1	1.70607	2.03855	1.8702	2.53095	2.38182	3.68506	1.96131	1.78584	4.29607	3.85672	3.5345	3.60522	2.79405	2.07857	0	2.91687	2.99564	2.18334	2.304	1	1	2.44286	3.7168	86	3	7	15	12	0	0	1
PTGFR	0	5.44148	5.95346	2.89128	3.47073	2.20735	2.1381	3.14841	2.9607	1.69706	1.45543	1.7867	1.69306	1.24991	2.03777	0	2.11884	1.14143	3.08563	3.12777	1	1	2.44286	3.7168	55	2	1	8	9	5	1	1
AVPR1A	1	1.70607	2.03855	1.2306	1.29435	2.93907	3.22001	2.29744	2.4228	1.6812	2.15312	1.48601	1.50767	3.13246	3.18186	1	1.22316	1.58643	2.18334	2.304	1	1	2.44286	3.7168	70	4	2	2	12	2	1	1
PTGER1	0	5.44148	5.95346	1.8702	2.53095	2.20735	2.1381	1.79356	2.22515	1.6812	2.15312	2.24709	2.62738	1.24991	2.03777	1	2.11884	1.14143	3.08563	3.12777	0	0	2.44286	3.7168	51	0	6	11	7	1	0	1
MRGPRX2	1	1.70607	2.03855	1.8702	2.53095	2.20735	2.1381	3.14841	2.9607	2.21448	2.23833	3.29186	3.1113	1.24991	2.03777	0	1.27461	1.42004	1.42008	1.54274	0	0	1.42711	1.30575	51	0	3	6	5	3	0	1
GNRHR	0	5.44148	5.95346	1.77154	1.13408	2.93907	3.22001	2.29744	2.4228	1.6812	2.15312	1.48601	1.50767	1.24991	2.03777	1	1.22316	1.58643	2.81544	1.9746	1	1	1.33106	1.76423	5	1	1	1	1	0	1	1
PTGDR	0	5.44148	5.95346	1.8702	2.53095	2.38182	3.68506	1.96131	1.78584	1.69706	1.45543	2.24709	2.62738	1.82003	1.8025	1	3.50962	3.8851	1.42008	1.54274	1	1	2.44286	3.7168	37	0	0	2	6	1	1	1
EDNRA	1	1.63151	1.23241	1.2306	1.29435	1.89795	1.07251	1.79356	2.22515	1.78581	1.6331	3.60989	3.2922	2.09988	2.44709	0	1.27461	1.42004	2.96154	2.82285	1	1	1.42711	1.30575	60	1	1	3	9	2	2	1
EDNRB	1	1.63151	1.23241	1.2306	1.29435	1.89795	1.07251	1.79356	2.22515	1.78581	1.6331	1.48601	1.50767	2.09988	2.44709	0	1.27461	1.42004	1.42008	1.54274	1	1	1.42711	1.30575	0	3	0	0	0	0	0	1
UTS2R	1	3.42944	3.98311	1.8702	2.53095	1.1079	1.09432	2.02813	1.65196	2.86215	2.86458	1.46751	1.69455	3.13246	3.18186	0	2.91687	2.99564	1.42008	1.54274	1	1	2.19175	2.69385	74	1	9	7	8	3	1	1
MC4R	1	1.63151	1.23241	1.2306	1.29435	1.1079	1.09432	1.96131	1.78584	1.78581	1.6331	1.46751	1.69455	2.09988	2.44709	0	1.22316	1.58643	2.18334	2.304	1	1	1.33106	1.76423	30	0	2	5	3	0	2	1
CCKBR	1	1.70607	2.03855	1.77154	1.13408	2.38182	3.68506	2.29744	2.4228	2.86215	2.86458	1.7867	1.69306	2.09988	2.44709	1	1.27461	1.42004	1.42008	1.54274	1	1	1.33106	1.76423	57	1	2	5	5	0	1	1
ADORA2A	1	1.2512	1.34561	1.8702	2.53095	1.1079	1.09432	1.96131	1.78584	3.51766	3.51431	1.46751	1.69455	1.24991	2.03777	1	1.27461	1.42004	1.42008	1.54274	0	1	2.19175	2.69385	124	2	16	12	10	8	2	1
ADORA2B	1	1.2512	1.34561	1.77154	1.13408	1.1079	1.09432	1.96131	1.78584	2.21448	2.23833	1.48601	1.50767	1.24991	2.03777	0	1.27461	1.42004	1.42008	1.54274	1	1	1.42711	1.30575	42	0	5	4	2	3	3	1
P2RY1	1	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	1.46751	1.69455	1.24991	2.03777	0	1.22316	1.58643	1.39757	2.73387	1	1	1.42711	1.30575	49	1	2	6	6	0	0	1
P2RY2	0	2.29514	1.78288	2.82129	2.27089	1.1079	1.09432	2.02813	1.65196	1.69706	1.45543	1.7867	1.69306	1.24991	2.03777	1	1.27461	1.42004	1.42008	1.54274	1	1	2.23342	1.65028	71	1	5	6	7	2	0	1
PTGER4	1	1.70607	2.03855	1.8702	2.53095	2.20735	2.1381	1.79356	2.22515	1.69706	1.45543	2.24709	2.62738	1.82003	1.8025	1	2.11884	1.14143	1.39757	2.73387	1	1	2.44286	3.7168	159	0	16	21	28	5	0	1
TACR3	1	1.63151	1.23241	1.77154	1.13408	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	3.13246	3.18186	0	2.11884	1.14143	1.42008	1.54274	1	1	1.42711	1.30575	109	2	2	3	18	5	4	1
P2RY11	0	2.29514	1.78288	3.12829	3.76363	1.89795	1.07251	2.02813	1.65196	2.3714	4.27129	1.46751	1.69455	1.24991	2.03777	0	3.28266	4.12637	2.44965	2.36767	0	0	5.50281	5.21829	80	0	6	10	6	4	4	1
PTGER2	0	5.44148	5.95346	1.8702	2.53095	2.9883	4.06073	1.97408	3.01608	1.78581	1.6331	3.29186	3.1113	1.24991	2.03777	1	1.22316	1.58643	1.42008	1.54274	0	1	2.44286	3.7168	44	0	0	6	6	2	0	1
NMBR	1	2.29514	1.78288	1.2306	1.29435	1.89795	1.07251	2.02813	1.65196	1.78581	1.6331	1.48601	1.50767	3.32873	2.47194	1	3.32853	3.45694	2.96154	2.82285	1	1	2.19175	2.69385	68	3	3	10	12	3	3	1
HRH2	1	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.97408	3.01608	1.78581	1.6331	1.48601	1.50767	3.52957	2.90934	1	2.11884	1.14143	2.96154	2.82285	0	0	1.42711	1.30575	71	2	3	7	7	2	1	1
TACR1	1	1.63151	1.23241	1.77154	1.13408	1.1079	1.09432	2.02813	1.65196	1.78581	1.6331	1.7867	1.69306	3.13246	3.18186	0	2.11884	1.14143	1.42008	1.54274	1	1	1.42711	1.30575	102	0	6	8	17	5	3	1
S1PR3	1	1.63151	1.23241	1.2306	1.29435	2.38182	3.68506	1.96131	1.78584	3.51766	3.51431	3.31849	3.08373	1.82003	1.8025	1	2.91687	2.99564	3.08563	3.12777	0	1	2.23342	1.65028	80	2	3	6	13	3	0	1
HRH1	0	1.2512	1.34561	1.2306	1.29435	1.1079	1.09432	1.97408	3.01608	1.6812	2.15312	1.46751	1.69455	1.24991	2.03777	1	1.27461	1.42004	1.39757	2.73387	0	0	1.33106	1.76423	19	17	0	2	1	0	0	1
MRGPRX1	1	1.70607	2.03855	1.2306	1.29435	2.20735	2.1381	3.14841	2.9607	2.21448	2.23833	1.7867	1.69306	3.52957	2.90934	0	1.27461	1.42004	1.42008	1.54274	1	1	1.42711	1.30575	50	0	5	8	4	3	0	1
