GPCR	401bip	401bin	655bip	655bin	919bip	919bin	966pos	967pos	TILL	A_TIL	C_TIL	E_TIL	F_TIL	G_TIL	K_TIL	L_TIL	P_TIL	R_TIL	S_TIL	M_CTL	T_CTL	O
TBXA2R	1.79869	1.76651	2.78694	3.61896	1.92308	1.19234	1	1	17	2	1	1	0	1	0	0	1	2	1	0	2	1
TACR1	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	1	1	19	2	0	2	0	1	0	0	1	1	4	2	9	1
P2RY2	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	14	2	0	0	0	3	1	2	2	1	1	1	6	1
PTAFR	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	13	1	0	1	0	0	0	1	1	1	0	1	6	1
GPR55	5.99371	5.44913	1.6661	1.47003	3.43295	4.58928	1	1	11	0	0	0	0	1	0	1	0	2	0	1	2	1
EDNRA	1.25678	1.48779	2.07461	2.40793	1.40172	1.57085	1	1	18	1	0	1	0	1	1	4	0	3	2	3	3	1
EDNRB	1.25678	1.48779	2.07461	2.40793	1.40172	1.57085	1	1	17	1	0	0	0	1	3	3	0	1	1	0	0	1
GPR35	1.64441	2.30656	2.49765	2.05813	3.81779	5.40165	1	1	13	3	0	1	0	1	0	0	2	1	0	1	1	1
CCKBR	1.79869	1.76651	1.6661	1.47003	1.92308	1.19234	1	1	82	7	2	3	1	12	1	9	7	8	8	1	5	1
F2R	1.64441	2.30656	2.78694	3.61896	1.38992	1.20265	1	1	10	2	0	0	0	0	1	0	0	1	4	2	2	1
S1PR3	1.25678	1.48779	1.52361	1.47491	1.38992	1.20265	0	1	15	1	0	1	0	0	2	0	0	2	4	2	2	1
S1PR2	1.52791	1.30788	1.52361	1.47491	1.38992	1.20265	0	1	25	3	0	3	0	0	1	1	1	1	2	2	5	1
P2RY10	1.79869	1.76651	1.52361	1.47491	3.85552	5.1469	1	1	12	1	0	1	1	1	0	0	2	1	1	3	1	1
P2RY11	1.64441	2.30656	2.07461	2.40793	3.44061	5.2349	0	0	10	1	0	1	0	1	0	1	1	1	1	3	2	1
P2RY13	1.64441	2.30656	1.6661	1.47003	1.38992	1.20265	1	1	14	0	0	0	0	0	4	0	0	2	3	2	8	1
HRH2	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	0	19	3	0	0	0	0	2	0	0	3	2	0	6	1
P2RY4	1.64441	2.30656	2.07461	2.40793	1.38992	1.20265	1	1	12	1	0	0	0	1	0	1	2	0	4	0	4	1
HTR2C	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	1	1	64	5	2	6	1	3	5	6	4	9	2	1	3	1
MRGPRX2	1.79869	1.76651	2.78694	3.61896	2.98176	3.2982	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
MRGPRX1	1.79869	1.76651	2.25998	2.15492	2.98176	3.2982	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CNR1	1.25678	1.48779	1.52361	1.47491	1.92308	1.19234	0	0	36	2	0	1	0	2	2	0	1	4	3	3	5	1
BDKRB1	1.64441	2.30656	1.52361	1.47491	1.40172	1.57085	1	1	15	0	1	2	0	2	1	0	0	5	1	0	2	1
MC3R	1.52791	1.30788	1.6661	1.47003	1.40172	1.57085	1	1	22	4	0	0	0	1	1	2	3	2	1	1	1	1
LPAR1	1.25678	1.48779	1.6661	1.47003	1.38992	1.20265	0	0	20	0	0	0	0	1	0	0	1	7	3	1	4	1
HTR6	1.25678	1.48779	1.52361	1.47491	1.40172	1.57085	0	0	44	6	0	2	0	2	2	3	3	5	5	1	5	1
F2RL3	1.79869	1.76651	1.6661	1.47003	1.38992	1.20265	1	1	6	2	0	0	0	1	0	0	0	2	1	1	2	1
TACR3	1.25678	1.48779	1.6661	1.47003	1.38992	1.20265	1	1	19	1	1	2	0	3	2	1	1	0	0	3	10	1
LPAR3	1.52791	1.30788	1.6661	1.47003	1.38992	1.20265	0	1	20	0	0	0	0	1	2	1	1	4	4	3	4	1
FFAR2	1.64441	2.30656	2.07461	2.40793	2.98176	3.2982	0	0	10	1	0	0	0	1	0	2	1	1	1	1	4	1
GRPR	1.64441	2.30656	1.52361	1.47491	3.31643	3.94176	1	1	21	1	0	2	0	1	2	1	1	0	2	1	7	1
GHSR	1.52791	1.30788	2.25998	2.15492	1.38992	1.20265	1	1	18	2	0	0	0	2	0	1	0	5	1	1	3	1
P2RY1	1.64441	2.30656	1.52361	1.47491	1.38992	1.20265	1	1	10	0	0	0	0	0	1	2	1	0	1	1	4	1
P2RY6	1.25678	1.48779	2.25998	2.15492	1.38992	1.20265	1	1	14	2	1	2	0	1	0	0	2	2	0	0	2	1
MC5R	1.25678	1.48779	2.25998	2.15492	1.40172	1.57085	1	1	20	4	0	0	0	1	1	1	1	4	2	1	1	1
