GPCR	393pos	398bip	398bin	401bip	401bin	507bip	507bin	535bip	535bin	658bip	658bin	662bip	662bin	674pos	885pos	886pos	887pos	888pos	967pos	998bip	998bin	1000bip	1000bin	1002pos	G_TIL	N_TIL	G_CTL	L_CTL	P_CTL	Q_CTL	R_CTL	S_CTL	O
AVPR1B	1	1.29917	1.30838	2.01542	1.34049	1.02538	1.06917	3.90491	5.2529	2.05415	1.13232	0.74365	1.80905	0	1	1	1	1	1	0.42184	1.10673	3.88102	1.60601	1	5	2	7	15	8	1	11	12	1
LTB4R2	1	2.02879	2.28684	2.01542	1.34049	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	2.60871	2.68693	0	0	0	0	0	1	0.42184	1.10673	1.74798	2.13053	1	3	0	20	11	6	3	9	5	1
UTS2R	1	1.29917	1.30838	3.60253	3.84405	1.02538	1.06917	2.74052	3.88258	1.58598	1.97877	2.43009	2.45045	0	0	0	1	1	1	0.42184	1.10673	2.30958	3.02864	1	0	0	9	7	12	3	12	8	1
GPR35	0	1.29917	1.30838	1.9439	2.09205	1.02538	1.06917	2.1436	2.61042	2.05415	1.13232	2.17282	1.39415	0	0	0	0	1	1	1.68812	0.72625	1.25522	1.60086	1	1	0	0	3	1	2	0	4	1
GPR34	1	1.29917	1.30838	1.9439	2.09205	0.78368	1.0921	1.6359	1.1165	2.99541	3.80449	0.74365	1.80905	1	0	0	0	1	1	1.68812	0.72625	1.74798	2.13053	1	1	1	2	4	2	3	4	12	1
GPR183	1	1.29917	1.30838	1.35517	1.36726	1.02538	1.06917	1.6359	1.1165	2.05415	1.13232	0.74365	1.80905	1	0	0	1	1	1	1.68812	0.72625	2.30958	3.02864	1	1	1	2	1	1	2	4	9	1
ADRA2A	1	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	2.25519	2.09407	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.74798	2.13053	1	24	3	1	1	0	0	5	0	1
ADRA2B	1	1.41812	0.93938	1.34305	1.80614	1.02538	1.06917	1.6359	1.1165	2.25519	2.09407	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	22	3	0	1	1	2	5	0	1
ADRA2C	1	2.02879	2.28684	1.34305	1.80614	1.02538	1.06917	1.6359	1.1165	2.25519	2.09407	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.74798	2.13053	1	23	2	1	1	0	2	8	1	1
HTR2A	1	1.41812	0.93938	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	2.50317	2.98427	2.60871	2.68693	1	1	1	1	1	1	0.42184	1.10673	1.79109	1.3388	1	3	1	3	7	2	8	2	10	1
FPR1	1	1.41812	0.93938	3.08252	2.83911	1.02538	1.06917	3.90491	5.2529	2.99541	3.80449	0.74365	1.80905	0	0	0	0	0	1	0.42184	1.10673	3.25767	3.59634	1	1	0	1	6	2	3	3	5	1
FPR2	1	1.41812	0.93938	3.08252	2.83911	1.02538	1.06917	3.90491	5.2529	2.05415	1.13232	0.74365	1.80905	0	0	0	0	0	1	0.42184	1.10673	3.25767	3.59634	1	1	0	1	5	4	2	3	6	1
HRH1	0	1.29917	1.30838	1.34305	1.80614	1.02538	1.06917	1.96056	2.14272	2.34203	3.1193	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	1.79109	1.3388	1	15	6	0	2	1	0	2	1	1
MCHR2	1	2.02879	2.28684	1.35517	1.36726	2.66959	1.81455	2.1436	2.61042	2.05415	1.13232	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	2.30958	3.02864	1	0	2	2	4	1	3	3	2	1
MCHR1	1	1.41812	0.93938	1.34305	1.80614	3.6309	3.40774	2.1436	2.61042	2.25299	3.2949	0.74365	1.80905	1	0	0	0	1	1	0.42184	1.10673	2.30958	3.02864	1	0	0	2	4	1	3	4	3	1
HTR7	1	2.02879	2.28684	1.34305	1.80614	0.78368	1.0921	1.6359	1.1165	3.27976	2.31606	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	2.30958	3.02864	1	2	3	1	12	6	3	12	4	1
HTR4	1	2.31103	2.49797	1.34305	1.80614	0.78368	1.0921	3.27688	4.96898	2.25299	3.2949	0.74365	1.80905	1	1	1	1	1	0	0.42184	1.10673	2.30958	3.02864	1	1	0	4	6	6	4	6	7	1
GALR3	1	1.29917	1.30838	2.01542	1.34049	1.02538	1.06917	1.6359	1.1165	2.25299	3.2949	2.60871	2.68693	1	1	1	1	1	1	0.42184	1.10673	1.79109	1.3388	1	2	0	13	5	10	1	19	4	1
GALR2	1	1.29917	1.30838	2.01542	1.34049	0.78368	1.0921	1.60939	1.62111	2.50317	2.98427	2.60871	2.68693	1	0	0	1	1	1	0.42184	1.10673	1.25522	1.60086	1	2	0	12	9	8	2	8	10	1
GALR1	1	1.41812	0.93938	2.01542	1.34049	0.78368	1.0921	1.60939	1.62111	2.05415	1.13232	2.17282	1.39415	0	0	0	1	1	1	0.42184	1.10673	1.25522	1.60086	1	0	1	0	2	2	1	3	6	1
NMBR	1	2.02879	2.28684	1.9439	2.09205	0.78368	1.0921	1.60939	1.62111	3.72286	4.13473	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	2.30958	3.02864	0	1	2	3	10	0	3	5	12	1
GPR119	0	3.23095	3.82613	1.34305	1.80614	0.78368	1.0921	2.1436	2.61042	2.34203	3.1193	2.34022	2.58002	1	1	1	1	0	0	0.42184	1.10673	1.79109	1.3388	1	3	0	3	7	2	2	4	7	1
HCRTR1	1	2.48695	3.46138	1.34305	1.80614	0.78368	1.0921	1.60939	1.62111	2.25299	3.2949	0.74365	1.80905	1	1	1	1	1	1	0.42184	1.10673	1.25522	1.60086	1	5	1	4	8	5	2	3	14	1
